gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected	logFC	AveExpr	t	P.Value	adj.P.Val	B	limma_direction_match	limma_fdr_pass	bootstrap_stability_pass	stable_core	arm
NDUFA1	-0.37203327	-0.3697032	-0.537586969137192	-0.209964857250452	1	0.000999000999000999	0.035243697	0.0126510092688221	FALSE	TRUE	TRUE	0.37203327	TRUE	-0.371032488348176	0.0352437002837838	-4.9344458951789	1.58493535021816e-05	0.0029378217143831	2.96574114309254	TRUE	TRUE	TRUE	TRUE	down
MPC2	-0.3113274	-0.31253922	-0.440761461853981	-0.171229625120759	1	0.000999000999000999	0.038999178	0.0126510092688221	FALSE	TRUE	TRUE	0.3113274	FALSE	-0.321920039008881	0.0389991701189189	-4.98603683228429	1.34822001318126e-05	0.0029378217143831	3.117705785552	TRUE	TRUE	TRUE	TRUE	down
TSPAN7	-0.28988668	-0.2942366	-0.397380041331053	-0.139560733735561	1	0.000999000999000999	0.07236084	0.0126510092688221	FALSE	TRUE	TRUE	0.28988668	FALSE	-0.292016248576254	0.0723608433783784	-4.92969734708433	1.60868815989507e-05	0.0029378217143831	2.95176846841763	TRUE	TRUE	TRUE	TRUE	down
LTBP1	0.28924182	0.28854614	0.153550054877996	0.432193172723055	1	0.000999000999000999	0.009702628	0.0126510092688221	FALSE	TRUE	TRUE	0.28924182	TRUE	0.287655363604438	0.00970263085810811	4.93744489721789	1.63025849990249e-05	0.0029378217143831	2.94351306281977	TRUE	TRUE	TRUE	TRUE	up
MOCS1	-0.14160255	-0.14137468	-0.187371487542987	-0.0919791802763939	1	0.000999000999000999	0.022733623	0.0126510092688221	FALSE	TRUE	TRUE	0.14160255	FALSE	-0.140565696009852	0.0227336203243243	-4.99799530895577	1.2985576581632e-05	0.0029378217143831	3.15297026698155	TRUE	TRUE	TRUE	TRUE	down
AKR1B1	-0.090158165	-0.09097391	-0.120263571664691	-0.0623923714272678	1	0.000999000999000999	0.0032779437	0.0126510092688221	FALSE	TRUE	TRUE	0.090158165	FALSE	-0.0899357011485221	0.00327794348108108	-4.9313654203291	1.60030438262204e-05	0.0029378217143831	2.95667651407408	TRUE	TRUE	TRUE	TRUE	down
BSG	-0.54873323	-0.5418382	-0.739563666284084	-0.376542319357395	1	0.000999000999000999	0.04238669	0.0126510092688221	FALSE	TRUE	TRUE	0.54873323	TRUE	-0.536109044864917	0.0423866781027027	-4.88570761999742	1.85953751051662e-05	0.00320287474732985	2.81650779681756	TRUE	TRUE	TRUE	TRUE	down
ARF3	-0.32750735	-0.32645434	-0.460454646497965	-0.187244072556496	1	0.000999000999000999	0.036105063	0.0126510092688221	FALSE	TRUE	TRUE	0.32750735	FALSE	-0.324937973862035	0.0361050591081081	-4.87957963046836	1.88189147876407e-05	0.00320287474732985	2.80445230801991	TRUE	TRUE	TRUE	TRUE	down
CALM1	-0.3683679	-0.37330455	-0.546006432175636	-0.180501568317413	1	0.000999000999000999	0.031672627	0.0126510092688221	FALSE	TRUE	TRUE	0.3683679	TRUE	-0.376069526361208	0.0316726290540541	-4.80663649554737	2.36336846514345e-05	0.00367140716167231	2.59057993916186	TRUE	TRUE	TRUE	TRUE	down
LRRC36	0.27030173	0.26922715	0.122895560972393	0.426635754108429	1	0.000999000999000999	0.011198619	0.0126510092688221	FALSE	TRUE	TRUE	0.27030173	TRUE	0.26957177354012	0.0111986222445946	4.81804102569613	2.33469558891223e-05	0.00367140716167231	2.60482135906128	TRUE	TRUE	TRUE	TRUE	up
ZNF503	0.2449439	0.24182001	0.122415625862777	0.391752018034458	1	0.000999000999000999	0.015756708	0.0126510092688221	FALSE	TRUE	TRUE	0.2449439	TRUE	0.239039409921495	0.0157567101310811	4.80212302547325	2.39687100484564e-05	0.00367140716167231	2.57736825360621	TRUE	TRUE	TRUE	TRUE	up
CTTNBP2	0.15943724	0.15752435	0.0876121491193771	0.24424133785069	1	0.000999000999000999	0.0027703703	0.0126510092688221	FALSE	TRUE	TRUE	0.15943724	FALSE	0.156998746991709	0.00277037226891892	4.83506389896569	2.22257973221063e-05	0.00367140716167231	2.65145971526257	TRUE	TRUE	TRUE	TRUE	up
STBD1	-0.2994415	-0.30052972	-0.408849182724953	-0.197714782878757	1	0.000999000999000999	0.015455652	0.0126510092688221	FALSE	TRUE	TRUE	0.2994415	FALSE	-0.290792984272162	0.0154556462297297	-4.77324677302657	2.65826247567221e-05	0.0039724815093765	2.48186975119414	TRUE	TRUE	TRUE	TRUE	down
SLC25A5	-0.43387944	-0.43589723	-0.631731453537941	-0.220588910579682	1	0.000999000999000999	0.07840139	0.0126510092688221	FALSE	TRUE	TRUE	0.43387944	TRUE	-0.437096779562535	0.0784013932702703	-4.72787139504486	3.02037603006472e-05	0.00411240976360146	2.36041139691815	TRUE	TRUE	TRUE	TRUE	down
NDRG1	-0.4067776	-0.40271592	-0.54004734903574	-0.275909511744976	1	0.000999000999000999	0.044160727	0.0126510092688221	FALSE	TRUE	TRUE	0.4067776	TRUE	-0.396004917796463	0.0441607331486486	-4.74274384694798	2.88384205465518e-05	0.00411240976360146	2.40380708271971	TRUE	TRUE	TRUE	TRUE	down
