specimen_id	donor_id	route	cell_type	n_cells	epithelial_positive_fraction	immune_positive_fraction	stromal_positive_fraction	endothelial_positive_fraction	any_nonepithelial_positive_fraction	INPP5D_positive_fraction	INPP5D_mean_raw_count	TIMP1_positive_fraction	TIMP1_mean_raw_count	S100P_positive_fraction	S100P_mean_raw_count	LCN2_positive_fraction	LCN2_mean_raw_count
HTA11_2951_2000001011	HTA11_2951	conventional_adenoma	GOB	147	1	0.0612244897959184	0.0612244897959184	0.149659863945578	0.26530612244898	0.156462585034014	0.258503401360544	0.394557823129252	0.666666666666667	0.639455782312925	2.40136054421769	0.149659863945578	0.170068027210884
HTA11_2951_2000001011	HTA11_2951	conventional_adenoma	TAC	69	1	0.0434782608695652	0.144927536231884	0.115942028985507	0.260869565217391	0.318840579710145	0.550724637681159	0.449275362318841	0.942028985507246	0.710144927536232	3.6231884057971	0.463768115942029	0.884057971014493
HTA11_2951_2000002011	HTA11_2951	normal	ABS	497	1	0.0241448692152917	0.0100603621730382	0.10261569416499	0.128772635814889	0.0120724346076459	0.0140845070422535	0.0523138832997988	0.0704225352112676	0.201207243460765	0.392354124748491	0.215291750503018	0.283702213279678
HTA11_2951_2000002011	HTA11_2951	normal	GOB	214	1	0.0560747663551402	0.0233644859813084	0.0654205607476635	0.14018691588785	0.0186915887850467	0.0186915887850467	0.0794392523364486	0.102803738317757	0.411214953271028	1.42523364485981	0.014018691588785	0.014018691588785
HTA11_2951_2000002011	HTA11_2951	normal	TAC	42	1	0.0476190476190476	0	0.0476190476190476	0.0714285714285714	0.0476190476190476	0.0714285714285714	0.0238095238095238	0.0238095238095238	0.0952380952380952	0.5	0.214285714285714	0.428571428571429
HTA11_2951_2000002021	HTA11_2951	normal	ABS	462	1	0.012987012987013	0.0216450216450216	0.0930735930735931	0.125541125541126	0.0194805194805195	0.0194805194805195	0.0865800865800866	0.0952380952380952	0.170995670995671	0.272727272727273	0.227272727272727	0.326839826839827
HTA11_2951_2000002021	HTA11_2951	normal	GOB	360	1	0.0361111111111111	0.0194444444444444	0.0805555555555556	0.125	0.0138888888888889	0.0166666666666667	0.113888888888889	0.152777777777778	0.277777777777778	0.716666666666667	0.025	0.0361111111111111
HTA11_2951_2000002021	HTA11_2951	normal	TAC	50	1	0.02	0.06	0.1	0.16	0	0	0.08	0.1	0.16	0.16	0.18	0.32
HTA11_3077_2000002011	HTA11_3077	normal	ABS	819	1	0.0170940170940171	0.0244200244200244	0.134310134310134	0.170940170940171	0.021978021978022	0.0244200244200244	0.00976800976800977	0.010989010989011	0.0561660561660562	0.0744810744810745	0.123321123321123	0.15995115995116
HTA11_3077_2000002011	HTA11_3077	normal	GOB	252	1	0.0317460317460317	0.00396825396825397	0.0555555555555556	0.0833333333333333	0.00793650793650794	0.00793650793650794	0.0357142857142857	0.0476190476190476	0.293650793650794	0.757936507936508	0.00396825396825397	0.00793650793650794
