gene	cell_type	route	n_cells	positive_fraction	mean_raw_count
FCER1G	GOB	conventional_adenoma	3908	0.0110030706243603	0.0115148413510747
FCER1G	TAC	conventional_adenoma	1542	0.00713359273670558	0.00713359273670558
FCER1G	ABS	normal	18391	0.0101680169648197	0.0106573867652656
FCER1G	GOB	normal	5178	0.0059868675164156	0.0059868675164156
FCER1G	TAC	normal	3077	0.0113747156321092	0.0123496912577186
AIF1	ABS	conventional_adenoma	8236	0.00279261777561923	0.00291403593977659
AIF1	GOB	conventional_adenoma	3908	0.00281473899692938	0.00281473899692938
AIF1	TAC	conventional_adenoma	1542	0.00259403372243839	0.00259403372243839
AIF1	ABS	normal	18391	0.0010331140231635	0.00119623728997879
AIF1	GOB	normal	5178	0.000965623792970259	0.000965623792970259
AIF1	TAC	normal	3077	0.0016249593760156	0.0016249593760156
CD68	ABS	conventional_adenoma	8236	0	0
CD68	GOB	conventional_adenoma	3908	0	0
CD68	TAC	conventional_adenoma	1542	0	0
CD68	ABS	normal	18391	5.43744222717634e-05	5.43744222717634e-05
CD68	GOB	normal	5178	0	0
CD68	TAC	normal	3077	0	0
LAPTM5	ABS	conventional_adenoma	8236	0.00995628946090335	0.0109276347741622
LAPTM5	GOB	conventional_adenoma	3908	0.0214943705220061	0.0255885363357216
LAPTM5	TAC	conventional_adenoma	1542	0.0175097276264591	0.0194552529182879
LAPTM5	ABS	normal	18391	0.00880865640802567	0.00929802620847153
LAPTM5	GOB	normal	5178	0.00926998841251448	0.0106218617226728
LAPTM5	TAC	normal	3077	0.010724731881703	0.0116997075073123
COL1A1	ABS	conventional_adenoma	8236	0.0060709082078679	0.0060709082078679
COL1A1	GOB	conventional_adenoma	3908	0.0176560900716479	0.0184237461617195
COL1A1	TAC	conventional_adenoma	1542	0.0233463035019455	0.0246433203631647
COL1A1	ABS	normal	18391	0.00663367951715513	0.00679680278397042
COL1A1	GOB	normal	5178	0.0106218617226728	0.0106218617226728
COL1A1	TAC	normal	3077	0.0139746506337342	0.0146246343841404
COL1A2	ABS	conventional_adenoma	8236	0.00182127246236037	0.00182127246236037
COL1A2	GOB	conventional_adenoma	3908	0.00179119754350051	0.00281473899692938
COL1A2	TAC	conventional_adenoma	1542	0.00453955901426719	0.00453955901426719
COL1A2	ABS	normal	18391	0.00277309553585993	0.00288184438040346
COL1A2	GOB	normal	5178	0.000965623792970259	0.000965623792970259
COL1A2	TAC	normal	3077	0.0032499187520312	0.0032499187520312
COL3A1	ABS	conventional_adenoma	8236	0.000849927149101506	0.000849927149101506
COL3A1	GOB	conventional_adenoma	3908	0.00179119754350051	0.00204708290685773
COL3A1	TAC	conventional_adenoma	1542	0	0
COL3A1	ABS	normal	18391	0.00250122342450111	0.00255559784677288
COL3A1	GOB	normal	5178	0.000579374275782155	0.000579374275782155
COL3A1	TAC	normal	3077	0.00194995125121872	0.00227494312642184
DCN	ABS	conventional_adenoma	8236	0.0014570179698883	0.0014570179698883
DCN	GOB	conventional_adenoma	3908	0.00102354145342886	0.00102354145342886
DCN	TAC	conventional_adenoma	1542	0.00389105058365759	0.00389105058365759
DCN	ABS	normal	18391	0.00277309553585993	0.00288184438040346
DCN	GOB	normal	5178	0.00270374662031672	0.00270374662031672
DCN	TAC	normal	3077	0.0032499187520312	0.0032499187520312
COL6A1	ABS	conventional_adenoma	8236	0.00716367168528412	0.00728508984944148
COL6A1	GOB	conventional_adenoma	3908	0.00511770726714432	0.0063971340839304
COL6A1	TAC	conventional_adenoma	1542	0.0110246433203632	0.0110246433203632
COL6A1	ABS	normal	18391	0.0122886194334185	0.0129411125006797
COL6A1	GOB	normal	5178	0.00540749324063345	0.00540749324063345
COL6A1	TAC	normal	3077	0.0100747481312967	0.0100747481312967
PECAM1	ABS	conventional_adenoma	8236	0.0117775619232637	0.0133559980573094
PECAM1	GOB	conventional_adenoma	3908	0.0122824974411464	0.0125383828045036
PECAM1	TAC	conventional_adenoma	1542	0.0116731517509728	0.0116731517509728
PECAM1	ABS	normal	18391	0.0107661356098091	0.0113098798325268
PECAM1	GOB	normal	5178	0.00791811510235612	0.00791811510235612
PECAM1	TAC	normal	3077	0.00779980500487488	0.00779980500487488
VWF	ABS	conventional_adenoma	8236	0.0293831957260806	0.0302331228751821
VWF	GOB	conventional_adenoma	3908	0.0235414534288639	0.0237973387922211
VWF	TAC	conventional_adenoma	1542	0.0304798962386511	0.0311284046692607
VWF	ABS	normal	18391	0.0324615300962427	0.0337121418084933
VWF	GOB	normal	5178	0.0181537273078409	0.018539976825029
VWF	TAC	normal	3077	0.0266493337666558	0.0272993175170621
EMCN	ABS	conventional_adenoma	8236	0.0330257406508014	0.0338756677999029
EMCN	GOB	conventional_adenoma	3908	0.0363357215967247	0.0383828045035824
EMCN	TAC	conventional_adenoma	1542	0.0466926070038911	0.0525291828793774
EMCN	ABS	normal	18391	0.0440432820401283	0.0457832635528247
EMCN	GOB	normal	5178	0.0363074546156817	0.0380455774430282
EMCN	TAC	normal	3077	0.0536236594085148	0.0591485212869678
KDR	ABS	conventional_adenoma	8236	0.00109276347741622	0.00109276347741622
KDR	GOB	conventional_adenoma	3908	0.000767656090071648	0.000767656090071648
KDR	TAC	conventional_adenoma	1542	0.00194552529182879	0.00194552529182879
KDR	ABS	normal	18391	0.00184873035723995	0.00190310477951172
KDR	GOB	normal	5178	0.00154499806875241	0.00154499806875241
KDR	TAC	normal	3077	0.0016249593760156	0.0016249593760156
ENG	ABS	conventional_adenoma	8236	0.00667799902865469	0.00679941719281204
ENG	GOB	conventional_adenoma	3908	0.0161207778915046	0.0181678607983623
ENG	TAC	conventional_adenoma	1542	0.0116731517509728	0.0116731517509728
ENG	ABS	normal	18391	0.00500244684900223	0.00500244684900223
ENG	GOB	normal	5178	0.00656624179219776	0.00675936655079181
ENG	TAC	normal	3077	0.00422489437764056	0.00422489437764056
INPP5D	ABS	conventional_adenoma	8236	0.0574307916464303	0.0718795531811559
INPP5D	GOB	conventional_adenoma	3908	0.186284544524053	0.267656090071648
INPP5D	TAC	conventional_adenoma	1542	0.284695201037613	0.471465629053178
INPP5D	ABS	normal	18391	0.0270784622913382	0.0316459137621663
INPP5D	GOB	normal	5178	0.0220162224797219	0.0251062186172267
INPP5D	TAC	normal	3077	0.0344491387715307	0.0412739681507962
TIMP1	ABS	conventional_adenoma	8236	0.0988343856240894	0.131131617289947
TIMP1	GOB	conventional_adenoma	3908	0.208034800409417	0.321392016376663
TIMP1	TAC	conventional_adenoma	1542	0.303501945525292	0.523346303501946
TIMP1	ABS	normal	18391	0.0245228644445653	0.0290359414931216
TIMP1	GOB	normal	5178	0.0451911935110081	0.0569718037852453
TIMP1	TAC	normal	3077	0.0295742606434839	0.0367240818979526
S100P	ABS	conventional_adenoma	8236	0.275619232637203	0.710781932977173
S100P	GOB	conventional_adenoma	3908	0.577277379733879	2.02686796315251
S100P	TAC	conventional_adenoma	1542	0.607003891050584	2.95460440985733
S100P	ABS	normal	18391	0.0898265455929531	0.146702191289218
S100P	GOB	normal	5178	0.293163383545771	0.861143298570877
S100P	TAC	normal	3077	0.0516737081572961	0.0799480012999675
LCN2	ABS	conventional_adenoma	8236	0.418285575522098	1.25497814473045
LCN2	GOB	conventional_adenoma	3908	0.264073694984647	0.944216990788127
LCN2	TAC	conventional_adenoma	1542	0.570687418936446	2.42347600518807
LCN2	ABS	normal	18391	0.214126474906204	0.344842586047523
LCN2	GOB	normal	5178	0.0380455774430282	0.048667439165701
LCN2	TAC	normal	3077	0.250893727656809	0.465063373415665
