row_id	donor_id	route_group	full_core_score	panel_k1	panel_k2	panel_k3	panel_k4	panel_k5	panel_k6	panel_k7	panel_k8	panel_k9	panel_k10	panel_k11	panel_k12	panel_k13	panel_k14	panel_k15	panel_k16	panel_k17	panel_k18	panel_k19	panel_k20	panel_k21	panel_k22	panel_k23	panel_k24	panel_k25	panel_k26	panel_k27	panel_k28	panel_k29	panel_k30
11	HTA11_3077	normal	-1.80521683503594	-2.18752511696014	-2.00372291657582	-2.11872526477332	-2.01062376410052	-1.9600409912001	-2.05865367712137	-2.12107958922248	-2.04012447531954	-2.08494013788685	-1.90127303021101	-1.88890209967654	-1.83989062329173	-1.91659494946589	-1.78683517173964	-1.84789467940826	-2.01200158459499	-1.91495427190341	-1.92854383650034	-1.91183293780818	-1.99505906097323	-1.96560185987284	-1.93349432466301	-1.9969587345792	-2.04032858776431	-2.04706466600214	-2.03607735288088	-2.03311153430042	-2.03328464357125	-2.05259559939968	-2.05941096223193
12	HTA11_3252	normal	-1.93945532341515	-0.698543352981972	-1.44673279613702	-1.69692028716385	-2.21360898087256	-2.00712908807697	-2.02869757145576	-2.08264687858771	-2.13817782852643	-1.9844857296901	-2.13122684425622	-1.96112624485099	-2.00613915762479	-1.89818873170316	-2.04550985790287	-1.95851698335527	-1.96571138569619	-1.93829455110366	-1.92777062186324	-1.92922817932299	-1.81903380897387	-1.80880989908203	-1.84184592590976	-1.95630740498936	-1.8957460207485	-1.93539412041558	-1.88042920575513	-1.87232879230116	-1.85387537030469	-1.85505120797803	-1.83001410097406
13	HTA11_3361	conventional_adenoma	1.06497285639073	0.829346212035287	2.00292335203387	2.21606958199689	2.09857695928477	1.57984390209975	1.68212796249202	1.65610246751911	1.59992935158884	1.51629330742446	1.41222482464289	1.49367197998863	1.40811915400995	1.46785132254851	1.34888814311602	1.3497388564219	1.34010622048167	1.3275498444347	1.34313170679557	1.31778127039452	1.26361089378929	1.26591371064811	1.2247240339443	1.20263020531272	1.20999631359192	1.16478128120961	1.12803269089307	1.11220699234152	1.10168898454277	1.0794529767709	1.0384102106397
14	HTA11_3361	normal	-1.42854038082257	-1.31903009285971	-0.873637470124231	-0.958889935014976	-1.30893396261631	-1.36649747950486	-1.56901237068417	-1.4698341154825	-1.38880384752265	-1.49339350887776	-1.4722971000906	-1.54549277453027	-1.54947670805262	-1.57639961273928	-1.53928178878417	-1.58360962595126	-1.55929128683905	-1.54071765237056	-1.57568546585614	-1.53281503088881	-1.46543821049406	-1.49651313255931	-1.52113686418645	-1.50732608253244	-1.53577850724563	-1.4920017624441	-1.49482453947265	-1.51032986722312	-1.4921682019196	-1.49019505849384	-1.48285380782808
15	HTA11_3410	conventional_adenoma	2.4820349758163	1.20307248250197	2.22532508936512	2.52639512636948	2.36794261912083	2.40544309345799	2.2092756750046	2.20222739657487	2.29087475233789	2.28562308433616	2.39833106778031	2.56711375186437	2.56332715627776	2.49358901543199	2.52503642486677	2.54194756673693	2.57153396837032	2.54367795909448	2.57856986408529	2.56008914561387	2.61927083113134	2.56803014132766	2.61175571103392	2.69039454929715	2.69678006991946	2.73426042620294	2.75415655326836	2.79006792475032	2.79326429973736	2.78549839287395	2.81390814999033
16	HTA11_3410	normal	-0.372622964880962	0.658219960770823	0.653459051363008	0.441544044818673	0.176079308182891	0.255769785408302	-0.228746072887558	-0.0487143118886784	-0.0603463150874863	0.0333079547680199	-0.0937797187911747	-0.109849105298246	-0.20010351515159	-0.171131007113526	-0.252305598724302	-0.165573659082771	-0.125429139921685	-0.141705259169413	-0.208532861564042	-0.284938763140103	-0.205554837498629	-0.231373818193665	-0.240257643318626	-0.240003122590538	-0.22147107820365	-0.23607304065824	-0.232575802449177	-0.259133811003207	-0.246106455778276	-0.348184919693197	-0.357852966133772
17	HTA11_347	conventional_adenoma	-0.314366537910481	-0.599337420388707	-0.370675919712142	-0.170224527951384	-0.217918183448329	-0.463376190861896	-0.385310278732116	-0.343939593633278	-0.449184382862448	-0.565491043753157	-0.58942832736675	-0.622639429090055	-0.557459386321484	-0.576654685665797	-0.56256050180296	-0.536532892246314	-0.475180290962349	-0.577248392670316	-0.540709141542573	-0.578357556663321	-0.575207714618104	-0.540123402710709	-0.504371797890725	-0.491697639369451	-0.470666186992634	-0.438160276112533	-0.451517060712129	-0.464065138626264	-0.492823428602615	-0.498571700918054	-0.466922199176585
18	HTA11_377	normal	-0.794797927509837	-1.52479738009941	-0.939781081925703	-0.730739918438506	-1.01276656728672	-1.18784918284408	-1.00452047674133	-0.835543155461743	-1.03110391017114	-0.898560028612078	-0.906610433822753	-0.920960859741065	-0.991399834107938	-0.96276256737566	-1.00806723936265	-1.0035037178492	-0.960754841010696	-0.939974642365464	-0.994647506721883	-0.95873424516224	-0.951083047061184	-1.00926414601403	-0.964435454341978	-0.99708269039662	-1.00909550353999	-0.986902118405435	-0.995840794794605	-1.09423103106932	-1.086037240053	-1.09172396750485	-1.08508227473168
19	HTA11_392	normal	-0.596162038261142	-0.863810891985885	-0.461529407556384	-0.572960011522126	-0.70624952896853	-0.653516843078391	-0.569001019322828	-0.73800631467379	-0.71925926279703	-0.597152896881634	-0.5091812187412	-0.478111862236903	-0.52858877517631	-0.486067625795699	-0.496893136551222	-0.64320399354227	-0.619268465578735	-0.63704948787133	-0.626898025207879	-0.618010774774604	-0.609613316252825	-0.63280770260667	-0.59881935913023	-0.61499133740343	-0.627942119306595	-0.633816893259854	-0.603921154197891	-0.585472226219269	-0.578299413870257	-0.578988392078269	-0.552213253541693
20	HTA11_411	normal	-0.609965321458005	-0.742373977415127	-0.534736922878545	-0.350278463250565	-0.560866791018562	-0.524908306333931	-0.520146460253188	-0.502183961849533	-0.547459477172245	-0.50102256292614	-0.6019633343788	-0.540301458755173	-0.560164197969804	-0.63821735296385	-0.639712588245884	-0.562832443833881	-0.570862538713011	-0.579862888344489	-0.553625653762941	-0.560198764289309	-0.569389056369541	-0.550840030576782	-0.548646864896009	-0.563921334121684	-0.583074774020333	-0.592771963033388	-0.606180288681009	-0.60519747856849	-0.628809305392887	-0.608047941873711	-0.596293912692612
