gene	arm	logFC	adj.P.Val	direction_stability	bootstrap_ci_low	bootstrap_ci_high	GeneID	type_of_gene	Nomenclature_status	ncbi_current_symbol	annotation_method	GSE117606	GSE40362	GSE41657	GSE50114	GSE72820	GSE8671	n_platforms_present	all_six_platforms_present	protein_coding	objective_selection_eligible	eligibility_rule
STBD1	down	-0.290792984272162	0.0039724815093765	1.0	-0.408849182724953	-0.197714782878757	8987	protein-coding	O	STBD1	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
SLC25A5	down	-0.437096779562535	0.0041124097636014	1.0	-0.631731453537941	-0.220588910579682	292	protein-coding	O	SLC25A5	current_ncbi_symbol	False	True	True	True	True	True	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
NDRG1	down	-0.396004917796463	0.0041124097636014	1.0	-0.54004734903574	-0.275909511744976	10397	protein-coding	O	NDRG1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
ZNF703	up	0.326823930396074	0.0041124097636014	1.0	0.154873792827129	0.49569870904088	80139	protein-coding	O	ZNF703	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
SQOR	down	-0.325725088541322	0.0041124097636014	1.0	-0.462187009304762	-0.186385440826416	58472	protein-coding	O	SQOR	current_ncbi_symbol	True	False	False	False	False	False	1	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
HSPA1A	down	-0.404746968123438	0.0042585071425624	1.0	-0.519070480763912	-0.286133991926908	3303	protein-coding	O	HSPA1A	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
TMEM158	up	0.10178384769616	0.0046840544999302	1.0	0.0553933537565172	0.147442894056439	25907	protein-coding	O	TMEM158	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
APLP2	down	-0.334622075943535	0.0047859961009447	1.0	-0.490374466776848	-0.180906643345952	334	protein-coding	O	APLP2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
NDUFAB1	down	-0.237572413005379	0.0047859961009447	1.0	-0.338488584011793	-0.114323399215937	4706	protein-coding	O	NDUFAB1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
IMPA2	down	-0.255434190574783	0.0048737302369789	1.0	-0.354447232931852	-0.130930967628956	3613	protein-coding	O	IMPA2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
UQCRFS1	down	-0.23375166546947	0.0048737302369789	1.0	-0.344954367727041	-0.138956316933036	7386	protein-coding	O	UQCRFS1	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
GLRX2	down	-0.103900607210592	0.0048737302369789	1.0	-0.142737450823188	-0.0548838683404028	51022	protein-coding	O	GLRX2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
MSX2	up	0.413514335469062	0.0049067905656043	1.0	0.187865725904703	0.684177084267139	4488	protein-coding	O	MSX2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
TUSC1	down	-0.188027324253649	0.0053499744028351	1.0	-0.25154949426651	-0.112666779942811	286319	protein-coding	O	TUSC1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
LRRC19	down	-0.342115545052	0.0055844587715872	1.0	-0.484830068796873	-0.211130802333355	64922	protein-coding	O	LRRC19	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
CCL14	down	-0.0925683485320489	0.0056256992801635	1.0	-0.13011896982789	-0.0528259890154004	6358	protein-coding	O	CCL14	current_ncbi_symbol	False	False	True	True	True	False	3	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
