gene	platform	feature_present	eligibility_information
UQCRFS1	GSE8671	False	feature availability only; labels not accessed
GLRX2	GSE8671	False	feature availability only; labels not accessed
MSX2	GSE8671	True	feature availability only; labels not accessed
TUSC1	GSE8671	False	feature availability only; labels not accessed
LRRC19	GSE8671	True	feature availability only; labels not accessed
CCL14	GSE8671	False	feature availability only; labels not accessed
ENC1	GSE8671	True	feature availability only; labels not accessed
SLC17A1	GSE8671	False	feature availability only; labels not accessed
KIF3C	GSE8671	False	feature availability only; labels not accessed
DRD2	GSE8671	False	feature availability only; labels not accessed
ITGA9	GSE8671	False	feature availability only; labels not accessed
ETHE1	GSE8671	True	feature availability only; labels not accessed
GDF15	GSE8671	True	feature availability only; labels not accessed
ATP5MG	GSE8671	False	feature availability only; labels not accessed
SLC7A5	GSE8671	True	feature availability only; labels not accessed
FAM162A	GSE8671	False	feature availability only; labels not accessed
RBKS	GSE8671	False	feature availability only; labels not accessed
TBX3	GSE8671	True	feature availability only; labels not accessed
GHITM	GSE8671	False	feature availability only; labels not accessed
SEMA3F	GSE8671	True	feature availability only; labels not accessed
LZTS3	GSE8671	True	feature availability only; labels not accessed
PKIB	GSE8671	True	feature availability only; labels not accessed
PDLIM1	GSE8671	False	feature availability only; labels not accessed
SLC22A5	GSE8671	False	feature availability only; labels not accessed
SLC20A1	GSE8671	False	feature availability only; labels not accessed
CPNE7	GSE8671	True	feature availability only; labels not accessed
PCK1	GSE8671	True	feature availability only; labels not accessed
CAMK2N1	GSE8671	True	feature availability only; labels not accessed
L1TD1	GSE8671	True	feature availability only; labels not accessed
CHP1	GSE8671	True	feature availability only; labels not accessed
TRIP6	GSE8671	True	feature availability only; labels not accessed
ATP5PD	GSE8671	False	feature availability only; labels not accessed
AK2	GSE8671	False	feature availability only; labels not accessed
DBNDD2	GSE8671	False	feature availability only; labels not accessed
CBX6	GSE8671	False	feature availability only; labels not accessed
ANKRD13B	GSE8671	False	feature availability only; labels not accessed
KRT10-AS1	GSE8671	False	feature availability only; labels not accessed
ARL14	GSE8671	False	feature availability only; labels not accessed
COX6C	GSE8671	True	feature availability only; labels not accessed
MYL12A	GSE8671	True	feature availability only; labels not accessed
CLCA4	GSE8671	False	feature availability only; labels not accessed
SDHD	GSE8671	False	feature availability only; labels not accessed
DAB2	GSE8671	True	feature availability only; labels not accessed
HADH	GSE8671	False	feature availability only; labels not accessed
MYORG	GSE8671	False	feature availability only; labels not accessed
UBE2A	GSE8671	False	feature availability only; labels not accessed
DPP10-AS1	GSE8671	False	feature availability only; labels not accessed
FGFRL1	GSE8671	False	feature availability only; labels not accessed
ISL2	GSE8671	False	feature availability only; labels not accessed
TST	GSE8671	True	feature availability only; labels not accessed
CYFIP2	GSE8671	False	feature availability only; labels not accessed
SPIB	GSE8671	False	feature availability only; labels not accessed
PXMP2	GSE8671	False	feature availability only; labels not accessed
SIPA1	GSE8671	False	feature availability only; labels not accessed
NKD1	GSE8671	True	feature availability only; labels not accessed
TPT1	GSE8671	True	feature availability only; labels not accessed
FABP5	GSE8671	False	feature availability only; labels not accessed
PHGR1	GSE8671	True	feature availability only; labels not accessed
FCGRT	GSE8671	True	feature availability only; labels not accessed
PDZD11	GSE8671	False	feature availability only; labels not accessed
SNX7-DT	GSE8671	False	feature availability only; labels not accessed
MPC1	GSE8671	False	feature availability only; labels not accessed
DYNLL1	GSE8671	False	feature availability only; labels not accessed
NDUFA6	GSE8671	False	feature availability only; labels not accessed
GRIN2B	GSE8671	True	feature availability only; labels not accessed
CHASERR	GSE8671	False	feature availability only; labels not accessed
LINC01411	GSE8671	False	feature availability only; labels not accessed
MYL6	GSE8671	True	feature availability only; labels not accessed
LGALS9B	GSE8671	False	feature availability only; labels not accessed
FOXD2	GSE8671	False	feature availability only; labels not accessed
MAD2L1BP	GSE8671	False	feature availability only; labels not accessed
COL9A3	GSE8671	False	feature availability only; labels not accessed
HSBP1	GSE8671	False	feature availability only; labels not accessed
MEX3A	GSE8671	False	feature availability only; labels not accessed
SLC23A1	GSE8671	False	feature availability only; labels not accessed
LINC01315	GSE8671	False	feature availability only; labels not accessed
LINC02563	GSE8671	False	feature availability only; labels not accessed
NOL4L	GSE8671	False	feature availability only; labels not accessed
LRRC2	GSE8671	False	feature availability only; labels not accessed
PATZ1	GSE8671	False	feature availability only; labels not accessed
SLC9A3-OT1	GSE8671	False	feature availability only; labels not accessed
ATP5F1B	GSE8671	False	feature availability only; labels not accessed
WDR1	GSE8671	False	feature availability only; labels not accessed
MRPL34	GSE8671	False	feature availability only; labels not accessed
EPCAM	GSE8671	True	feature availability only; labels not accessed
UGDH	GSE8671	False	feature availability only; labels not accessed
CITED2	GSE8671	False	feature availability only; labels not accessed
LINC02441	GSE8671	False	feature availability only; labels not accessed
COX6A1	GSE8671	True	feature availability only; labels not accessed
NDUFC1	GSE8671	False	feature availability only; labels not accessed
FH	GSE8671	False	feature availability only; labels not accessed
SF3B6	GSE8671	False	feature availability only; labels not accessed
ZNF579	GSE8671	False	feature availability only; labels not accessed
SPOCD1	GSE8671	False	feature availability only; labels not accessed
GNA11	GSE8671	False	feature availability only; labels not accessed
COX7C	GSE8671	False	feature availability only; labels not accessed
DBI	GSE8671	False	feature availability only; labels not accessed
ISCA2	GSE8671	False	feature availability only; labels not accessed
TTC39C	GSE8671	False	feature availability only; labels not accessed
BMP3	GSE8671	False	feature availability only; labels not accessed
PROX1	GSE8671	False	feature availability only; labels not accessed
NDUFB6	GSE8671	False	feature availability only; labels not accessed
KLF4	GSE8671	False	feature availability only; labels not accessed
CDKN2B	GSE8671	False	feature availability only; labels not accessed
LCN15	GSE8671	False	feature availability only; labels not accessed
CDKN2C	GSE8671	False	feature availability only; labels not accessed
HINT1	GSE8671	False	feature availability only; labels not accessed
KLF10	GSE8671	False	feature availability only; labels not accessed
UGT2A3	GSE8671	True	feature availability only; labels not accessed
DGUOK	GSE8671	False	feature availability only; labels not accessed
ARF6	GSE8671	False	feature availability only; labels not accessed
ABRACL	GSE8671	False	feature availability only; labels not accessed
PRDX6	GSE8671	True	feature availability only; labels not accessed
SPMIP2	GSE8671	False	feature availability only; labels not accessed
CA7	GSE8671	False	feature availability only; labels not accessed
SLC25A51	GSE8671	False	feature availability only; labels not accessed
TP53INP2	GSE8671	False	feature availability only; labels not accessed
HUNK	GSE8671	False	feature availability only; labels not accessed
COL4A5	GSE8671	False	feature availability only; labels not accessed
BEX4	GSE8671	False	feature availability only; labels not accessed
NXPE4	GSE8671	False	feature availability only; labels not accessed
PLEKHG4	GSE8671	False	feature availability only; labels not accessed
KCNG1	GSE8671	False	feature availability only; labels not accessed
FKBP1A	GSE8671	False	feature availability only; labels not accessed
MGAT4B	GSE8671	False	feature availability only; labels not accessed
SPINT2	GSE8671	False	feature availability only; labels not accessed
DEFB1	GSE8671	False	feature availability only; labels not accessed
DNAI3	GSE8671	False	feature availability only; labels not accessed
LRRC32	GSE8671	False	feature availability only; labels not accessed
LINC00507	GSE8671	False	feature availability only; labels not accessed
LNC-LBCS	GSE8671	False	feature availability only; labels not accessed
WSCD1	GSE8671	False	feature availability only; labels not accessed
TRIM22	GSE8671	False	feature availability only; labels not accessed
PCK2	GSE8671	False	feature availability only; labels not accessed
CIB2	GSE8671	False	feature availability only; labels not accessed
PTP4A3	GSE8671	False	feature availability only; labels not accessed
MIER3	GSE8671	False	feature availability only; labels not accessed
SLC22A11	GSE8671	False	feature availability only; labels not accessed
SLC40A1	GSE8671	True	feature availability only; labels not accessed
LEF1	GSE8671	False	feature availability only; labels not accessed
GSTM4	GSE8671	False	feature availability only; labels not accessed
GTF2A2	GSE8671	False	feature availability only; labels not accessed
MAP2K5-DT	GSE8671	False	feature availability only; labels not accessed
NDUFB9	GSE8671	False	feature availability only; labels not accessed
FZD5	GSE8671	False	feature availability only; labels not accessed
GON7	GSE8671	False	feature availability only; labels not accessed
ATP5PO	GSE8671	False	feature availability only; labels not accessed
PPIC	GSE8671	False	feature availability only; labels not accessed
DHRS2	GSE8671	False	feature availability only; labels not accessed
ACAA2	GSE8671	True	feature availability only; labels not accessed
ACOX1	GSE8671	False	feature availability only; labels not accessed
OLFM4	GSE8671	True	feature availability only; labels not accessed
PGGHG	GSE8671	False	feature availability only; labels not accessed
TMEM183A	GSE8671	False	feature availability only; labels not accessed
SPINK2	GSE8671	False	feature availability only; labels not accessed
SLC2A5	GSE8671	False	feature availability only; labels not accessed
URAD	GSE8671	False	feature availability only; labels not accessed
CALM2	GSE8671	True	feature availability only; labels not accessed
AQP8	GSE8671	True	feature availability only; labels not accessed
GNG5	GSE8671	False	feature availability only; labels not accessed
RETSAT	GSE8671	False	feature availability only; labels not accessed
NOB1	GSE8671	False	feature availability only; labels not accessed
KAT2A	GSE8671	False	feature availability only; labels not accessed
COL4A2	GSE8671	False	feature availability only; labels not accessed
AATBC	GSE8671	False	feature availability only; labels not accessed
MDS2	GSE8671	False	feature availability only; labels not accessed
B4GALT1-AS1	GSE8671	False	feature availability only; labels not accessed
LINC02100	GSE8671	False	feature availability only; labels not accessed
LRRC8D-DT	GSE8671	False	feature availability only; labels not accessed
RCAN2	GSE8671	False	feature availability only; labels not accessed
B2M	GSE8671	True	feature availability only; labels not accessed
EDA	GSE8671	False	feature availability only; labels not accessed
C16orf74	GSE8671	False	feature availability only; labels not accessed
APCDD1	GSE8671	True	feature availability only; labels not accessed
SMDT1	GSE8671	False	feature availability only; labels not accessed
ITM2C	GSE8671	True	feature availability only; labels not accessed
CDC42	GSE8671	False	feature availability only; labels not accessed
ABCG2	GSE8671	False	feature availability only; labels not accessed
EIF1B	GSE8671	False	feature availability only; labels not accessed
MT3	GSE8671	False	feature availability only; labels not accessed
POFUT1	GSE8671	False	feature availability only; labels not accessed
NDUFS2	GSE8671	False	feature availability only; labels not accessed
CPT1A	GSE8671	False	feature availability only; labels not accessed
VENTX	GSE8671	False	feature availability only; labels not accessed
LINC00524	GSE8671	False	feature availability only; labels not accessed
SLC51B	GSE8671	False	feature availability only; labels not accessed
CBS	GSE8671	False	feature availability only; labels not accessed
LINC01996	GSE8671	False	feature availability only; labels not accessed
COX8A	GSE8671	False	feature availability only; labels not accessed
NEURL1B	GSE8671	False	feature availability only; labels not accessed
BPGM	GSE8671	False	feature availability only; labels not accessed
RAB6B	GSE8671	False	feature availability only; labels not accessed
GFI1B	GSE8671	False	feature availability only; labels not accessed
MRPS6	GSE8671	False	feature availability only; labels not accessed
CRTAP	GSE8671	False	feature availability only; labels not accessed
ALDH18A1	GSE8671	False	feature availability only; labels not accessed
RNF5	GSE8671	False	feature availability only; labels not accessed
SLC19A3	GSE8671	False	feature availability only; labels not accessed
ITM2B	GSE8671	False	feature availability only; labels not accessed
ABCA4	GSE8671	False	feature availability only; labels not accessed
PPIF	GSE8671	False	feature availability only; labels not accessed
CLDN2	GSE8671	True	feature availability only; labels not accessed
F2RL1	GSE8671	False	feature availability only; labels not accessed
ODAM	GSE8671	False	feature availability only; labels not accessed
SOCS2	GSE8671	False	feature availability only; labels not accessed
SSTR1	GSE8671	False	feature availability only; labels not accessed
VDAC2	GSE8671	False	feature availability only; labels not accessed
EMP1	GSE8671	False	feature availability only; labels not accessed
MYZAP	GSE8671	False	feature availability only; labels not accessed
IGFL4	GSE8671	False	feature availability only; labels not accessed
CMAS	GSE8671	False	feature availability only; labels not accessed
HS3ST4	GSE8671	False	feature availability only; labels not accessed
SSTR2	GSE8671	False	feature availability only; labels not accessed
LINC02026	GSE8671	False	feature availability only; labels not accessed
NEURL3	GSE8671	False	feature availability only; labels not accessed
CNR1	GSE8671	False	feature availability only; labels not accessed
PHYH	GSE8671	False	feature availability only; labels not accessed
ZNF671	GSE8671	False	feature availability only; labels not accessed
CIAO2A	GSE8671	False	feature availability only; labels not accessed
CNPPD1	GSE8671	False	feature availability only; labels not accessed
NDUFB1	GSE8671	False	feature availability only; labels not accessed
MIR513A1	GSE8671	False	feature availability only; labels not accessed
TMEM74B	GSE8671	False	feature availability only; labels not accessed
USP2	GSE8671	False	feature availability only; labels not accessed
TMEM177	GSE8671	False	feature availability only; labels not accessed
C1orf115	GSE8671	False	feature availability only; labels not accessed
NDUFB5	GSE8671	False	feature availability only; labels not accessed
RUBCNL	GSE8671	False	feature availability only; labels not accessed
FHL1	GSE8671	False	feature availability only; labels not accessed
PXDC1	GSE8671	False	feature availability only; labels not accessed
ARMC3	GSE8671	False	feature availability only; labels not accessed
TARBP2	GSE8671	False	feature availability only; labels not accessed
SHISA9	GSE8671	True	feature availability only; labels not accessed
CEACAM1	GSE8671	False	feature availability only; labels not accessed
LINC01029	GSE8671	False	feature availability only; labels not accessed
UBQLN2	GSE8671	False	feature availability only; labels not accessed
LAMTOR3	GSE8671	False	feature availability only; labels not accessed
LGALS3	GSE50114	True	feature availability only; labels not accessed
SRI	GSE50114	True	feature availability only; labels not accessed
RNF43	GSE50114	True	feature availability only; labels not accessed
IL27RA	GSE50114	True	feature availability only; labels not accessed
SOX4	GSE50114	True	feature availability only; labels not accessed
ASCL2	GSE50114	True	feature availability only; labels not accessed
CHP2	GSE50114	True	feature availability only; labels not accessed
SLC6A6	GSE50114	True	feature availability only; labels not accessed
ATP5MC3	GSE50114	False	feature availability only; labels not accessed
LHFPL7	GSE50114	False	feature availability only; labels not accessed
C15orf48	GSE50114	True	feature availability only; labels not accessed
TMEM171	GSE50114	True	feature availability only; labels not accessed
CYP4X1	GSE50114	True	feature availability only; labels not accessed
CNTN4-AS1	GSE50114	False	feature availability only; labels not accessed
FABP1	GSE50114	True	feature availability only; labels not accessed
LGALS4	GSE50114	True	feature availability only; labels not accessed
CEMIP	GSE50114	True	feature availability only; labels not accessed
ZNRF3	GSE50114	True	feature availability only; labels not accessed
AXIN2	GSE50114	True	feature availability only; labels not accessed
CYCS	GSE50114	True	feature availability only; labels not accessed
DPEP1	GSE50114	True	feature availability only; labels not accessed
SDC3	GSE50114	True	feature availability only; labels not accessed
DHRS11	GSE50114	True	feature availability only; labels not accessed
CA2	GSE50114	True	feature availability only; labels not accessed
EPHB3	GSE50114	True	feature availability only; labels not accessed
COX5A	GSE50114	True	feature availability only; labels not accessed
LGR5	GSE50114	True	feature availability only; labels not accessed
CD9	GSE50114	True	feature availability only; labels not accessed
NDUFA1	GSE50114	True	feature availability only; labels not accessed
MPC2	GSE50114	True	feature availability only; labels not accessed
TSPAN7	GSE50114	True	feature availability only; labels not accessed
LTBP1	GSE50114	True	feature availability only; labels not accessed
MOCS1	GSE50114	True	feature availability only; labels not accessed
AKR1B1	GSE50114	True	feature availability only; labels not accessed
BSG	GSE50114	True	feature availability only; labels not accessed
ARF3	GSE50114	True	feature availability only; labels not accessed
CALM1	GSE50114	True	feature availability only; labels not accessed
LRRC36	GSE50114	True	feature availability only; labels not accessed
ZNF503	GSE50114	True	feature availability only; labels not accessed
CTTNBP2	GSE50114	True	feature availability only; labels not accessed
STBD1	GSE50114	True	feature availability only; labels not accessed
SLC25A5	GSE50114	True	feature availability only; labels not accessed
NDRG1	GSE50114	True	feature availability only; labels not accessed
ZNF703	GSE50114	True	feature availability only; labels not accessed
SQOR	GSE50114	False	feature availability only; labels not accessed
HSPA1A	GSE50114	True	feature availability only; labels not accessed
TMEM158	GSE50114	True	feature availability only; labels not accessed
APLP2	GSE50114	True	feature availability only; labels not accessed
NDUFAB1	GSE50114	True	feature availability only; labels not accessed
IMPA2	GSE50114	True	feature availability only; labels not accessed
UQCRFS1	GSE50114	True	feature availability only; labels not accessed
GLRX2	GSE50114	True	feature availability only; labels not accessed
MSX2	GSE50114	True	feature availability only; labels not accessed
TUSC1	GSE50114	True	feature availability only; labels not accessed
LRRC19	GSE50114	True	feature availability only; labels not accessed
CCL14	GSE50114	True	feature availability only; labels not accessed
ENC1	GSE50114	True	feature availability only; labels not accessed
SLC17A1	GSE50114	True	feature availability only; labels not accessed
KIF3C	GSE50114	True	feature availability only; labels not accessed
DRD2	GSE50114	True	feature availability only; labels not accessed
ITGA9	GSE50114	True	feature availability only; labels not accessed
ETHE1	GSE50114	True	feature availability only; labels not accessed
GDF15	GSE50114	True	feature availability only; labels not accessed
ATP5MG	GSE50114	False	feature availability only; labels not accessed
SLC7A5	GSE50114	True	feature availability only; labels not accessed
FAM162A	GSE50114	True	feature availability only; labels not accessed
RBKS	GSE50114	True	feature availability only; labels not accessed
TBX3	GSE50114	True	feature availability only; labels not accessed
GHITM	GSE50114	True	feature availability only; labels not accessed
SEMA3F	GSE50114	True	feature availability only; labels not accessed
LZTS3	GSE50114	False	feature availability only; labels not accessed
PKIB	GSE50114	True	feature availability only; labels not accessed
PDLIM1	GSE50114	True	feature availability only; labels not accessed
SLC22A5	GSE50114	True	feature availability only; labels not accessed
SLC20A1	GSE50114	True	feature availability only; labels not accessed
CPNE7	GSE50114	True	feature availability only; labels not accessed
PCK1	GSE50114	True	feature availability only; labels not accessed
CAMK2N1	GSE50114	True	feature availability only; labels not accessed
L1TD1	GSE50114	True	feature availability only; labels not accessed
CHP1	GSE50114	True	feature availability only; labels not accessed
TRIP6	GSE50114	True	feature availability only; labels not accessed
ATP5PD	GSE50114	False	feature availability only; labels not accessed
AK2	GSE50114	True	feature availability only; labels not accessed
DBNDD2	GSE50114	True	feature availability only; labels not accessed
CBX6	GSE50114	True	feature availability only; labels not accessed
ANKRD13B	GSE50114	True	feature availability only; labels not accessed
KRT10-AS1	GSE50114	False	feature availability only; labels not accessed
ARL14	GSE50114	True	feature availability only; labels not accessed
COX6C	GSE50114	True	feature availability only; labels not accessed
MYL12A	GSE50114	True	feature availability only; labels not accessed
CLCA4	GSE50114	True	feature availability only; labels not accessed
SDHD	GSE50114	True	feature availability only; labels not accessed
DAB2	GSE50114	True	feature availability only; labels not accessed
HADH	GSE50114	True	feature availability only; labels not accessed
MYORG	GSE50114	False	feature availability only; labels not accessed
UBE2A	GSE50114	True	feature availability only; labels not accessed
DPP10-AS1	GSE50114	True	feature availability only; labels not accessed
FGFRL1	GSE50114	True	feature availability only; labels not accessed
ISL2	GSE50114	True	feature availability only; labels not accessed
TST	GSE50114	True	feature availability only; labels not accessed
CYFIP2	GSE50114	False	feature availability only; labels not accessed
SPIB	GSE50114	True	feature availability only; labels not accessed
PXMP2	GSE50114	True	feature availability only; labels not accessed
SIPA1	GSE50114	True	feature availability only; labels not accessed
NKD1	GSE50114	True	feature availability only; labels not accessed
TPT1	GSE50114	True	feature availability only; labels not accessed
FABP5	GSE50114	True	feature availability only; labels not accessed
PHGR1	GSE50114	False	feature availability only; labels not accessed
FCGRT	GSE50114	True	feature availability only; labels not accessed
PDZD11	GSE50114	True	feature availability only; labels not accessed
SNX7-DT	GSE50114	False	feature availability only; labels not accessed
MPC1	GSE50114	True	feature availability only; labels not accessed
DYNLL1	GSE50114	True	feature availability only; labels not accessed
NDUFA6	GSE50114	True	feature availability only; labels not accessed
GRIN2B	GSE50114	True	feature availability only; labels not accessed
CHASERR	GSE50114	False	feature availability only; labels not accessed
LINC01411	GSE50114	False	feature availability only; labels not accessed
MYL6	GSE50114	True	feature availability only; labels not accessed
LGALS9B	GSE50114	False	feature availability only; labels not accessed
FOXD2	GSE50114	True	feature availability only; labels not accessed
MAD2L1BP	GSE50114	True	feature availability only; labels not accessed
COL9A3	GSE50114	True	feature availability only; labels not accessed
HSBP1	GSE50114	True	feature availability only; labels not accessed
MEX3A	GSE50114	True	feature availability only; labels not accessed
SLC23A1	GSE50114	True	feature availability only; labels not accessed
LINC01315	GSE50114	False	feature availability only; labels not accessed
LINC02563	GSE50114	False	feature availability only; labels not accessed
NOL4L	GSE50114	True	feature availability only; labels not accessed
LRRC2	GSE50114	True	feature availability only; labels not accessed
PATZ1	GSE50114	True	feature availability only; labels not accessed
SLC9A3-OT1	GSE50114	False	feature availability only; labels not accessed
ATP5F1B	GSE50114	False	feature availability only; labels not accessed
WDR1	GSE50114	True	feature availability only; labels not accessed
MRPL34	GSE50114	True	feature availability only; labels not accessed
EPCAM	GSE50114	True	feature availability only; labels not accessed
UGDH	GSE50114	True	feature availability only; labels not accessed
CITED2	GSE50114	True	feature availability only; labels not accessed
LINC02441	GSE50114	False	feature availability only; labels not accessed
COX6A1	GSE50114	True	feature availability only; labels not accessed
NDUFC1	GSE50114	True	feature availability only; labels not accessed
FH	GSE50114	True	feature availability only; labels not accessed
SF3B6	GSE50114	True	feature availability only; labels not accessed
ZNF579	GSE50114	True	feature availability only; labels not accessed
SPOCD1	GSE50114	True	feature availability only; labels not accessed
GNA11	GSE50114	True	feature availability only; labels not accessed
COX7C	GSE50114	True	feature availability only; labels not accessed
DBI	GSE50114	True	feature availability only; labels not accessed
ISCA2	GSE50114	True	feature availability only; labels not accessed
TTC39C	GSE50114	True	feature availability only; labels not accessed
BMP3	GSE50114	True	feature availability only; labels not accessed
PROX1	GSE50114	True	feature availability only; labels not accessed
NDUFB6	GSE50114	True	feature availability only; labels not accessed
KLF4	GSE50114	True	feature availability only; labels not accessed
CDKN2B	GSE50114	True	feature availability only; labels not accessed
LCN15	GSE50114	True	feature availability only; labels not accessed
CDKN2C	GSE50114	True	feature availability only; labels not accessed
HINT1	GSE50114	True	feature availability only; labels not accessed
KLF10	GSE50114	True	feature availability only; labels not accessed
UGT2A3	GSE50114	True	feature availability only; labels not accessed
DGUOK	GSE50114	True	feature availability only; labels not accessed
ARF6	GSE50114	True	feature availability only; labels not accessed
ABRACL	GSE50114	True	feature availability only; labels not accessed
PRDX6	GSE50114	True	feature availability only; labels not accessed
SPMIP2	GSE50114	False	feature availability only; labels not accessed
CA7	GSE50114	True	feature availability only; labels not accessed
SLC25A51	GSE50114	True	feature availability only; labels not accessed
TP53INP2	GSE50114	True	feature availability only; labels not accessed
HUNK	GSE50114	True	feature availability only; labels not accessed
COL4A5	GSE50114	True	feature availability only; labels not accessed
BEX4	GSE50114	True	feature availability only; labels not accessed
NXPE4	GSE50114	True	feature availability only; labels not accessed
PLEKHG4	GSE50114	False	feature availability only; labels not accessed
KCNG1	GSE50114	True	feature availability only; labels not accessed
FKBP1A	GSE50114	True	feature availability only; labels not accessed
MGAT4B	GSE50114	True	feature availability only; labels not accessed
SPINT2	GSE50114	True	feature availability only; labels not accessed
DEFB1	GSE50114	True	feature availability only; labels not accessed
DNAI3	GSE50114	False	feature availability only; labels not accessed
LRRC32	GSE50114	True	feature availability only; labels not accessed
LINC00507	GSE50114	False	feature availability only; labels not accessed
LNC-LBCS	GSE50114	False	feature availability only; labels not accessed
WSCD1	GSE50114	True	feature availability only; labels not accessed
TRIM22	GSE50114	True	feature availability only; labels not accessed
PCK2	GSE50114	True	feature availability only; labels not accessed
CIB2	GSE50114	True	feature availability only; labels not accessed
PTP4A3	GSE50114	True	feature availability only; labels not accessed
MIER3	GSE50114	True	feature availability only; labels not accessed
SLC22A11	GSE50114	True	feature availability only; labels not accessed
SLC40A1	GSE50114	True	feature availability only; labels not accessed
LEF1	GSE50114	True	feature availability only; labels not accessed
GSTM4	GSE50114	True	feature availability only; labels not accessed
GTF2A2	GSE50114	True	feature availability only; labels not accessed
MAP2K5-DT	GSE50114	False	feature availability only; labels not accessed
NDUFB9	GSE50114	True	feature availability only; labels not accessed
FZD5	GSE50114	True	feature availability only; labels not accessed
GON7	GSE50114	True	feature availability only; labels not accessed
ATP5PO	GSE50114	False	feature availability only; labels not accessed
PPIC	GSE50114	True	feature availability only; labels not accessed
DHRS2	GSE50114	True	feature availability only; labels not accessed
ACAA2	GSE50114	True	feature availability only; labels not accessed
ACOX1	GSE50114	True	feature availability only; labels not accessed
OLFM4	GSE50114	True	feature availability only; labels not accessed
PGGHG	GSE50114	True	feature availability only; labels not accessed
TMEM183A	GSE50114	True	feature availability only; labels not accessed
SPINK2	GSE50114	True	feature availability only; labels not accessed
SLC2A5	GSE50114	True	feature availability only; labels not accessed
URAD	GSE50114	False	feature availability only; labels not accessed
CALM2	GSE50114	True	feature availability only; labels not accessed
AQP8	GSE50114	True	feature availability only; labels not accessed
GNG5	GSE50114	True	feature availability only; labels not accessed
RETSAT	GSE50114	True	feature availability only; labels not accessed
NOB1	GSE50114	True	feature availability only; labels not accessed
KAT2A	GSE50114	True	feature availability only; labels not accessed
COL4A2	GSE50114	True	feature availability only; labels not accessed
AATBC	GSE50114	True	feature availability only; labels not accessed
MDS2	GSE50114	True	feature availability only; labels not accessed
B4GALT1-AS1	GSE50114	True	feature availability only; labels not accessed
LINC02100	GSE50114	False	feature availability only; labels not accessed
LRRC8D-DT	GSE50114	False	feature availability only; labels not accessed
RCAN2	GSE50114	True	feature availability only; labels not accessed
B2M	GSE50114	True	feature availability only; labels not accessed
EDA	GSE50114	True	feature availability only; labels not accessed
C16orf74	GSE50114	True	feature availability only; labels not accessed
APCDD1	GSE50114	True	feature availability only; labels not accessed
SMDT1	GSE50114	True	feature availability only; labels not accessed
ITM2C	GSE50114	True	feature availability only; labels not accessed
CDC42	GSE50114	True	feature availability only; labels not accessed
ABCG2	GSE50114	True	feature availability only; labels not accessed
EIF1B	GSE50114	True	feature availability only; labels not accessed
MT3	GSE50114	True	feature availability only; labels not accessed
