pair_step	up_gene	down_gene	training_correlation	held_out_donor
8	TBX3	CYCS	0.996492184937351	HTA11_3410
9	LRRC36	LRRC19	0.996394268562012	HTA11_3410
10	SEMA3F	LGALS4	0.996682990684804	HTA11_3410
11	L1TD1	UGT2A3	0.99686335927142	HTA11_3410
12	ZNF503	MYL6	0.996999390369082	HTA11_3410
13	DAB2	CALM2	0.997230414333642	HTA11_3410
14	DPEP1	BSG	0.997539225274431	HTA11_3410
15	LGR5	COX6C	0.99760763071298	HTA11_3410
16	CPNE7	CA2	0.997386280206426	HTA11_3410
17	APCDD1	PCK1	0.997401320378598	HTA11_3410
18	CLDN2	COX5A	0.997325990564975	HTA11_3410
19	NKD1	ETHE1	0.997186424114209	HTA11_3410
20	TRIP6	ACAA2	0.997088904854258	HTA11_3410
21	SLC40A1	CALM1	0.99710687061246	HTA11_3410
22	CYP4X1	SRI	0.996862937076672	HTA11_3410
23	SDC3	HSPA1A	0.996439988044825	HTA11_3410
24	EPHB3	CAMK2N1	0.996078641687069	HTA11_3410
25	GDF15	ITM2C	0.995628595345839	HTA11_3410
26	ZNF703	C15orf48	0.994996002388351	HTA11_3410
27	GRIN2B	LGALS3	0.994172854561483	HTA11_3410
28	MSX2	PRDX6	0.993196552716792	HTA11_3410
29	OLFM4	FCGRT	0.991997247547656	HTA11_3410
30	ENC1	FABP1	0.990508444475249	HTA11_3410
1	ASCL2	LGALS3	0.957074910995837	HTA11_347
2	SOX4	COX6C	0.979923561715115	HTA11_347
3	SLC7A5	NDUFA1	0.989118874195659	HTA11_347
4	AXIN2	CYCS	0.992171710303706	HTA11_347
5	SDC3	LRRC19	0.993198670193161	HTA11_347
6	DPEP1	ETHE1	0.994889665664469	HTA11_347
7	ZNF503	TPT1	0.996010998398364	HTA11_347
8	LTBP1	CA2	0.996469984173871	HTA11_347
9	L1TD1	CAMK2N1	0.996950452186501	HTA11_347
10	SLC40A1	B2M	0.997101824944173	HTA11_347
11	SLC6A6	CHP2	0.997300571697019	HTA11_347
12	NKD1	CD9	0.997668064376919	HTA11_347
13	TRIP6	FCGRT	0.997984371560153	HTA11_347
14	CYP4X1	SRI	0.997729881577613	HTA11_347
15	DAB2	CALM2	0.997627144599243	HTA11_347
16	SEMA3F	MYL6	0.997512001412193	HTA11_347
17	CPNE7	UGT2A3	0.997760835842564	HTA11_347
18	LGR5	LGALS4	0.997603344625976	HTA11_347
19	APCDD1	PCK1	0.997516968197561	HTA11_347
20	RNF43	CALM1	0.997364025420186	HTA11_347
21	CLDN2	ACAA2	0.997303526545511	HTA11_347
22	LRRC36	NDRG1	0.997120820136208	HTA11_347
23	ZNF703	COX5A	0.996997721325129	HTA11_347
24	EPHB3	BSG	0.996738550039346	HTA11_347
25	GDF15	HSPA1A	0.996225967610597	HTA11_347
26	GRIN2B	PRDX6	0.995624160548332	HTA11_347
27	MSX2	C15orf48	0.994820148500127	HTA11_347
28	TBX3	PKIB	0.993902177566123	HTA11_347
29	OLFM4	ITM2C	0.992865848207922	HTA11_347
30	ENC1	FABP1	0.991490294262243	HTA11_347
1	ASCL2	LGALS3	0.957361367446773	HTA11_377
2	SOX4	COX6C	0.979805576944274	HTA11_377
3	SLC7A5	NDUFA1	0.989060854002414	HTA11_377
4	AXIN2	CYCS	0.991968452971171	HTA11_377
5	SLC6A6	SRI	0.993269634494002	HTA11_377
6	DAB2	LRRC19	0.994022566343077	HTA11_377
7	L1TD1	TPT1	0.9949375067604	HTA11_377
8	CYP4X1	CAMK2N1	0.995971328805209	HTA11_377
9	LTBP1	CHP2	0.996427596140907	HTA11_377
10	DPEP1	CD9	0.996597379140049	HTA11_377
11	ZNF503	LGALS4	0.997316359085594	HTA11_377
12	LRRC36	CA2	0.997283686249963	HTA11_377
13	EPHB3	MYL6	0.997248515126623	HTA11_377
14	TRIP6	UGT2A3	0.997479473154816	HTA11_377
15	NKD1	ETHE1	0.997320242609133	HTA11_377
16	SLC40A1	B2M	0.997549736857223	HTA11_377
17	CPNE7	CALM2	0.997534985414882	HTA11_377
18	LGR5	BSG	0.997646376743183	HTA11_377
19	SDC3	ACAA2	0.997495006664883	HTA11_377
20	APCDD1	CALM1	0.997496050486121	HTA11_377
21	RNF43	PCK1	0.997384367797736	HTA11_377
22	CLDN2	COX5A	0.997150245914741	HTA11_377
23	SEMA3F	NDRG1	0.997018799168321	HTA11_377
24	ZNF703	FCGRT	0.996731143813713	HTA11_377
25	GDF15	HSPA1A	0.996228547145008	HTA11_377
26	GRIN2B	PRDX6	0.995615053921748	HTA11_377
27	TBX3	PKIB	0.994814985370914	HTA11_377
28	MSX2	C15orf48	0.993960157581765	HTA11_377
29	OLFM4	ITM2C	0.992930049119939	HTA11_377
30	ENC1	FABP1	0.991591139784588	HTA11_377
1	ASCL2	LGALS3	0.956507757080999	HTA11_392
2	SOX4	COX6C	0.980215796889077	HTA11_392
3	SLC7A5	NDUFA1	0.988895464284104	HTA11_392
4	AXIN2	CYCS	0.992000170868198	HTA11_392
5	SDC3	LRRC19	0.993118021184799	HTA11_392
6	DPEP1	ETHE1	0.994866282700041	HTA11_392
7	ZNF503	TPT1	0.995948595624178	HTA11_392
8	LTBP1	CA2	0.996370070071096	HTA11_392
9	L1TD1	CAMK2N1	0.996727947347941	HTA11_392
10	SLC40A1	B2M	0.996896178683981	HTA11_392
11	SLC6A6	NDRG1	0.997201031650613	HTA11_392
12	APCDD1	CD9	0.997384616941836	HTA11_392
13	LGR5	MYL6	0.997711743433986	HTA11_392
14	CPNE7	CHP2	0.997737971847394	HTA11_392
15	DAB2	UGT2A3	0.997806767127852	HTA11_392
16	CYP4X1	SRI	0.997648346244708	HTA11_392
17	TRIP6	COX5A	0.997487974481538	HTA11_392
18	NKD1	TST	0.997440674551148	HTA11_392
19	RNF43	CALM2	0.997278841042694	HTA11_392
20	CLDN2	ACAA2	0.99716959320094	HTA11_392
21	LRRC36	PCK1	0.997063876021931	HTA11_392
22	SEMA3F	LGALS4	0.996969103166503	HTA11_392
23	ZNF703	CALM1	0.996779968273519	HTA11_392
24	EPHB3	FCGRT	0.996490693165188	HTA11_392
25	GDF15	HSPA1A	0.996022007441014	HTA11_392
26	GRIN2B	PRDX6	0.995386960686292	HTA11_392
27	TBX3	PKIB	0.994511933064598	HTA11_392
28	MSX2	ITM2C	0.993590891364058	HTA11_392
29	OLFM4	C15orf48	0.992540279065477	HTA11_392
30	ENC1	FABP1	0.991201347272543	HTA11_392
1	ASCL2	LGALS3	0.956947353180866	HTA11_411
2	SOX4	COX6C	0.980090076989662	HTA11_411
3	SLC7A5	NDUFA1	0.989630208741675	HTA11_411
4	AXIN2	CYCS	0.992150859498841	HTA11_411
5	SDC3	LRRC19	0.993359647676324	HTA11_411
