gene	module	module_color	module_numeric	strict_state_shared	programme_direction	discovery_common_z	heldout_common_z	heldout_common_fdr	kme_discovery_ABS	abs_kme_discovery_ABS	kme_heldout_ABS	abs_kme_heldout_ABS	kme_discovery_GOB	abs_kme_discovery_GOB	kme_heldout_GOB	abs_kme_heldout_GOB	kme_discovery_TAC	abs_kme_discovery_TAC	kme_heldout_TAC	abs_kme_heldout_TAC	module_size	bootstrap_abs_kme_ci_low_ABS	bootstrap_abs_kme_median_ABS	bootstrap_abs_kme_ci_high_ABS	bootstrap_abs_kme_ci_low_GOB	bootstrap_abs_kme_median_GOB	bootstrap_abs_kme_ci_high_GOB	bootstrap_abs_kme_ci_low_TAC	bootstrap_abs_kme_median_TAC	bootstrap_abs_kme_ci_high_TAC
CDHR2	M07	black	7	FALSE	not_shared	-0.127647380728805	-1.80002391161396	0.13622743879436	0.749105662578072	0.749105662578072	0.555603072917652	0.555603072917652	0.586552126072417	0.586552126072417	0.547260697406033	0.547260697406033	0.173539353266212	0.173539353266212	0.231168349135742	0.231168349135742	151	NA	NA	NA	NA	NA	NA	NA	NA	NA
SKIC2	M02	blue	2	FALSE	not_shared	0.125781017372994	0.22828460716467	0.873177895216357	0.761973369383103	0.761973369383103	0.670893816920284	0.670893816920284	0.663920469403954	0.663920469403954	0.744446223908976	0.744446223908976	0.705966541601252	0.705966541601252	0.467116749363162	0.467116749363162	2184	0.60925998392316	0.801736414266033	0.906995814923658	0.407085188491677	0.682941725064663	0.865707738168545	0.437336737173246	0.68148785757726	0.851179112577952
AMMECR1L	grey	grey	0	FALSE	not_shared	-0.125315463886125	-0.534180670352077	0.696836006404252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MCM3	M02	blue	2	FALSE	not_shared	0.124410421008988	1.46054541720526	0.236576187181453	0.173574474233452	0.173574474233452	0.264691242667867	0.264691242667867	0.0629317684957208	0.0629317684957208	0.0531615146154049	0.0531615146154049	0.370581089818244	0.370581089818244	0.271697434296383	0.271697434296383	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
ISOC2	M02	blue	2	FALSE	not_shared	0.123791482343224	0.298740595803745	0.832791299608974	0.795896989292497	0.795896989292497	0.680519727001112	0.680519727001112	0.779413435903864	0.779413435903864	0.833629799729627	0.833629799729627	0.735550065005432	0.735550065005432	0.804205132458708	0.804205132458708	2184	0.589531872201029	0.818267465147175	0.936133156417877	0.501341969696869	0.774004739671695	0.931372064436048	0.477925633638382	0.715383381328625	0.901356399065397
CDKN2AIPNL	M02	blue	2	FALSE	not_shared	-0.12370277655362	NA	NA	0.658017663408213	0.658017663408213	0.476044269188825	0.476044269188825	0.320376442293652	0.320376442293652	0.0492610218542909	0.0492610218542909	0.166212474270499	0.166212474270499	0.477995967897337	0.477995967897337	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
C15orf40	grey	grey	0	FALSE	not_shared	-0.123189043569406	-0.0345501668471966	0.981961324494199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SVBP	M04	yellow	4	FALSE	not_shared	0.122764379638785	-0.583984489975728	0.667123039815841	0.642883878875543	0.642883878875543	0.506719794571452	0.506719794571452	0.229093573539096	0.229093573539096	0.0722862884334194	0.0722862884334194	0.713026471121186	0.713026471121186	0.442845570854584	0.442845570854584	812	NA	NA	NA	NA	NA	NA	NA	NA	NA
SIVA1	M02	blue	2	FALSE	not_shared	0.121997907437932	1.14898659545451	0.363454664534749	0.929261693164493	0.929261693164493	0.80721014536282	0.80721014536282	0.784716750949537	0.784716750949537	0.757881578972845	0.757881578972845	0.814080667681885	0.814080667681885	0.777813144431565	0.777813144431565	2184	0.827203281510222	0.935510623100118	0.971825414343949	0.493296940453911	0.77299617765038	0.913986319586198	0.539746301740782	0.799189497616285	0.927116846901636
GNL3	M01	turquoise	1	FALSE	not_shared	-0.121859605700753	NA	NA	0.503821333832646	0.503821333832646	0.27147652352147	0.27147652352147	0.321400704918602	0.321400704918602	0.625344031649866	0.625344031649866	0.224320864428728	0.224320864428728	0.462278502014705	0.462278502014705	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
