arm	k	oof_spearman	bootstrap_se	ci_low	ci_high	maximum_k	one_se_threshold	selected_k
down	3	0.864627785680417	0.0762571041964228	0.651947819852927	0.946694982794955	30	0.922781941428113	7
down	4	0.89805595068753	0.0671926077090135	0.703771876754991	0.965603854252406	30	0.922781941428113	7
down	5	0.909672830725462	0.058584155301118	0.745965983018834	0.9679944162954	30	0.922781941428113	7
down	6	0.897344713134187	0.059243843777851	0.739892721756882	0.962462999472191	30	0.922781941428113	7
down	7	0.9257942152679	0.0523521924993588	0.780407730535059	0.980922389389233	30	0.922781941428113	7
down	8	0.928165007112375	0.0524363474249667	0.781008875932972	0.983134523102419	30	0.922781941428113	7
down	9	0.933143669985775	0.0512966534398394	0.789851263621258	0.98633153582447	30	0.922781941428113	7
down	10	0.932906590801328	0.0508069008183037	0.798215666874481	0.988544309745325	30	0.922781941428113	7
down	11	0.931484115694642	0.0498259907285929	0.802088306624495	0.985507246376812	30	0.922781941428113	7
down	12	0.922475106685633	0.0563681950894359	0.766477083338591	0.985489506235949	30	0.922781941428113	7
down	13	0.923186344238976	0.0571098058844972	0.769960390733675	0.985300226782985	30	0.922781941428113	7
down	14	0.940730203888099	0.0463383354007991	0.813784040359762	0.985766283524904	30	0.922781941428113	7
down	15	0.953532479848269	0.0385741237029759	0.853456431037639	0.990450692677165	30	0.922781941428113	7
down	16	0.947368421052632	0.0444451043144276	0.832940420269741	0.989981686765438	30	0.922781941428113	7
down	17	0.949976292081555	0.0444452540618992	0.831018268016524	0.990672498870666	30	0.922781941428113	7
down	18	0.949976292081555	0.0430929595749781	0.839499207995936	0.989548432388339	30	0.922781941428113	7
down	19	0.947131341868184	0.0453804070156094	0.827252394159344	0.989859720147984	30	0.922781941428113	7
down	20	0.950924608819346	0.0437656135409446	0.83042821835375	0.991551575168724	30	0.922781941428113	7
down	21	0.954006638217164	0.0426898634765505	0.833478429143006	0.991169360470852	30	0.922781941428113	7
down	22	0.954717875770507	0.0439337348824767	0.834927578826139	0.991881166647885	30	0.922781941428113	7
down	23	0.952584163110479	0.0424718040126381	0.829303689509853	0.988973787657886	30	0.922781941428113	7
down	24	0.941915599810337	0.0504706574882981	0.800901379145984	0.988368119798253	30	0.922781941428113	7
down	25	0.952347083926031	0.0431428225109257	0.834135616425969	0.992399780567765	30	0.922781941428113	7
down	26	0.94950213371266	0.0453859823615322	0.817722322611254	0.991677351510237	30	0.922781941428113	7
down	27	0.952110004741584	0.0439232599340604	0.828731190863971	0.992653479543797	30	0.922781941428113	7
down	28	0.952584163110479	0.0427800192898259	0.830600508173705	0.992040872013802	30	0.922781941428113	7
down	29	0.953532479848269	0.0415883165288209	0.838204159574219	0.992037125401754	30	0.922781941428113	7
down	30	0.959696538643907	0.036914597215794	0.859195446231316	0.993249559155402	30	0.922781941428113	7
