dataset	species	model_system	comparison	unit_id	route_up	route_down	wnt_stem	proliferation_control	wnt_stem_suppression	adenoma_up_arm_suppression	mature_function_restoration	proliferation_suppression	conservative_joint_reversal	quadrant	interpretation_role
GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	HT29	-0.347391670464901	-0.132080317068053	-0.692682287134642	-0.472359760384927	0.692682287134642	0.347391670464901	-0.132080317068053	0.472359760384927	-0.132080317068053	WNT/stem only	causal or pathway perturbation
GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	L8	-0.03594065651635	0.0841175908020303	-0.383052838305551	-0.23355769956877	0.383052838305551	0.03594065651635	0.0841175908020303	0.23355769956877	0.0841175908020303	both axes favourable	causal or pathway perturbation
GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	SIBC	-0.214475108688414	0.0155512196682742	-1.10498599859391	-2.58831014354391	1.10498599859391	0.214475108688414	0.0155512196682742	2.58831014354391	0.0155512196682742	both axes favourable	causal or pathway perturbation
GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor1	-0.48513073040628	0.765484425236228	-0.581656531793899	-0.528423921362358	0.581656531793899	0.48513073040628	0.765484425236228	0.528423921362358	0.581656531793899	both axes favourable	causal or pathway perturbation
GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor2	-0.655153534795848	-0.0323191525656108	-1.17596387146786	-1.9378824753489	1.17596387146786	0.655153534795848	-0.0323191525656108	1.9378824753489	-0.0323191525656108	WNT/stem only	causal or pathway perturbation
GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor3	-1.12687463935936	-0.161789642016516	-1.85636916858501	-2.0436023943083	1.85636916858501	1.12687463935936	-0.161789642016516	2.0436023943083	-0.161789642016516	WNT/stem only	causal or pathway perturbation
GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor1	-0.145465985542441	0.43676844080666	-0.138489243201208	0.333323608065604	0.138489243201208	0.145465985542441	0.43676844080666	-0.333323608065604	0.138489243201208	both axes favourable	causal or pathway perturbation
GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor2	0.22607502823498	0.2065777573122	0.309464877907952	0.464567127386217	-0.309464877907952	-0.22607502823498	0.2065777573122	-0.464567127386217	-0.309464877907952	mature-function only	causal or pathway perturbation
GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor3	-0.182485978398042	0.0903279340954345	-0.0343861226645643	0.232219851587132	0.0343861226645643	0.182485978398042	0.0903279340954345	-0.232219851587132	0.0343861226645643	both axes favourable	causal or pathway perturbation
GSE135328	human	crc_cell_line_clone	tcf7l2_heterozygous_vs_WT	HT29_62	0.0928760559935073	0.0570913429741371	0.689159375774902	0.751181664383768	-0.689159375774902	-0.0928760559935073	0.0570913429741371	-0.751181664383768	-0.689159375774902	mature-function only	dosage sensitivity
GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_57	-0.38259234456654	-0.0585466010687219	-0.547701484272218	0.473786038806154	0.547701484272218	0.38259234456654	-0.0585466010687219	-0.473786038806154	-0.0585466010687219	WNT/stem only	causal or pathway perturbation
GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_83	-0.338206653682531	0.0254069874578058	-0.13310894298523	0.749348572923892	0.13310894298523	0.338206653682531	0.0254069874578058	-0.749348572923892	0.0254069874578058	both axes favourable	causal or pathway perturbation
GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_86	-0.318122272994652	0.138754015949558	-0.388649911491117	-0.210050944035745	0.388649911491117	0.318122272994652	0.138754015949558	0.210050944035745	0.138754015949558	both axes favourable	causal or pathway perturbation
GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HCT116_18	0.192845510806029	-0.045516479101575	0.468250487420276	-0.00858557231476431	-0.468250487420276	-0.192845510806029	-0.045516479101575	0.00858557231476431	-0.468250487420276	neither axis favourable	causal or pathway perturbation
