collection	gene_set	description	context	n_genes	direction	direction_sign	p_value	fdr	replicated	community_id	community_label
Hallmark 2026.1.Hs	HALLMARK_CHOLESTEROL_HOMEOSTASIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_CHOLESTEROL_HOMEOSTASIS	heldout_common	38	Down	-1	0.121780109318373	0.224824817203149	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_CHOLESTEROL_HOMEOSTASIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_CHOLESTEROL_HOMEOSTASIS	discovery_ABS	41	Down	-1	0.108729543691862	0.228854476859307	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_CHOLESTEROL_HOMEOSTASIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_CHOLESTEROL_HOMEOSTASIS	discovery_common	41	Down	-1	0.343710616835173	0.572851028058621	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_CHOLESTEROL_HOMEOSTASIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_CHOLESTEROL_HOMEOSTASIS	heldout_ABS	38	Down	-1	0.109901047364851	0.168366804883481	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_CHOLESTEROL_HOMEOSTASIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_CHOLESTEROL_HOMEOSTASIS	discovery_TAC	41	Up	1	0.489661079435214	0.661704161398937	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_CHOLESTEROL_HOMEOSTASIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_CHOLESTEROL_HOMEOSTASIS	heldout_GOB	38	Down	-1	0.0159526503634318	0.0589020936495944	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_CHOLESTEROL_HOMEOSTASIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_CHOLESTEROL_HOMEOSTASIS	discovery_GOB	41	Down	-1	0.0213102093824809	0.0761078906517176	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_CHOLESTEROL_HOMEOSTASIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_CHOLESTEROL_HOMEOSTASIS	heldout_TAC	38	Up	1	0.965090841413184	0.965090841413184	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COAGULATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COAGULATION	heldout_ABS	35	Down	-1	0.112244536588988	0.168366804883481	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COAGULATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COAGULATION	discovery_TAC	39	Up	1	0.837295956425961	0.890740379176554	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COAGULATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COAGULATION	heldout_GOB	35	Down	-1	0.166051086205889	0.265339015939052	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COAGULATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COAGULATION	discovery_GOB	39	Down	-1	0.0346569585008534	0.108302995315167	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COAGULATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COAGULATION	discovery_common	39	Down	-1	0.219891450232283	0.42586909575474	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COAGULATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COAGULATION	heldout_common	35	Down	-1	0.25985080553327	0.402349634374095	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COAGULATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COAGULATION	heldout_TAC	35	Up	1	0.802161364097583	0.895435941318232	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COAGULATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COAGULATION	discovery_ABS	39	Down	-1	0.11701191610633	0.234023832212661	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COMPLEMENT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COMPLEMENT	discovery_GOB	95	Down	-1	0.0507091889238001	0.1267729723095	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COMPLEMENT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COMPLEMENT	heldout_TAC	88	Up	1	0.780214499211655	0.895435941318232	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COMPLEMENT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COMPLEMENT	discovery_common	95	Down	-1	0.311456397828854	0.536993789360094	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COMPLEMENT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COMPLEMENT	discovery_ABS	95	Down	-1	0.391104528469062	0.575153718336856	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COMPLEMENT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COMPLEMENT	heldout_ABS	88	Down	-1	0.0253813974926731	0.0580146228403956	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COMPLEMENT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COMPLEMENT	heldout_common	88	Down	-1	0.078666336323199	0.164173223631024	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COMPLEMENT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COMPLEMENT	heldout_GOB	88	Down	-1	0.0434634292506632	0.115902478001768	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_COMPLEMENT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COMPLEMENT	discovery_TAC	95	Up	1	0.689904783883691	0.818730415421666	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_DNA_REPAIR	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_DNA_REPAIR	discovery_GOB	106	Up	1	0.258675026918424	0.461919690925758	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_DNA_REPAIR	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_DNA_REPAIR	heldout_TAC	96	Down	-1	0.180199035148935	0.332675141813418	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_DNA_REPAIR	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_DNA_REPAIR	heldout_common	96	Up	1	0.706769797028277	0.848123756433933	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_DNA_REPAIR	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_DNA_REPAIR	discovery_ABS	106	Down	-1	0.0620074282273846	0.163177442703644	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_DNA_REPAIR	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_DNA_REPAIR	discovery_TAC	106	Down	-1	0.801198457185607	0.870867888245225	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_DNA_REPAIR	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_DNA_REPAIR	heldout_GOB	96	Up	1	0.0884554050615994	0.163302286267568	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_DNA_REPAIR	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_DNA_REPAIR	discovery_common	106	Down	-1	0.624899308146775	0.811278310016194	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_DNA_REPAIR	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_DNA_REPAIR	heldout_ABS	96	Up	1	0.956453644329393	0.976803721868316	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_E2F_TARGETS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_E2F_TARGETS	discovery_TAC	117	Down	-1	0.0048956317926116	0.0268450765835228	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_E2F_TARGETS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_E2F_TARGETS	heldout_TAC	92	Down	-1	0.000582943696321801	0.00499345654400334	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_E2F_TARGETS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_E2F_TARGETS	discovery_common	117	Down	-1	0.0129583167316304	0.053894814597754	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_E2F_TARGETS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_E2F_TARGETS	heldout_ABS	92	Down	-1	0.897299901876101	0.972546176728076	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_E2F_TARGETS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_E2F_TARGETS	discovery_GOB	117	Down	-1	0.72139735303507	0.834218499789913	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_E2F_TARGETS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_E2F_TARGETS	heldout_GOB	92	Up	1	0.203810462246624	0.305715693369936	FALSE	NA	NA
