reference_number	identifier	identifier_type	status	title_similarity	cited_title	registered_title
12	10.1128/MCB.22.4.1172-1183.2002	doi	verified	1.000	Wnt/β-catenin/Tcf signaling induces the transcription of Axin2, a negative regulator of the signaling pathway	Wnt/β-Catenin/Tcf Signaling Induces the Transcription of Axin2, a Negative Regulator of the Signaling Pathway
13	10.1038/sj.bjc.6604327	doi	verified	1.000	Reorganisation of Wnt-response pathways in colorectal tumorigenesis	Reorganisation of Wnt-response pathways in colorectal tumorigenesis
14	10.1073/pnas.102102699	doi	verified	1.000	Selection bias in gene extraction on the basis of microarray gene-expression data	Selection bias in gene extraction on the basis of microarray gene-expression data
15	10.1038/s41467-021-21038-1	doi	verified	1.000	A practical solution to pseudoreplication bias in single-cell studies	A practical solution to pseudoreplication bias in single-cell studies
16	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41657	repository_url	repository_record_retained		Gene expression profiling of colorectal normal mucosa, adenoma and adenocarcinoma tissues [data set]	
17	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40362	repository_url	repository_record_retained		Gene expression profiling of colorectal tissues in the early adenoma–carcinoma sequence [data set]	
18	10.1371/journal.pone.0153933	doi	verified	1.000	Mutational profiles reveal an aberrant TGF-β–CEA regulated pathway in colon adenomas	Mutational Profiles Reveal an Aberrant TGF-β-CEA Regulated Pathway in Colon Adenomas
19	10.1016/S0959-8049(16)61552-6	doi	verified	1.000	Transcriptome profiling of the colorectal adenoma–adenocarcinoma sequence	Transcriptome profiling of the colorectal adenoma–adenocarcinoma sequence
20	10.1016/j.ccell.2025.12.003	doi	verified	1.000	Single-cell integration and multi-modal profiling reveals phenotypes and spatial organization of neutrophils in colorectal cancer	Single-cell integration and multi-modal profiling reveals phenotypes and spatial organization of neutrophils in colorectal cancer
21	10.1084/jem.20180823	doi	verified	1.000	Human colon organoids reveal distinct physiologic and oncogenic Wnt responses	Human colon organoids reveal distinct physiologic and oncogenic Wnt responses
22	10.1016/j.jcmgh.2021.12.014	doi	verified	0.995	A β-catenin–TCF-sensitive locus control region mediates GUCY2C ligand loss in colorectal cancer	A β-Catenin-TCF-Sensitive Locus Control Region Mediates GUCY2C Ligand Loss in Colorectal Cancer
23	10.1016/j.stem.2019.12.011	doi	verified	1.000	Ascl2-dependent cell dedifferentiation drives regeneration of ablated intestinal stem cells	Ascl2-Dependent Cell Dedifferentiation Drives Regeneration of Ablated Intestinal Stem Cells
24	10.1038/s41388-020-1259-7	doi	verified	1.000	Loss of the nuclear Wnt pathway effector TCF7L2 promotes migration and invasion of human colorectal cancer cells	Loss of the nuclear Wnt pathway effector TCF7L2 promotes migration and invasion of human colorectal cancer cells
25	10.1038/s41467-019-09898-0	doi	verified	1.000	MEK inhibitors activate Wnt signalling and induce stem cell plasticity in colorectal cancer	MEK inhibitors activate Wnt signalling and induce stem cell plasticity in colorectal cancer
26	10.1016/j.cell.2015.05.033	doi	verified	1.000	Apc restoration promotes cellular differentiation and reestablishes crypt homeostasis in colorectal cancer	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer
27	10.1093/bioadv/vbac016	doi	verified	1.000	decoupleR: ensemble of computational methods to infer biological activities from omics data	decoupleR: ensemble of computational methods to infer biological activities from omics data
28	10.1093/nar/gkad841	doi	verified	1.000	Expanding the coverage of regulons from high-confidence prior knowledge for accurate estimation of transcription factor activities	Expanding the coverage of regulons from high-confidence prior knowledge for accurate estimation of transcription factor activities
29	10.1093/nar/gkad450	doi	verified	1.000	Gene knockout inference with variational graph autoencoder learning single-cell gene regulatory networks	Gene knockout inference with variational graph autoencoder learning single-cell gene regulatory networks
30	10.1038/s41698-023-00488-4	doi	verified	1.000	Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics	Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics
31	10.1021/acs.jproteome.5b00523	doi	verified	1.000	Absolute proteome analysis of colorectal mucosa, adenoma, and cancer reveals drastic changes in fatty acid metabolism and plasma membrane transporters	Absolute Proteome Analysis of Colorectal Mucosa, Adenoma, and Cancer Reveals Drastic Changes in Fatty Acid Metabolism and Plasma Membrane Transporters
32	10.1074/mcp.M113.035105	doi	verified	1.000	Sorbitol dehydrogenase overexpression and other aspects of dysregulated protein expression in human precancerous colorectal neoplasms: a quantitative proteomics study	Sorbitol Dehydrogenase Overexpression and Other Aspects of Dysregulated Protein Expression in Human Precancerous Colorectal Neoplasms: A Quantitative Proteomics Study
33	10.1002/path.5420	doi	verified	0.989	A streamlined mass spectrometry-based proteomics workflow for large-scale FFPE tissue analysis	A streamlined mass spectrometry–based proteomics workflow for large‐scale FFPE tissue analysis
34	10.1016/j.isci.2024.110620	doi	verified	1.000	Spatial characterization and stratification of colorectal adenomas by deep visual proteomics	Spatial characterization and stratification of colorectal adenomas by deep visual proteomics
35	10.1111/j.2517-6161.1995.tb02031.x	doi	verified	1.000	Controlling the false discovery rate: a practical and powerful approach to multiple testing	Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing
36	10.1016/j.cels.2015.12.004	doi	verified	1.000	The Molecular Signatures Database Hallmark Gene Set Collection	The Molecular Signatures Database Hallmark Gene Set Collection
37	10.1109/ICDCSW.2011.20	doi	verified	1.000	"Finding a ""Kneedle"" in a haystack: detecting knee points in system behavior"	"Finding a ""Kneedle"" in a Haystack: Detecting Knee Points in System Behavior"
38	10.1016/S0140-6736(18)31775-6	doi	verified	1.000	Eicosapentaenoic acid and aspirin, alone and in combination, for the prevention of colorectal adenomas (seAFOod Polyp Prevention trial): a multicentre, randomised, double-blind, placebo-controlled, 2 × 2 factorial trial	Eicosapentaenoic acid and aspirin, alone and in combination, for the prevention of colorectal adenomas (seAFOod Polyp Prevention trial): a multicentre, randomised, double-blind, placebo-controlled, 2 × 2 factorial trial
39	10.1093/jnci/93.14.1054	doi	verified	1.000	Phases of biomarker development for early detection of cancer	Phases of Biomarker Development for Early Detection of Cancer
40	10.1007/s11095-005-9045-3	doi	verified	1.000	Fit-for-purpose method development and validation for successful biomarker measurement	Fit-for-Purpose Method Development and Validation for Successful Biomarker Measurement
