outcome	omitted_study	state	term	estimable	n_observations	n_donors	n_target_observations	n_target_donors	n_reference_observations	n_reference_donors	coef	se_cluster	ci_low	ci_high	p_value
score__ca_route_signature	Elmentaite_2021_Nature	metastasis_cancer	carrier_group_metastasis_cancer	True	663	391	50	50	187	187	0.571113232842294	0.0734824257928418	0.4266419830310815	0.7155844826535065	6.924126220589958e-14
score__ca_route_signature	GarridoTrigo_2023_Nat_Commun	polyp_epithelial	carrier_group_polyp_epithelial	True	664	392	89	89	188	188	0.4003879206566544	0.052744864704799	0.2966888963203813	0.5040869449929275	2.3528062230161884e-13
score__ca_route_signature	GarridoTrigo_2023_Nat_Commun	polyp_cancer	carrier_group_polyp_cancer	True	664	392	82	82	188	188	0.7873104469204606	0.0674540397419143	0.6546924537200673	0.9199284401208538	3.278575611743549e-27
score__ca_route_signature	GarridoTrigo_2023_Nat_Commun	tumor_epithelial	carrier_group_tumor_epithelial	True	664	392	33	33	188	188	0.6133373063431009	0.0373446881527699	0.5399157941777231	0.6867588185084788	1.792440547760293e-46
score__ca_route_signature	GarridoTrigo_2023_Nat_Commun	tumor_cancer	carrier_group_tumor_cancer	True	664	392	217	217	188	188	0.5580255780752943	0.0335680937284254	0.4920290381666506	0.6240221179839379	2.542499455211211e-47
score__ca_route_signature	GarridoTrigo_2023_Nat_Commun	metastasis_epithelial	carrier_group_metastasis_epithelial	True	664	392	5	5	188	188	0.5562765774461302	0.1145183542542221	0.3311278037935169	0.7814253510987436	1.7226396842474206e-06
score__ca_route_signature	GarridoTrigo_2023_Nat_Commun	metastasis_cancer	carrier_group_metastasis_cancer	True	664	392	50	50	188	188	0.5652093427391338	0.0734403385984434	0.4208219885918174	0.7095966968864502	1.1559367653178806e-13
score__ca_route_signature	Giguelay_2022_Theranostics	polyp_epithelial	carrier_group_polyp_epithelial	True	666	394	89	89	194	194	0.4002218965185594	0.0527357554804691	0.296542419572665	0.5039013734644539	2.359994041011877e-13
score__ca_route_signature	Giguelay_2022_Theranostics	polyp_cancer	carrier_group_polyp_cancer	True	666	394	82	82	194	194	0.7871554060829282	0.067440148332928	0.6545668190681643	0.9197439930976922	3.143899579492893e-27
score__ca_route_signature	Giguelay_2022_Theranostics	tumor_epithelial	carrier_group_tumor_epithelial	True	666	394	33	33	194	194	0.6134220398747797	0.037337518866662	0.5400157827484043	0.6868282970011551	1.5121675951609488e-46
score__ca_route_signature	Giguelay_2022_Theranostics	tumor_cancer	carrier_group_tumor_cancer	True	666	394	217	217	194	194	0.5579777764867488	0.0335760450662234	0.4919666468715284	0.6239889061019692	2.3738994816504037e-47
score__ca_route_signature	Giguelay_2022_Theranostics	metastasis_epithelial	carrier_group_metastasis_epithelial	True	666	394	5	5	194	194	0.55618092759761	0.1144375568153968	0.3311945606538278	0.7811672945413921	1.6983980216574388e-06
score__ca_route_signature	Giguelay_2022_Theranostics	metastasis_cancer	carrier_group_metastasis_cancer	True	666	394	46	46	194	194	0.5649247121907017	0.0734140950913969	0.4205912346443121	0.7092581897370913	1.1534749933928553e-13
score__ca_route_signature	Guo_2022_JCI_Insight	polyp_epithelial	carrier_group_polyp_epithelial	True	666	395	89	89	194	194	0.4005737837453723	0.0526961619246067	0.2969729607027972	0.5041746067879475	2.161167916240888e-13
score__ca_route_signature	Guo_2022_JCI_Insight	polyp_cancer	carrier_group_polyp_cancer	True	666	395	82	82	194	194	0.7874880665012054	0.0674268239689578	0.6549267147214477	0.9200494182809632	2.891638739977799e-27
score__ca_route_signature	Guo_2022_JCI_Insight	tumor_epithelial	carrier_group_tumor_epithelial	True	666	395	32	32	194	194	0.6074809049046472	0.0377331051433169	0.5332974993960526	0.6816643104132418	3.571025556690827e-45
score__ca_route_signature	Guo_2022_JCI_Insight	tumor_cancer	carrier_group_tumor_cancer	True	666	395	214	214	194	194	0.5593621329260273	0.0336612587265981	0.4931839905081028	0.6255402753439518	2.25603158827971e-47
score__ca_route_signature	Guo_2022_JCI_Insight	metastasis_epithelial	carrier_group_metastasis_epithelial	True	666	395	5	5	194	194	0.5565516481319635	0.1145398511010728	0.3313659341852316	0.7817373620786953	1.7058114294081211e-06
score__ca_route_signature	Guo_2022_JCI_Insight	metastasis_cancer	carrier_group_metastasis_cancer	True	666	395	50	50	194	194	0.5662767819551657	0.0733959699573144	0.4219800700529802	0.7105734938573512	9.99634377034696e-14
score__ca_route_signature	He_2020_Genome_Biol	polyp_epithelial	carrier_group_polyp_epithelial	True	669	397	89	89	193	193	0.4001874244641721	0.0527196053386941	0.2965421244389743	0.50383272448937	2.3016008613675193e-13
score__ca_route_signature	He_2020_Genome_Biol	polyp_cancer	carrier_group_polyp_cancer	True	669	397	82	82	193	193	0.787122791971916	0.067426512265201	0.6545641157738946	0.9196814681699376	2.9099842549748897e-27
score__ca_route_signature	He_2020_Genome_Biol	tumor_epithelial	carrier_group_tumor_epithelial	True	669	397	33	33	193	193	0.6134423519051726	0.0373251969730257	0.5400620370504734	0.6868226667598718	1.198316078985729e-46
score__ca_route_signature	He_2020_Genome_Biol	tumor_cancer	carrier_group_tumor_cancer	True	669	397	217	217	193	193	0.5579578018531296	0.033558334897203	0.4919830346593805	0.6239325690468787	1.830029608049318e-47
score__ca_route_signature	He_2020_Genome_Biol	metastasis_epithelial	carrier_group_metastasis_epithelial	True	669	397	5	5	193	193	0.5561667090182545	0.1144073936429469	0.3312449069098273	0.7810885111266817	1.6845038935904687e-06
score__ca_route_signature	He_2020_Genome_Biol	metastasis_cancer	carrier_group_metastasis_cancer	True	669	397	50	50	193	193	0.5648641113599902	0.0733918414274306	0.4205777614285207	0.7091504612914595	1.125269761295174e-13
