module	excluded_cohort	k	pooled_log_hr	pooled_standard_error_hk	hazard_ratio	ci_low	ci_high	p_value	tau_squared_reml	i_squared	q_fixed	q_df	q_p_value	prediction_low	prediction_high
wnt_stem	GSE14333	4	-0.167698730703	0.0981740738229571	0.845608552207508	0.618701439858675	1.15573324628081	0.186138517969789	0.013460771857346	0.355592746397607	4.65544107895942	3	0.198837339802733	0.439714313268482	1.62617818431095
wnt_stem	GSE17536	4	-0.195454692672023	0.102508107393077	0.822460606212474	0.593521855817748	1.1397077329855	0.152617271382618	0.0186280654701467	0.463028036513797	5.58688386731216	3	0.133533372754842	0.394598751779786	1.71425136476076
wnt_stem	GSE33113	4	-0.142517391306685	0.0767642745584408	0.867172472898688	0.679216349037954	1.10714074950985	0.160376653474085	0.004903079888771	0.0	2.94815256267498	3	0.399688304414404	0.554562411105955	1.35600264766151
wnt_stem	GSE37892	4	-0.216712901590844	0.102535079751543	0.805161096595222	0.580987935556909	1.11583107289311	0.124945150328569	0.0194935119800814	0.482254549181177	5.79435318119251	3	0.122055489056054	0.382112355020514	1.69658055530713
wnt_stem	GSE39582	4	-0.279196432300012	0.0877696379456169	0.756391308936644	0.572055884444932	1.00012573560016	0.0500550282304669	0.0	0.0	1.91702556261134	3	0.589805659162191	0.518487839615217	1.10345463966808
wnt_minus_proliferation	GSE14333	4	0.158930057460341	0.0709292451924417	1.17225595325484	0.935383702528817	1.4691126392584	0.110891158923222	0.0	0.0	0.494144933294272	3	0.920175848501389	0.863938362012709	1.59060423794584
wnt_minus_proliferation	GSE17536	4	0.159231506845193	0.0695920934930744	1.17260938235865	0.939655844181429	1.46331528943276	0.106144584962463	0.0	0.0	0.441972762478378	3	0.931441723978731	0.869185159760608	1.58195609779422
wnt_minus_proliferation	GSE33113	4	0.155582968167376	0.0679644976730137	1.16833886698077	0.941095745084607	1.45045359648842	0.10603626524912	0.0	0.0	0.50073551841751	3	0.91872979177407	0.872105685655062	1.56519528601928
wnt_minus_proliferation	GSE37892	4	0.148882744014328	0.0701363854341439	1.16053690133241	0.928372211459202	1.45076067845382	0.123857821633098	0.0	0.0	0.621845299520395	3	0.891413683911586	0.858224321900902	1.56934016548385
wnt_minus_proliferation	GSE39582	4	0.100599889319774	0.0943320395008441	1.10583409720308	0.819052773039291	1.49302839913379	0.364429802392325	0.0	0.0	0.115007546235176	3	0.989977559419204	0.736918395661661	1.65943618416386
proliferation_control	GSE14333	4	-0.251341769033444	0.0631752940997537	0.777756513038724	0.636103654386526	0.950953809811926	0.0284064098922954	0.0	0.0	1.87914185096481	3	0.597866019879245	0.592642978805713	1.02069072815669
proliferation_control	GSE17536	4	-0.274927861176645	0.0612219703952691	0.759626919840649	0.625150102135684	0.923031213424246	0.0206049765290788	0.0	0.0	2.53836621579317	3	0.468397332856344	0.583713651474849	0.988555014755304
proliferation_control	GSE33113	4	-0.254882191046246	0.059120711730493	0.775007795440677	0.642087506475846	0.935444276576052	0.022980296828719	0.0	0.0	0.992637969931835	3	0.803033344575116	0.600941262145453	0.999493828813571
proliferation_control	GSE37892	4	-0.278948105004563	0.0606882495233445	0.756579164868606	0.623700371086513	0.91776766416879	0.0193531860641986	0.0	0.0	2.45990259302423	3	0.482581184816158	0.582708296164774	0.982330329739144
proliferation_control	GSE39582	4	-0.33267278343131	0.0833872131734837	0.717004771615893	0.549883901124163	0.934917064254761	0.0282018520137834	0.0	0.0	1.57849175948625	3	0.664276441979763	0.500844801257053	1.02645738006993
