donor_id	carrier_group	sample_type	cell_type_coarse_crc_atlas	study_id	microsatellite_status	CMS_type	n_cells_sampled	score__ca_route_up	score__ca_route_down	score__ca_route_signature	score__ca_route_n_up_present	score__ca_route_n_down_present	score__wnt_stem	score__wnt_core_ihc	score__proliferation_control
Chen_2021_Cell.HTA11_10719	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	21	-0.15166611261267	-0.1607837343267213	-0.0491570703956508	49.0	49.0	-0.215920548594371	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_10719	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	765	-0.2483542710869678	0.61235295524195	-0.8460118688460452	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_10888	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	10	-0.2209461144975444	-0.4968680518979568	0.2746460549297244	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_10888	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	10	-0.2350033975550118	-0.1257837296974476	-0.0499519516617744	49.0	49.0	-0.2814801470781486	-0.2119010766478029	-0.2884547048206696
Chen_2021_Cell.HTA11_11045	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	20	-0.0930044529991899	-0.020226878397086	-0.0619656853088394	49.0	49.0	-0.1895165516248529	-0.3936645009668896	-0.2884547048206696
Chen_2021_Cell.HTA11_11045	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	401	-0.232006375713961	0.5270315583052427	-0.7202287287402944	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_11092	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	312	-0.1803137158577963	0.0403517584955724	-0.2086396132436623	49.0	49.0	-0.2506023602492999	-0.1581544655376207	-0.2884547048206696
Chen_2021_Cell.HTA11_11092	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	265	-0.2250394911459854	0.1491064587949885	-0.3602534264205491	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_11156	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	64	0.4940618995551099	-0.3305934554084595	0.8193299672438854	49.0	49.0	0.3443032703514664	0.2676879464487474	-0.2884547048206696
Chen_2021_Cell.HTA11_11156	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	92	-0.0361864904770552	-0.0277303353907479	0.0226876035120374	49.0	49.0	-0.1576806791293722	-0.1014469938758706	-0.2884547048206696
Chen_2021_Cell.HTA11_11167	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	67	0.093942331556566	-0.16175986665049	0.2696182838994649	49.0	49.0	-0.0158745548073475	0.0511963676334314	-0.2884547048206696
Chen_2021_Cell.HTA11_11167	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	177	-0.0268866792590363	-0.0357594066492606	0.0185343090485003	49.0	49.0	-0.117236996359071	-0.0179795616069524	-0.2884547048206696
Chen_2021_Cell.HTA11_11275	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	33	0.1027030541291004	-0.3530191628051611	0.4990550004332823	49.0	49.0	0.0424709582401674	0.0315165344125463	-0.2884547048206696
Chen_2021_Cell.HTA11_11275	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	42	-0.0300725973083048	-0.2579778787212486	0.2095948113161315	49.0	49.0	-0.1793638742895275	-0.2401094635086776	-0.2884547048206696
Chen_2021_Cell.HTA11_11543	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	275	0.2604827930889749	-0.3948035604793866	0.6594377062899444	49.0	49.0	0.3392246628187355	0.4764171246841823	-0.2884547048206696
Chen_2021_Cell.HTA11_11543	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	164	-0.0023678719617727	-0.3286493403943658	0.3722706127213082	49.0	49.0	-0.0004486168300658	0.148174760957621	-0.2884547048206696
Chen_2021_Cell.HTA11_12090	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	142	-0.2005441586057312	-0.1840025564541211	0.0360396503414134	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_12090	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	22	-0.2049528652641026	-0.3723720615578156	0.1642744899613348	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_12167	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	236	0.4444628910544322	-0.3297781687770238	0.7538696475022311	49.0	49.0	0.4746053504422315	0.6763518660244137	-0.2884547048206696
Chen_2021_Cell.HTA11_12167	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	155	0.1133973098469778	-0.2095445937933	0.3480114691858768	49.0	49.0	0.0488915589271767	0.2887212005923893	-0.2884547048206696
Chen_2021_Cell.HTA11_12187	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	117	-0.2006752706212966	0.0006537327177129	-0.1758424611524565	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_12187	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	266	-0.1975274508187973	-0.0852951704090433	-0.1082583453032526	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_12399	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	87	0.3984309690922248	-0.3784175323593314	0.7827181635704411	49.0	49.0	0.626690525147677	0.5885305976633087	-0.2884547048206696
Chen_2021_Cell.HTA11_12399	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	114	0.0294257016669359	-0.3138710592522456	0.3267576834584021	49.0	49.0	-0.0367797154180604	0.1041725805279883	-0.2884547048206696
Chen_2021_Cell.HTA11_12480	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	459	0.2793815492614876	-0.4015398377438359	0.6852757089047296	49.0	49.0	0.5822841802990218	0.4180680567525432	-0.2884547048206696
Chen_2021_Cell.HTA11_12480	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	448	-0.0999557623509946	-0.2656914204449047	0.2009560074084369	49.0	49.0	-0.1276209589051393	-0.108580032285473	-0.2884547048206696
Chen_2021_Cell.HTA11_12542	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	362	-0.2140626416948217	0.1592662411034763	-0.3639158854460183	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_12542	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	164	-0.1966262337769047	0.083475541063363	-0.2765969006171907	49.0	49.0	-0.2894444232652584	-0.2746965716740408	-0.2884547048206696
Chen_2021_Cell.HTA11_12900	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	247	0.2828971600450986	-0.4336743154147866	0.7588442148524852	49.0	49.0	0.5208273942449674	0.7588819744137347	-0.2884547048206696
Chen_2021_Cell.HTA11_12900	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	290	-0.1348826373435901	-0.2422707408084614	0.1765956010542904	49.0	49.0	-0.1507441693925971	-0.0161024863925972	-0.2884547048206696
Chen_2021_Cell.HTA11_12910	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	508	0.2949045977591763	-0.4033920555260225	0.7107792824515496	49.0	49.0	0.5939360446545625	0.7475191894344106	-0.2884547048206696
Chen_2021_Cell.HTA11_12910	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	675	-0.1566464708422973	0.0330803417952678	-0.1641374870109837	49.0	49.0	-0.2706820957824584	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_13109	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	219	0.2374555305514744	-0.3329381288121506	0.5921192121214676	49.0	49.0	0.4566296572360138	0.458823878039243	-0.2884547048206696
Chen_2021_Cell.HTA11_13109	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	128	-0.0409879485308448	-0.2706926324333031	0.247679909149938	49.0	49.0	0.0128964628274894	0.1141322015090847	-0.2884547048206696
Chen_2021_Cell.HTA11_13678	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	27	-0.1612806746832609	0.0005282328778444	-0.2235859961099779	49.0	49.0	-0.157136033970116	-0.2674237406407653	-0.2884547048206696
Chen_2021_Cell.HTA11_13678	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	75	-0.2106516043986655	0.2975786951052736	-0.5290612620349641	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_13701	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	82	-0.1756503244980797	0.117157731454083	-0.2836655974105397	49.0	49.0	-0.4016636759755373	-0.5345122912646426	-0.2884547048206696
