analysis	outcome	term	n_observations	n_clusters	cluster_unit	coef	se_cluster	ci_low	ci_high	p_value	r_squared	q_value_within_outcome
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Zheng_2022_Signal_Transduct_Target_Ther	670	398	donor_id	-0.2623094692155384	0.0537374558196088	-0.3679550196441374	-0.1566639187869393	1.5294494627987118e-06	0.5797048371233346	3.2198936058920247e-06
CRC Atlas donor-carrier transfer	ca_route_signature	score__proliferation_control	670	398	donor_id	0.1363970509996287	0.0865015722386004	-0.0336613574736565	0.306455459472914	0.115634376333428	0.5797048371233346	0.1445429704167851
CRC Atlas donor-carrier transfer	ca_route_signature	log10_n_cells_sampled	670	398	donor_id	-0.0787704811083623	0.0360860295876909	-0.1497140790221139	-0.0078268831946106	0.0296318882610784	0.5797048371233346	0.0395091843481045
CRC Atlas donor-carrier transfer	wnt_stem	carrier_group_polyp_epithelial	670	398	donor_id	0.0890352893772245	0.0294507478784105	0.0311363728264851	0.146934205927964	0.0026635216000803	0.4381256108967351	0.0050733744763436
CRC Atlas donor-carrier transfer	wnt_stem	carrier_group_polyp_cancer	670	398	donor_id	0.4696227010722	0.0576385872263059	0.3563076923771301	0.58293770976727	4.878810959929719e-15	0.4381256108967351	9.757621919859437e-14
CRC Atlas donor-carrier transfer	wnt_stem	carrier_group_tumor_epithelial	670	398	donor_id	0.1433016074299295	0.0326337341454145	0.0791450753844572	0.2074581394754018	1.4475159673146303e-05	0.4381256108967351	4.13575990661323e-05
CRC Atlas donor-carrier transfer	wnt_stem	carrier_group_tumor_cancer	670	398	donor_id	0.2659050471757483	0.0305761744577356	0.2057935898817535	0.3260165044697431	9.1689672808083e-17	0.4381256108967351	3.667586912323321e-15
CRC Atlas donor-carrier transfer	wnt_stem	carrier_group_metastasis_epithelial	670	398	donor_id	0.2513526197261604	0.1078545219338393	0.0393152211905181	0.4633900182618026	0.0202811313480738	0.4381256108967351	0.0289730447829625
CRC Atlas donor-carrier transfer	wnt_stem	carrier_group_metastasis_cancer	670	398	donor_id	0.3177575695607278	0.0631142822643116	0.1936775775324097	0.441837561589046	7.276443096552877e-07	0.4381256108967351	2.238905568170116e-06
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Che_2021_Cell_Discov	670	398	donor_id	-0.1322275993471161	0.1707247021070929	-0.4678650955919787	0.2034098968977465	0.4390916210351454	0.4381256108967351	0.4878795789279392
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Chen_2021_Cell	670	398	donor_id	-0.1390352308831638	0.0513616563617577	-0.2400100607202408	-0.0380604010460867	0.0070828563406346	0.4381256108967351	0.0113325701450155
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Chen_2024_Cancer_Cell	670	398	donor_id	-0.2978852646196944	0.0524195151269759	-0.4009397997539921	-0.1948307294853967	2.5694407385216184e-08	0.4381256108967351	1.468251850583782e-07
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Conde_2022_Science	670	398	donor_id	-0.2674026698442364	0.0481924325363234	-0.3621469405608115	-0.1726583991276612	5.2697848130067154e-08	0.4381256108967351	2.6348924065033573e-07
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Elmentaite_2021_Nature	670	398	donor_id	-0.221691023904256	0.0687561045477712	-0.3568625983580104	-0.0865194494505017	0.001367218128552	0.4381256108967351	0.0028783539548465
CRC Atlas donor-carrier transfer	wnt_stem	study_id_GarridoTrigo_2023_Nat_Commun	670	398	donor_id	-0.2562868334159347	0.0483550143094655	-0.3513507329770705	-0.1612229338547989	1.924132914103653e-07	0.4381256108967351	6.99684696037692e-07
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Giguelay_2022_Theranostics	670	398	donor_id	-0.0489365248590908	0.1149527733081872	-0.2749287834097079	0.1770557336915263	0.6705499906890818	0.4381256108967351	0.7058420954621913
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Guo_2022_JCI_Insight	670	398	donor_id	-0.1748561021088959	0.180846346155064	-0.5303923196531035	0.1806801154353117	0.3341943480444442	0.4381256108967351	0.4050840582356899
