gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected
SPINK7	-6.752089e-08	-6.5721494e-08	-1.1947054474603648e-07	-2.004593224746998e-08	0.998	0.004	-0.0051684775	0.0286121842496285	False	True	False	6.752089e-08	False
OR10A3	-6.565824e-08	-6.323458e-08	-1.1588877946167032e-07	-2.2403651600555463e-08	0.997	0.006	-0.005282936	0.0397382075471698	False	True	False	6.565824e-08	False
ENSG00000279650	6.3795596e-08	6.339712e-08	2.160223200320388e-08	1.033514180903694e-07	1.0	0.0009990009990009	-0.006626295	0.0126510092688221	True	True	False	6.3795596e-08	False
ENSG00000237994	-6.3329935e-08	-6.590592e-08	-1.1353175697337293e-07	-1.8228149123444842e-08	0.997	0.006	-0.010045745	0.0397382075471698	True	True	False	6.3329935e-08	False
ENSG00000237614	6.2864274e-08	6.160346e-08	2.6774039163512952e-08	9.63766847661418e-08	1.0	0.0009990009990009	-0.0055429237	0.0126510092688221	True	True	False	6.2864274e-08	False
ENSG00000269365	-6.193295e-08	-6.157583e-08	-9.560060103552815e-08	-2.7264915836155978e-08	1.0	0.0009990009990009	-0.005180185	0.0126510092688221	True	True	False	6.193295e-08	False
ENSG00000260600	-5.820766e-08	-5.8033656e-08	-9.379072913873189e-08	-2.4402051268523915e-08	1.0	0.0009990009990009	-0.004753877	0.0126510092688221	True	True	False	5.820766e-08	False
RN7SL317P	5.820766e-08	5.786108e-08	1.675149801094733e-08	9.891692798191797e-08	0.998	0.004	-0.0074483478	0.0286121842496285	False	True	False	5.820766e-08	False
RN7SL480P	-5.727634e-08	-5.8236004e-08	-9.387284460871117e-08	-2.0437546810470057e-08	1.0	0.0009990009990009	-0.006980747	0.0126510092688221	False	True	False	5.727634e-08	False
IGHV3-11	5.6345016e-08	5.3778805e-08	1.53021863180669e-08	1.0146182365389222e-07	0.992	0.016	-0.0055431295	0.0843372438604724	False	True	False	5.6345016e-08	False
ENSG00000257429	5.4948032e-08	5.5128375e-08	1.1477401784532048e-08	1.0286438740791937e-07	0.991	0.018	-0.0069468627	0.092057064804978	True	True	False	5.4948032e-08	False
A1BG-AS1	-5.448237e-08	-5.289326e-08	-1.0160459122943167e-07	-1.3971787460320685e-08	0.993	0.014	-0.0053535383	0.0762767987065481	False	True	False	5.448237e-08	False
OR5AU1	-5.448237e-08	-5.332727e-08	-8.665530337736983e-08	-2.3210744437562887e-08	1.0	0.0009990009990009	-0.004851165	0.0126510092688221	False	True	False	5.448237e-08	False
ENSG00000278633	-5.3551048e-08	-5.1901893e-08	-9.63852912150287e-08	-1.3610677496167517e-08	0.996	0.008	-0.005543269	0.049711229946524	True	True	False	5.3551048e-08	False
LINC02247	5.3085387e-08	5.01069e-08	1.2488888145867351e-08	9.879064641893364e-08	0.995	0.01	-0.0049090064	0.0590881991934069	False	True	False	5.3085387e-08	False
ENSG00000235356	-5.2619725e-08	-5.088803e-08	-9.454512905904269e-08	-1.3326264092228269e-08	0.997	0.006	-0.0055241985	0.0397382075471698	True	True	False	5.2619725e-08	False
RN7SL160P	5.122274e-08	4.8945022e-08	-1.1580277425871089e-08	1.1941907729351442e-07	0.945	0.11	-0.0074185706	0.3142404204815192	False	False	False	5.122274e-08	False
FOXR2	5.075708e-08	4.8293927e-08	1.2088409984123417e-08	9.071317617070917e-08	0.997	0.006	-0.0054640276	0.0397382075471698	False	True	False	5.075708e-08	False
ENSG00000228577	4.9825758e-08	4.8795926e-08	1.9280213336969608e-08	7.66434508747693e-08	1.0	0.0009990009990009	-0.005512374	0.0126510092688221	True	True	False	4.9825758e-08	False
RNU5A-8P	-4.9360096e-08	-4.86213e-08	-9.191550756071364e-08	-1.0771599723291558e-08	0.994	0.012	-0.0057664444	0.0678597080046987	False	True	False	4.9360096e-08	False
SNORA59A	-4.8894435e-08	-4.7440338e-08	-8.959951394160726e-08	-1.3175318036573464e-08	0.996	0.008	-0.0052266605	0.049711229946524	False	True	False	4.8894435e-08	False
ENSG00000228973	-4.8428774e-08	-4.7065054e-08	-1.0137260950671135e-07	-5.971328875809049e-10	0.976	0.048	-0.006693402	0.1826862435057601	True	True	False	4.8428774e-08	False
ENSG00000265477	4.8428774e-08	4.8494783e-08	1.908192319710622e-08	7.598573734668434e-08	1.0	0.0009990009990009	-0.005502837	0.0126510092688221	True	True	False	4.8428774e-08	False
ENSG00000272121	-4.749745e-08	-4.8600867e-08	-7.625477174144635e-08	-1.9363140246753123e-08	1.0	0.0009990009990009	-0.005470139	0.0126510092688221	True	True	False	4.749745e-08	False
GALNT9-AS1	-4.703179e-08	-4.770232e-08	-7.586715593532744e-08	-1.9696406816649422e-08	1.0	0.0009990009990009	-0.0051172767	0.0126510092688221	False	True	False	4.703179e-08	False
OR2J3	-4.6100467e-08	-4.6357734e-08	-7.251523506113246e-08	-2.052415033482191e-08	1.0	0.0009990009990009	-0.0055426285	0.0126510092688221	False	True	False	4.6100467e-08	False
CYP11B2	-4.5169145e-08	-4.3556703e-08	-8.922007257439191e-08	-8.623557201659086e-09	0.988	0.024	-0.005143738	0.1129699678726079	False	True	False	4.5169145e-08	False
PSMB11	-4.33065e-08	-4.4072234e-08	-8.363859276272478e-08	-6.494948701085706e-09	0.989	0.022	-0.0054977434	0.106562598821331	False	True	False	4.33065e-08	False
RN7SL621P	4.1443855e-08	4.190683e-08	4.082220195211761e-09	8.122575323454839e-08	0.985	0.03	-0.005541987	0.1312738605375925	False	True	False	4.1443855e-08	False
LINC01526	4.004687e-08	4.0490388e-08	7.531592083331874e-09	7.644676021101303e-08	0.989	0.022	-0.0054370714	0.106562598821331	False	True	False	4.004687e-08	False
LINC02222	-3.4924597e-08	-3.441566e-08	-8.114313061469147e-08	6.642486616303933e-09	0.946	0.108	-0.006538944	0.3105806451612903	False	False	False	3.4924597e-08	False
ENSG00000272788	-3.4458935e-08	-3.3295912e-08	-9.19803939680719e-08	1.7395311235901542e-08	0.901	0.198	-0.008066701	0.4516485480268057	True	False	False	3.4458935e-08	False
ENSG00000236003	3.306195e-08	3.2393814e-08	6.240208974550581e-10	6.864998631783692e-08	0.976	0.048	-0.0055193002	0.1826862435057601	True	True	False	3.306195e-08	False
CYB5D1	3.259629e-08	3.2418825e-08	7.426072401450768e-09	5.6476170495756145e-08	0.996	0.008	-0.0050555593	0.049711229946524	False	True	False	3.259629e-08	False
