cohort	module	endpoint	n	n_event	log_hazard_ratio	standard_error	hazard_ratio_per_1sd	ci_low	ci_high	p_value	concordance	ph_score_p	ph_global_p	nonlinearity_lrt_p	covariates	fit_status	q_value_within_module
GSE37892	wnt_stem	distant metastasis-free survival	130	37	-0.1342325890873	0.187431586687263	0.87438666815326	0.60556598337349	1.26254126954917	0.473887341244532	0.549560853199498	0.158569966463233	0.363650643451748	0.496320483745741	age10 + strata(sex) + strata(stage)	ok	0.592359176555665
GSE39582	wnt_stem	RFS	453	136	-0.0300225634891016	0.0907211306280095	0.970423637158319	0.812342920440911	1.15926662479492	0.740695531246325	0.536071708293447	0.63303328322455	0.885061716510238	0.616993725889979	age10 + strata(sex) + strata(stage)	ok	0.740695531246325
GSE14333	wnt_minus_proliferation	DFS	185	48	0.0938701621137728	0.16764225815139	1.09841712050116	0.790805979685085	1.52568417741419	0.575518101247049	0.527777777777778	0.168525250193894	0.380811328349423	0.904073328662238	age10 + strata(sex) + strata(stage)	ok	0.767679811630767
GSE17536	wnt_minus_proliferation	DFS/recurrence	111	31	0.0736348159723666	0.189420866269269	1.07641364464241	0.742581047161613	1.56032306345705	0.697471034277378	0.530744336569579	0.202768276515921	0.43377347424088	0.628050048041042	age10 + strata(sex) + strata(stage)	ok	0.767679811630767
GSE33113	wnt_minus_proliferation	recurrence/metastasis within 3 years	88	18	0.0698964539057811	0.236607360053029	1.07239713297044	0.674458285528312	1.70512489130796	0.767679811630767	0.627760252365931	0.673488658343941	0.85067610255358	0.902884641294767	age10 + strata(sex)	ok	0.767679811630767
GSE37892	wnt_minus_proliferation	distant metastasis-free survival	130	37	0.1501584793566	0.179423589168441	1.16201838406246	0.817499250205917	1.65172839554167	0.402652296997762	0.5633626097867	0.816884151289252	0.972883049722778	0.0974044824351401	age10 + strata(sex) + strata(stage)	ok	0.767679811630767
GSE39582	wnt_minus_proliferation	RFS	453	136	0.193692179145352	0.0905455960712536	1.21372261631493	1.01635842950379	1.44941247751896	0.0324221206928201	0.563484466103907	0.636835554114725	0.868753372952223	0.080139439337627	age10 + strata(sex) + strata(stage)	ok	0.162110603464101
GSE14333	proliferation_control	DFS	185	48	-0.373699350845025	0.135906844625697	0.688183782602366	0.527254528073752	0.898232055715326	0.0059654803981126	0.600129198966408	0.0114806430405151	0.0409748805354943	0.490828784502463	age10 + strata(sex) + strata(stage)	ok	0.0149137009952817
GSE17536	proliferation_control	DFS/recurrence	111	31	-0.260093559712017	0.162442739032717	0.770979449813812	0.560752595053624	1.06002061743177	0.10934592462804	0.558252427184466	0.186364585544834	0.384192423080141	0.59250548576068	age10 + strata(sex) + strata(stage)	ok	0.13668240578505
GSE33113	proliferation_control	recurrence/metastasis within 3 years	88	18	-0.553126519622713	0.231904404720924	0.575148782418749	0.365075608333623	0.906103049249658	0.0170722130486129	0.709779179810726	0.543667815791532	0.826967942885346	0.497478236666283	age10 + strata(sex)	ok	0.0284536884143548
GSE37892	proliferation_control	distant metastasis-free survival	130	37	-0.225091830552864	0.173596547836401	0.798442893940318	0.568169884726096	1.12204302273276	0.194755870390603	0.568381430363864	0.467595374975351	0.754603237200304	0.688555090758365	age10 + strata(sex) + strata(stage)	ok	0.194755870390603
GSE39582	proliferation_control	RFS	453	136	-0.219814926322475	0.0788398668311871	0.802667336812592	0.68774425959473	0.9367942292466	0.0053015074950309	0.575493864763728	0.90615556832231	0.95390635468402	0.888635922758583	age10 + strata(sex) + strata(stage)	ok	0.0149137009952817
