gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected	logFC	AveExpr	t	P.Value	adj.P.Val	B	limma_direction_match	limma_fdr_pass	bootstrap_stability_pass	stable_core	arm	core	selected12
TRPM5	-0.016454028	-0.015890248	-0.0491579839959741	0.0133025404764339	0.837	0.326	0.0044761314	0.598569607148695	FALSE	FALSE	FALSE	0.016454028	FALSE	-0.0160935852078766	0.0044761311972973	-0.82297663145102	0.415592105192777	0.720296169842714	-5.98535266070921	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
HTR1F	-0.01647087	-0.015203878	-0.0494124868884683	-1.50936977583172e-08	0.988	0.024	0.0034639472	0.112969967872608	FALSE	TRUE	TRUE	0.01647087	FALSE	-0.0148421253373865	0.00346394706216216	-0.822679287443013	0.415759156833292	0.720296169842714	-5.98559135471072	TRUE	FALSE	TRUE	FALSE	down	FALSE	FALSE
MARCHF1	-0.057496898	-0.06396171	-0.198173487186432	0.0717179164290428	0.814	0.372	0.051491894	0.64473877488042	FALSE	FALSE	FALSE	0.057496898	FALSE	-0.0533228554852746	0.0514919008702703	-0.820917491349934	0.4167498015036	0.720796008385853	-5.98700393642655	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
RNF157-AS1	-0.024915546	-0.02418666	-0.073687188513577	0.00679980985587462	0.887	0.226	0.010335747	0.486753675060718	FALSE	FALSE	FALSE	0.024915546	FALSE	-0.023724291720491	0.0103357468077027	-0.820716409690618	0.416862960143655	0.720796008385853	-5.98716497499321	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
SERPINI2	-0.016399737	-0.015235841	-0.0561111675575376	0.0125689615495503	0.833	0.334	0.0017869966	0.606484103890506	FALSE	FALSE	FALSE	0.016399737	FALSE	-0.0188560545516634	0.00178699703243243	-0.820942134673754	0.416739539140922	0.720796008385853	-5.98698029304755	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
ZNF687-AS1	0.017214503	0.014232308	-0.021965897269547	0.0643280725926161	0.758	0.484	0.004858819	0.744911258278146	FALSE	FALSE	FALSE	0.017214503	FALSE	0.0157241661650854	0.00485881837162162	0.821021575422692	0.416691235621811	0.720796008385853	-5.98692056455139	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
DCHS1	0.016938996	0.015738184	-0.0205394433345646	0.059424141049385	0.764	0.472	0.009982759	0.736159215032861	FALSE	FALSE	FALSE	0.016938996	FALSE	0.0152123983590261	0.00998275841594595	0.821240574526839	0.416568025988359	0.720796008385853	-5.98674511185774	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
TRPC5OS	-0.01439493	-0.014011249	-0.0414479864761233	0.0030262388754636	0.899	0.202	0.0040680687	0.45653896713615	FALSE	FALSE	FALSE	0.01439493	FALSE	-0.0131968025940809	0.00406806898108108	-0.820605721958804	0.41692525766598	0.720796008385853	-5.9872536043031	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
DSEL	0.010541676	0.0078035733	-0.016567511530593	0.0459567006677389	0.673	0.654	0.0016502417	0.858899099731089	FALSE	FALSE	FALSE	0.010541676	FALSE	0.010897367071476	0.00165024097567568	0.820691581200707	0.4168769336747	0.720796008385853	-5.98718485653667	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
ABHD10	-0.029489024	-0.029579787	-0.0929766142740846	0.0305167210288346	0.821	0.358	0.020076856	0.630659417638141	FALSE	FALSE	FALSE	0.029489024	FALSE	-0.0293968669350552	0.0200768561756757	-0.8203603035442	0.417063404970147	0.72083144774389	-5.98745007334877	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
CTSS	-0.06879419	-0.06674677	-0.247501675412059	0.132005504518747	0.74	0.52	0.02201613	0.769935410167406	FALSE	FALSE	FALSE	0.06879419	FALSE	-0.0715301081175568	0.0220161323513514	-0.819580140586995	0.417563219799776	0.721372933050779	-5.9880087204822	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
