figure	format	file	width_mm	height_mm	resolution_dpi	file_size_bytes	sha256
figureS4_rna_atac_robustness	TIFF	figures/communications_biology_v1.2/figureS4_rna_atac_robustness.tiff	170	142	600	364816	a29333ad79e50e60c4c655f59d6b12ef640e94256f2868a496bcbe0e9ed6d68b
figureS4_rna_atac_robustness	PNG	figures/communications_biology_v1.2/figureS4_rna_atac_robustness.png	170	142	300	155370	5f2934599801fd4e077ce5a0c47734331e1889ee8e42bec3d0ba58b8435b1acc
figureS5_crc_atlas_source_audit	SVG	figures/communications_biology_v1.2/figureS5_crc_atlas_source_audit.svg	170	150.001		37893	61c58bad3cf1b975e01026a2a0841362c5b36c9873eac2a7d1f59113cfb75d29
figureS5_crc_atlas_source_audit	PDF	figures/communications_biology_v1.2/figureS5_crc_atlas_source_audit.pdf	170	150.001		36154	7a21085be0a9e39e7fd32b88c3c0a6041a6ffb0aecd9211a3f384bde84a588dd
figureS5_crc_atlas_source_audit	TIFF	figures/communications_biology_v1.2/figureS5_crc_atlas_source_audit.tiff	170	150.001	600	608734	c2da038d9c2b385072d3b5ac462257116c98da17095b718ea120fe75854955d2
figureS5_crc_atlas_source_audit	PNG	figures/communications_biology_v1.2/figureS5_crc_atlas_source_audit.png	170	150.001	300	211418	66ab723381301ce564208e8317f0c7c368b5f8a0f7b76febdcbd3dddd8dd3734
figureS6_perturbation_boundaries	SVG	figures/communications_biology_v1.2/figureS6_perturbation_boundaries.svg	170	148.001		27430	f40dd1ba5df4f63964180cd9cdc7b1959b79facc2ec84031a5c37be9ac49b88f
figureS6_perturbation_boundaries	PDF	figures/communications_biology_v1.2/figureS6_perturbation_boundaries.pdf	170	148.001		35718	54f2401fb076a72ca6d9c58c839f0c395a40eeda540ba3b4fe384cbcf4b77931
figureS6_perturbation_boundaries	TIFF	figures/communications_biology_v1.2/figureS6_perturbation_boundaries.tiff	170	148.001	600	461628	b1af41be43f1a06064b7b287568e51e30fdbbb403d5ef6566b751f45fed4794e
figureS6_perturbation_boundaries	PNG	figures/communications_biology_v1.2/figureS6_perturbation_boundaries.png	170	148.001	300	159894	9ce957beac704d58712d7138a9b1d58154375724a627ccbb40cd77bd9667d979
figureS7_virtual_knockout_robustness	SVG	figures/communications_biology_v1.2/figureS7_virtual_knockout_robustness.svg	170	118.001		34694	36f3ca4dbd6ab9db1badc60ae34bdb398263e611d0aaeb0536f724efe1ad0211
figureS7_virtual_knockout_robustness	PDF	figures/communications_biology_v1.2/figureS7_virtual_knockout_robustness.pdf	170	118.001		56094	81353fee1d8df85b39eed9ae8f69b3266a140413fedca535112da29d404e4194
figureS7_virtual_knockout_robustness	TIFF	figures/communications_biology_v1.2/figureS7_virtual_knockout_robustness.tiff	170	118.001	600	495558	942e01b63cdb2ae1ee94d36e9a03acaa766820bb439c86069a911c00c665b2ea
figureS7_virtual_knockout_robustness	PNG	figures/communications_biology_v1.2/figureS7_virtual_knockout_robustness.png	170	118.001	300	147422	e6ec5cb3eeaebb9cd1b06cdb3b2e20056edc027fe099924c48de4828670a8d52
figureS8_spatial_and_protein_assayability	SVG	figures/communications_biology_v1.2/figureS8_spatial_and_protein_assayability.svg	170	144.999		35533	7933b4be32f2f51f1534f54e8a66a2ae8d786d30e32ca0ae599d4bfed3a42358
figureS8_spatial_and_protein_assayability	PDF	figures/communications_biology_v1.2/figureS8_spatial_and_protein_assayability.pdf	170	144.999		37745	28ae021212f269080be25b0445150a9ee0faae4f0e031f6d45c48ef309fe5e73
figureS8_spatial_and_protein_assayability	TIFF	figures/communications_biology_v1.2/figureS8_spatial_and_protein_assayability.tiff	170	144.999	600	572888	d07b763e5b5f9e386bb9d982a0308a3a5e72b64244a8c0c5d46a60e1093b6316
figureS8_spatial_and_protein_assayability	PNG	figures/communications_biology_v1.2/figureS8_spatial_and_protein_assayability.png	170	144.999	300	199359	a2234318d6b51ed4c1246aa64a84166b713d556b98b0b3053abb5c43d4c5cd70
