group_id	donor_id	carrier_group	study_id	n_cells_sampled	M02	M03	M04	M05	M06	M09	M10
Li_2023_Cancer_Cell.P12__normal_epithelial	Li_2023_Cancer_Cell.P12	normal_epithelial	Li_2023_Cancer_Cell	25	0.027482788670438758	-0.10386364220655442	-0.15261822785469126	-0.30108249339784887	-0.12122880827462822	-0.42780790603006047	-0.31466207649467826
Li_2023_Cancer_Cell.P15__tumor_cancer	Li_2023_Cancer_Cell.P15	tumor_cancer	Li_2023_Cancer_Cell	33	-0.0672474048712013	-0.2599837869995415	-0.04991777014169406	-0.05136505572091912	-0.24954398508620057	-0.07002880291468708	-0.08550756227382607
Li_2023_Cancer_Cell.P15__tumor_epithelial	Li_2023_Cancer_Cell.P15	tumor_epithelial	Li_2023_Cancer_Cell	3	-0.02346303973607755	-0.10876200836677401	0.04012144565576036	-0.07514022171938756	0.03983095928930301	-0.09559484385737069	-0.23849737225713166
Li_2023_Cancer_Cell.P15__normal_epithelial	Li_2023_Cancer_Cell.P15	normal_epithelial	Li_2023_Cancer_Cell	52	-0.04736851252101208	-0.24220125995707917	-0.08014162716629762	-0.11294951935343793	-0.20579200643402737	-0.1816966981277596	-0.17487660034561914
Li_2023_Cancer_Cell.P17__tumor_epithelial	Li_2023_Cancer_Cell.P17	tumor_epithelial	Li_2023_Cancer_Cell	5	-0.2724487044559119	-0.14171527281154045	0.30264866395652756	-0.049769503063135774	-0.18353993855969747	-0.23092274254076944	0.06767299501818158
Li_2023_Cancer_Cell.P17__tumor_cancer	Li_2023_Cancer_Cell.P17	tumor_cancer	Li_2023_Cancer_Cell	2	-0.2694212214733767	-0.24699119282148488	-0.07415968526437854	0.0704432101843602	0.04924685884051034	0.46330763098897965	-0.20845541232623965
Li_2023_Cancer_Cell.P17__normal_epithelial	Li_2023_Cancer_Cell.P17	normal_epithelial	Li_2023_Cancer_Cell	15	-0.1294819650630194	-0.2162055155037005	0.1552044364739967	0.12301652584077817	-0.15319716149271428	0.1358603753592092	-0.02421791862838819
Li_2023_Cancer_Cell.P19__tumor_cancer	Li_2023_Cancer_Cell.P19	tumor_cancer	Li_2023_Cancer_Cell	53	-0.09881925943005494	-0.022785159522340465	0.1423841118741088	-0.05150755140470441	-0.13079820003780027	-0.07851540891745139	0.029170569023399037
Li_2023_Cancer_Cell.P19__tumor_epithelial	Li_2023_Cancer_Cell.P19	tumor_epithelial	Li_2023_Cancer_Cell	13	-0.31981101833421216	0.02929190355637908	0.3747340169374462	0.04251952677333985	-0.17187194559447858	0.21877399049070873	0.25457816873353717
Li_2023_Cancer_Cell.P19__normal_epithelial	Li_2023_Cancer_Cell.P19	normal_epithelial	Li_2023_Cancer_Cell	12	-0.2381175596367324	-0.06799889001289365	0.15274446302649244	-0.0074003761940698385	-0.10325491785824399	0.2915548182940969	0.01297326862879054
