pseudobulk_id	specimen_id	donor_id	route	cell_type	n_cells	library_size
HTA11_347_2000001011__TAC	HTA11_347_2000001011	HTA11_347	conventional_adenoma	TAC	91	1354426
HTA11_377_2000001011__TAC	HTA11_377_2000001011	HTA11_377	normal	TAC	26	292625
HTA11_392_3000012011__TAC	HTA11_392_3000012011	HTA11_392	normal	TAC	79	754402
HTA11_411_2000002011__TAC	HTA11_411_2000002011	HTA11_411	normal	TAC	93	1030096
HTA11_411_2000002021__TAC	HTA11_411_2000002021	HTA11_411	normal	TAC	276	2922859
HTA11_5212_2000002011__TAC	HTA11_5212_2000002011	HTA11_5212	normal	TAC	20	147708
HTA11_5216_2000002011__TAC	HTA11_5216_2000002011	HTA11_5216	normal	TAC	54	544596
HTA11_5216_2000002021__TAC	HTA11_5216_2000002021	HTA11_5216	normal	TAC	90	765995
HTA11_546_2000001011__TAC	HTA11_546_2000001011	HTA11_546	conventional_adenoma	TAC	97	856794
HTA11_546_2000002011__TAC	HTA11_546_2000002011	HTA11_546	normal	TAC	59	937593
HTA11_546_2000002021__TAC	HTA11_546_2000002021	HTA11_546	normal	TAC	113	1969582
HTA11_6025_2000002011__TAC	HTA11_6025_2000002011	HTA11_6025	normal	TAC	50	685629
HTA11_6134_2000002021__TAC	HTA11_6134_2000002021	HTA11_6134	normal	TAC	55	488133
HTA11_6147_2000002011__TAC	HTA11_6147_2000002011	HTA11_6147	normal	TAC	85	841517
HTA11_6147_2000002021__TAC	HTA11_6147_2000002021	HTA11_6147	normal	TAC	36	432790
HTA11_6310_2000002021__TAC	HTA11_6310_2000002021	HTA11_6310	normal	TAC	38	508838
HTA11_696_2000001011__TAC	HTA11_696_2000001011	HTA11_696	conventional_adenoma	TAC	332	3894069
HTA11_696_2000002011__TAC	HTA11_696_2000002011	HTA11_696	normal	TAC	454	5658050
HTA11_696_2000002021__TAC	HTA11_696_2000002021	HTA11_696	normal	TAC	277	2931902
HTA11_78_2000001011__TAC	HTA11_78_2000001011	HTA11_78	conventional_adenoma	TAC	115	884960
HTA11_78_2000002011__TAC	HTA11_78_2000002011	HTA11_78	normal	TAC	55	881267
HTA11_83_2000002011__TAC	HTA11_83_2000002011	HTA11_83	normal	TAC	86	1199150
HTA11_83_2000002021__TAC	HTA11_83_2000002021	HTA11_83	normal	TAC	69	943184
HTA11_866_2000001011__TAC	HTA11_866_2000001011	HTA11_866	conventional_adenoma	TAC	71	591842
