partition	k	scope	decomposition_type	component	estimate	ci_low	ci_high	n_donors	n_normal_donors	n_adenoma_donors
validation	3	ABS	fine_state	within	0.0932455457677372	0.0608323027367296	0.124417272502837	23	18	12
validation	3	ABS	fine_state	reconstruction_error	-1.38777878078145e-17	-2.77555756156289e-17	2.77555756156289e-17	23	18	12
validation	3	GOB	fine_state	total	0.067704835858073	0.0433197573092971	0.0915488675348679	23	18	12
validation	3	GOB	fine_state	composition	0.00423489308832347	-0.00229778669779027	0.00981079364001711	23	18	12
validation	3	GOB	fine_state	within	0.0634699427697496	0.0429840978657989	0.0840927417742285	23	18	12
validation	3	GOB	fine_state	reconstruction_error	-1.38777878078145e-17	-2.77555756156289e-17	2.77555756156289e-17	23	18	12
validation	3	TAC	fine_state	total	0.0853669900538584	0.0453311718531545	0.120047393163211	23	18	12
validation	3	TAC	fine_state	composition	0.00261040447652138	-0.00201099959553315	0.00915987617044161	23	18	12
validation	3	TAC	fine_state	within	0.082756585577337	0.0442474504250907	0.116117915114017	23	18	12
validation	3	TAC	fine_state	reconstruction_error	0	-2.77555756156289e-17	2.77555756156289e-17	23	18	12
validation	4	all	fine_state	total	0.0999115353220597	0.0630936438989743	0.133436317767504	23	18	12
validation	4	all	fine_state	composition	0.0208663791416313	0.00974383215082701	0.030335500837128	23	18	12
validation	4	all	fine_state	within	0.0790451561804283	0.0492850891085242	0.11017769032571	23	18	12
validation	4	all	fine_state	reconstruction_error	0	-1.38777878078145e-17	1.38777878078145e-17	23	18	12
validation	4	ABS	fine_state	total	0.105826357417742	0.0678924353986251	0.139465178182966	23	18	12
validation	4	ABS	fine_state	composition	0.014071017214134	0.0043560011137319	0.0244802421415232	23	18	12
validation	4	ABS	fine_state	within	0.0917553402036076	0.0587479514018109	0.123665469538591	23	18	12
validation	4	ABS	fine_state	reconstruction_error	-1.38777878078145e-17	-2.77555756156289e-17	2.77555756156289e-17	23	18	12
validation	4	GOB	fine_state	total	0.067704835858073	0.0430671787047525	0.0906378222186588	23	18	12
validation	4	GOB	fine_state	composition	0.00813921738686265	0.00132492074935497	0.0134510079286136	23	18	12
validation	4	GOB	fine_state	within	0.0595656184712104	0.0391393555461911	0.0804345733040194	23	18	12
validation	4	GOB	fine_state	reconstruction_error	0	-2.77555756156289e-17	2.08166817117217e-17	23	18	12
validation	4	TAC	fine_state	total	0.0853669900538584	0.0462760680275581	0.121631609135382	23	18	12
validation	4	TAC	fine_state	composition	0.00439685106021064	-0.00193032675928657	0.0124174678938556	23	18	12
validation	4	TAC	fine_state	within	0.0809701389936478	0.0438092816827296	0.115927548982206	23	18	12
validation	4	TAC	fine_state	reconstruction_error	1.38777878078145e-17	-2.77555756156289e-17	2.77555756156289e-17	23	18	12
validation	5	all	fine_state	total	0.0999115353220597	0.0628048208204977	0.132915046244905	23	18	12
validation	5	all	fine_state	composition	0.0226963767051914	0.0109809150590641	0.0337109710664844	23	18	12
validation	5	all	fine_state	within	0.0772151586168683	0.0474630329325437	0.107502213429416	23	18	12
validation	5	all	fine_state	reconstruction_error	-1.38777878078145e-17	-1.38777878078145e-17	1.38777878078145e-17	23	18	12
