gene	arm	common_effect	common_z	common_q_value	max_lfsr	GeneID	type_of_gene	Nomenclature_status	ncbi_current_symbol	annotation_method	GSE117606	GSE40362	GSE41657	GSE50114	GSE72820	GSE8671	n_platforms_present	all_six_platforms_present	protein_coding	objective_selection_eligible	eligibility_rule
NDUFB6	down	-0.553978406852178	-5.80767994409203	1.37040731898626e-07	0.0001415900235055	4712	protein-coding	O	NDUFB6	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GNG5	down	-0.580253891249546	-5.80195080643873	1.41435280570394e-07	3.67867437588432e-05	2787	protein-coding	O	GNG5	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SELENOF	down	-0.503140193246202	-5.79932002563569	1.43295808728804e-07	0.0002948291491242	9403	protein-coding	O	SELENOF	current_ncbi_symbol	True	False	False	False	False	False	1	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GALNT12	down	-0.567470591785653	-5.79863782336453	1.43504197777873e-07	0.0041080958179965	79695	protein-coding	O	GALNT12	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
VPS29	down	-0.301709280829999	-5.79612770721254	1.45288178299392e-07	0.0098742738388877	51699	protein-coding	O	VPS29	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ARHGAP26	up	0.429658093853887	5.78953616274811	1.50713479661981e-07	0.0003741683957562	23092	protein-coding	O	ARHGAP26	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NUDT9	down	-0.470446776648717	-5.78162583458979	1.57566563841207e-07	0.0001678181644695	53343	protein-coding	O	NUDT9	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CYB5A	down	-0.568660302061849	-5.76026140112956	1.78405833851823e-07	2.0696307165502e-05	1528	protein-coding	O	CYB5A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
HSPE1	down	-0.531889476537084	-5.75820142597061	1.80130744349214e-07	0.0001315187557826	3336	protein-coding	O	HSPE1	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NKAIN2	up	0.963508679115735	5.74872772420816	1.90028690593303e-07	0.0017478588498735	154215	protein-coding	O	NKAIN2	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ARF1	down	-0.459099846725098	-5.74756505822181	1.90848972390971e-07	0.0002539405808136	375	protein-coding	O	ARF1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NDUFA1	down	-0.488453037880996	-5.74540250956922	1.92809952733143e-07	0.0001428516417155	4694	protein-coding	O	NDUFA1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
BICDL1	up	0.721292315005825	5.7355606268886	2.03826938970421e-07	0.0068676712215243	92558	protein-coding	O	BICDL1	current_ncbi_symbol	True	False	False	False	False	False	1	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
F2RL1	down	-1.00579666394827	-5.72709637864295	2.13712809862099e-07	0.0008347297208486	2150	protein-coding	O	F2RL1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PSMD6	down	-0.623282462964331	-5.72664857432771	2.13733593281667e-07	0.00324498225035	9861	protein-coding	O	PSMD6	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
DPY19L3	up	0.508108268154004	5.71842040703667	2.23775326211088e-07	0.0011230562281184	147991	protein-coding	O	DPY19L3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CD82	up	0.660797695384253	5.71749776188932	2.24425201230404e-07	0.0015274264999113	3732	protein-coding	O	CD82	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ACSF2	down	-0.595516790709343	-5.71364153913118	2.28994845910873e-07	4.80062947072479e-05	80221	protein-coding	O	ACSF2	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CCNJL	down	-0.739287618378036	-5.71254800477467	2.29791605998028e-07	0.0063246200487286	79616	protein-coding	O	CCNJL	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ITGB4	up	0.434664445688713	5.71219587227129	2.29791605998028e-07	0.0097541803029613	3691	protein-coding	O	ITGB4	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PRELID3B	down	-1.01830623076419	-5.7051101540122	2.38959546608861e-07	8.7033569217243e-05	51012	protein-coding	O	PRELID3B	current_ncbi_symbol	True	False	True	True	False	False	3	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PADI2	down	-0.523223023030062	-5.7045157601513	2.39196861174644e-07	0.0052809965810889	11240	protein-coding	O	PADI2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SKP1	down	-0.638945082387102	-5.7037337924584	2.39699584052085e-07	0.000434933320246	6500	protein-coding	O	SKP1	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CHRM3	up	1.08704034353396	5.6965992385893	2.49324290673731e-07	0.0320267545035988	1131	protein-coding	O	CHRM3	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LMBRD1	down	-0.465859170307716	-5.68630220326062	2.63517731905075e-07	0.0011281016124412	55788	protein-coding	O	LMBRD1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GTF2IRD2	up	0.496812306109123	5.68508883213299	2.64741878483437e-07	0.000133457632318	84163	protein-coding	O	GTF2IRD2	current_ncbi_symbol	False	False	True	True	True	False	3	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TMCO4	up	0.427566619145449	5.68314463979558	2.67112483438898e-07	0.0002817079670014	255104	protein-coding	O	TMCO4	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GTF2I	up	0.543100274005131	5.67344937831633	2.81993336344872e-07	0.0009776191308362	2969	protein-coding	O	GTF2I	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ARF6	down	-0.71938575259728	-5.66970665292072	2.86887019041056e-07	0.0002255869981417	382	protein-coding	O	ARF6	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CCDC149	up	0.513459008612951	5.66966488996428	2.86887019041056e-07	0.0002605096705017	91050	protein-coding	O	CCDC149	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ACAA2	down	-0.713014478369503	-5.66889183034232	2.87483098084772e-07	0.0001773495247271	10449	protein-coding	O	ACAA2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ATG3	down	-0.646361553161503	-5.66216676832302	2.97036559012009e-07	0.0002506366188801	64422	protein-coding	O	ATG3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TPM3	down	-0.393653160463626	-5.66203975487536	2.97036559012009e-07	0.0001226992155128	7170	protein-coding	O	TPM3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TSPAN13	down	-0.904188918443076	-5.66068777054916	2.98665007213544e-07	0.0033923806260124	27075	protein-coding	O	TSPAN13	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MPLKIP	down	-0.561036546939209	-5.64944930610093	3.18094684003471e-07	0.0044710312587528	136647	protein-coding	O	MPLKIP	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SCUBE2	down	-0.902140628560898	-5.64300260539729	3.29450792265796e-07	8.25451662379573e-05	57758	protein-coding	O	SCUBE2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CATSPERB	up	0.682500288439954	5.64004024299569	3.34367394383791e-07	0.0045326252046193	79820	protein-coding	O	CATSPERB	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
DLEU1	up	0.716425695742917	5.63785235902644	3.37029743939146e-07	0.0045808164715082	10301	ncRNA	O	DLEU1	current_ncbi_symbol	True	True	True	True	True	False	5	False	False	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
UQCRC2	down	-0.486660368552099	-5.63554692360346	3.40758729494434e-07	0.0004819893235304	7385	protein-coding	O	UQCRC2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NDUFA5	down	-0.699991212828832	-5.62940299036031	3.51451529527703e-07	0.0004712350779016	4698	protein-coding	O	NDUFA5	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
AP1S3	up	0.53341084848456	5.62394449453802	3.61890055892133e-07	0.0100391625702709	130340	protein-coding	O	AP1S3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CAT	down	-0.554345512054008	-5.62109209742573	3.6656081460037e-07	0.0009799416643516	847	protein-coding	O	CAT	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GMDS	up	0.584498229119166	5.62091713952859	3.6656081460037e-07	0.0001228405660423	2762	protein-coding	O	GMDS	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
EIF3B	up	0.314765900403919	5.61267776144689	3.83555630445854e-07	0.0387958774515055	8662	protein-coding	O	EIF3B	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LDLRAD4	up	0.446260691287321	5.60887341557915	3.9025394009505e-07	4.90275992890057e-05	753	protein-coding	O	LDLRAD4	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SRSF2	down	-0.617040363305932	-5.60517158526384	3.96837312264925e-07	0.008626978715302	6427	protein-coding	O	SRSF2	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
DMPK	up	0.727953865486625	5.60315844199085	4.00546640943287e-07	0.0074168170293049	1760	protein-coding	O	DMPK	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
RAI1	up	0.677343902587533	5.59777093916376	4.12237327174182e-07	0.0005024078125384	10743	protein-coding	O	RAI1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CDC25B	up	0.766135830765299	5.59176010724286	4.25624823653425e-07	0.0204388979318252	994	protein-coding	O	CDC25B	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
APBB2	up	0.561738764578067	5.59142619925795	4.25624823653425e-07	0.0147553557601277	323	protein-coding	O	APBB2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CREBBP	up	0.307693563618085	5.58547665925374	4.39446558733704e-07	2.41724606185444e-05	1387	protein-coding	O	CREBBP	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
RPS13	down	-0.520249035677245	-5.57964000101181	4.53409574393901e-07	0.0094345128398468	6207	protein-coding	O	RPS13	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CLTC	down	-0.463480598395684	-5.57484087004887	4.65023741510956e-07	0.0036703986227641	1213	protein-coding	O	CLTC	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NOL4L	down	-0.586263648542091	-5.5709819439272	4.74360281269194e-07	5.11468276721549e-05	140688	protein-coding	O	NOL4L	current_ncbi_symbol	True	False	True	True	False	False	3	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SEPTIN8	down	-0.439623594452466	-5.568792881541	4.79265943127227e-07	0.0001232785031933	23176	protein-coding	O	SEPTIN8	current_ncbi_symbol	True	False	False	False	False	False	1	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TMEM14C	down	-0.561901226493769	-5.5646447631368	4.89693804305162e-07	0.0014996035416715	51522	protein-coding	O	TMEM14C	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
BBLN	up	0.570088490017725	5.56254564400669	4.94501446700176e-07	0.0001840681865527	79095	protein-coding	O	BBLN	current_ncbi_symbol	True	False	False	False	False	False	1	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ATP5MK	down	-0.532242325349085	-5.5596057010418	5.01768277509037e-07	0.0022050185441961	84833	protein-coding	O	ATP5MK	current_ncbi_symbol	False	False	False	False	False	False	0	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
BCL10	down	-0.644875813911751	-5.55318854180513	5.19376928347712e-07	0.0002011807288777	8915	protein-coding	O	BCL10	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
UAP1	down	-0.670182755687808	-5.55181225320123	5.22307197021225e-07	0.009286854073368	6675	protein-coding	O	UAP1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TMC5	up	0.480044934126831	5.55012578573807	5.26188479888812e-07	0.0007596185910039	79838	protein-coding	O	TMC5	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PGAP4	down	-0.550600188339975	-5.54324980094235	5.45185553261219e-07	0.0018105836012646	84302	protein-coding	O	PGAP4	current_ncbi_symbol	True	False	False	False	False	False	1	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MARK4	up	0.683615924072775	5.54313912606368	5.45185553261219e-07	0.0001030805985542	57787	protein-coding	O	MARK4	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CDKL5	up	0.513622045300483	5.54145950048778	5.49215816306918e-07	0.0055318694582575	6792	protein-coding	O	CDKL5	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
VDAC2	down	-0.609438439452636	-5.53689530037223	5.6180315902447e-07	9.82881231912369e-05	7417	protein-coding	O	VDAC2	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CHMP5	down	-0.579941417147608	-5.53589638334134	5.62775355748175e-07	0.0004808524163975	51510	protein-coding	O	CHMP5	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
FAM120A	down	-0.485156672598666	-5.53563379622768	5.62775355748175e-07	0.0304005792072287	23196	protein-coding	O	FAM120A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
EIF4EBP2	down	-0.472081842771314	-5.53115670854537	5.76060237106123e-07	0.0028300892773057	1979	protein-coding	O	EIF4EBP2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CD164	down	-0.733259369071138	-5.5301535429741	5.78090988362993e-07	0.0024540116485679	8763	protein-coding	O	CD164	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
STAT3	up	0.385420999643365	5.52810411271244	5.83600741169829e-07	7.60025431798316e-05	6774	protein-coding	O	STAT3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GGCT	down	-0.700101869190499	-5.51510975052044	6.27030909869291e-07	0.007405363694816	79017	protein-coding	O	GGCT	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
RCAN3	up	0.487583632072643	5.51393453479017	6.29856343415073e-07	0.0005355913283424	11123	protein-coding	O	RCAN3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
UNK	up	0.398195856404042	5.50183626299923	6.71719921841105e-07	0.0006498246280998	85451	protein-coding	O	UNK	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SATB2-AS1	down	-0.580034113859842	-5.49325070452388	7.03692618633693e-07	0.0008725422561793	150538	ncRNA	O	SATB2-AS1	current_ncbi_symbol	True	False	True	True	True	False	4	False	False	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CS	down	-0.512753779703692	-5.49195418832091	7.05817270480657e-07	0.0003623657537226	1431	protein-coding	O	CS	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ABRACL	down	-0.744651203112759	-5.48619545857756	7.27633758230781e-07	0.0126104972066757	58527	protein-coding	O	ABRACL	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MFN2	down	-0.381658973978574	-5.48270559475505	7.40543731455656e-07	0.000150947870649	9927	protein-coding	O	MFN2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
DSTN	down	-0.447666125328769	-5.48067289243437	7.47495711889807e-07	0.0003728247204274	11034	protein-coding	O	DSTN	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SPINT2	down	-0.397974983428039	-5.46940780926546	7.94887461117583e-07	0.0002847247371071	10653	protein-coding	O	SPINT2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
BEX3	down	-0.602216193541354	-5.46244119631525	8.24965268838043e-07	0.0012191706995272	27018	protein-coding	O	BEX3	current_ncbi_symbol	True	False	True	True	False	False	3	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LARP1	up	0.24584835971418	5.45981575015157	8.35472641577888e-07	0.0027197362392829	23367	protein-coding	O	LARP1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
HINT3	down	-0.722927290894359	-5.45839151346566	8.40408845249688e-07	0.0005093731997489	135114	protein-coding	O	HINT3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GNG10	down	-0.86858251185055	-5.45764247616955	8.42168933349817e-07	0.0003565313730063	2790	protein-coding	O	GNG10	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
RNF103	down	-0.925382364863788	-5.45454516734077	8.55164346919934e-07	0.0013391027294006	7844	protein-coding	O	RNF103	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
C17orf58	down	-0.854185011076519	-5.44489051148585	9.00960085151575e-07	0.0026168539374226	284018	protein-coding	O	C17orf58	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CMC2	down	-0.383202779075393	-5.43850556568744	9.31875182652627e-07	0.0010710266869979	56942	protein-coding	O	CMC2	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
YWHAE	down	-0.471461366730378	-5.43755997133906	9.34860485922735e-07	0.0025824198243091	7531	protein-coding	O	YWHAE	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TMTC2	up	0.406393283236379	5.4269172579095	9.90245201603471e-07	0.0004461306818994	160335	protein-coding	O	TMTC2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SETD5	up	0.26170053521233	5.42093154174966	1.02183864633669e-06	4.2826585602783e-05	55209	protein-coding	O	SETD5	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
BSPRY	up	0.350461926754214	5.41674089931867	1.04388118839045e-06	0.0002173161833318	54836	protein-coding	O	BSPRY	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MRPS33	down	-0.491117474209198	-5.4152289300523	1.05054320606757e-06	0.0140015091660421	51650	protein-coding	O	MRPS33	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CRTC3	up	0.405964236770705	5.41288296586682	1.06218792391264e-06	0.0079739371200659	64784	protein-coding	O	CRTC3	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TNFRSF10A	up	0.57704294780156	5.41210606384221	1.06459001315421e-06	0.0002940260890505	8797	protein-coding	O	TNFRSF10A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
UNG	down	-0.58180843459381	-5.40966790086074	1.0769463748231e-06	0.0001459254231015	7374	protein-coding	O	UNG	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CTNND1	down	-0.382164420501201	-5.4087590959833	1.08018367458668e-06	0.0018760598080496	1500	protein-coding	O	CTNND1	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PTPN14	up	0.498404165036336	5.40761531752429	1.08485640662624e-06	0.0128241267924918	5784	protein-coding	O	PTPN14	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PPIF	down	-0.515644055645023	-5.40556718641423	1.09506479698789e-06	0.0001275924762393	10105	protein-coding	O	PPIF	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
BANF1	down	-0.54981430234817	-5.40518097169022	1.09516898271847e-06	0.0004524312646627	8815	protein-coding	O	BANF1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
RANGAP1	up	0.576265256696589	5.40375434397121	1.09953491297723e-06	0.0029325198091026	5905	protein-coding	O	RANGAP1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PATJ	up	0.315457517079061	5.40337767944482	1.09953491297723e-06	0.0004168392223175	10207	protein-coding	O	PATJ	current_ncbi_symbol	True	False	True	True	False	False	3	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
YWHAB	down	-0.463364711112712	-5.4033645917682	1.09953491297723e-06	0.0006114307020949	7529	protein-coding	O	YWHAB	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PML	up	0.499808982238499	5.4016594500826	1.10777490355574e-06	0.0037529971696673	5371	protein-coding	O	PML	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
KLHL18	up	0.434832076291128	5.39315832267603	1.1591426163484e-06	5.47625401143723e-05	23276	protein-coding	O	KLHL18	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MDH1	down	-0.593727014025998	-5.38944068305965	1.1809717556301e-06	0.000853239200361	4190	protein-coding	O	MDH1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
