gene	arm	common_effect	common_z	common_q_value	max_lfsr	GeneID	type_of_gene	Nomenclature_status	ncbi_current_symbol	annotation_method	GSE117606	GSE40362	GSE41657	GSE50114	GSE72820	GSE8671	n_platforms_present	all_six_platforms_present	protein_coding	objective_selection_eligible	eligibility_rule
NFATC3	up	0.39118746299955	4.25403072876916	0.0001658071219524	0.0059531159289541	4775	protein-coding	O	NFATC3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MYPOP	up	0.515058424293279	4.24883354797749	0.000169537619197	0.0264208588123153	339344	protein-coding	O	MYPOP	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ABHD5	down	-0.520344995016802	-4.24791291970942	0.0001700653696156	0.0062009550047207	51099	protein-coding	O	ABHD5	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SPPL2B	up	0.378668559010067	4.24770744492219	0.0001700653696156	0.0136617274275332	56928	protein-coding	O	SPPL2B	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GARNL3	up	0.383068032045387	4.24718410226564	0.0001702454183922	0.0065269312809974	84253	protein-coding	O	GARNL3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SHLD2	up	0.275469226140969	4.24688688840052	0.0001702454183922	0.0117270260274627	54537	protein-coding	O	SHLD2	current_ncbi_symbol	False	False	False	False	False	False	0	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CHEK2	up	0.333534280533821	4.24682718675847	0.0001702454183922	0.0372643216097814	11200	protein-coding	O	CHEK2	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PRKCH	up	0.433051524774583	4.24595612810067	0.0001706575697792	0.0017649180114224	5583	protein-coding	O	PRKCH	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MGAT4B	down	-0.390579498142798	-4.24585735377172	0.0001706575697792	0.0028179443105912	11282	protein-coding	O	MGAT4B	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SEMA4B	up	0.366950289002701	4.23953752320652	0.0001751994075989	0.0249397374441282	10509	protein-coding	O	SEMA4B	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
UBAP2	up	0.252323286037002	4.23764089759592	0.0001763499493777	0.0093306766287757	55833	protein-coding	O	UBAP2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SUCLG2	down	-0.407784529775056	-4.23617857445646	0.0001773333559499	0.0131679933371882	8801	protein-coding	O	SUCLG2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MAP4	up	0.249718106993759	4.23508409202953	0.0001780303858179	0.0130670784740469	4134	protein-coding	O	MAP4	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PCMT1	down	-0.344652120935281	-4.2345415010794	0.0001782917614397	0.0032976120774627	5110	protein-coding	O	PCMT1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NSA2	down	-0.372371454376943	-4.23428475955991	0.0001783266855748	0.0044332239675685	10412	protein-coding	O	NSA2	current_ncbi_symbol	False	False	True	True	True	False	3	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CA12	down	-0.248375063282067	-4.23401809823242	0.0001783696371073	0.0105582343594434	771	protein-coding	O	CA12	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LMF1	up	0.432004434804441	4.23188465513865	0.0001799003622222	0.0062301183135016	64788	protein-coding	O	LMF1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SPAG16	down	-0.472830018882329	-4.2310258943216	0.0001804182886933	0.0236689217333632	79582	protein-coding	O	SPAG16	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ZNF282	up	0.376296231490346	4.22655976225758	0.0001838615966706	0.0050918920732419	8427	protein-coding	O	ZNF282	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
FAM168A	up	0.323435058392438	4.22490984228513	0.0001850394260132	0.0063054025543187	23201	protein-coding	O	FAM168A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
POC1B	up	0.342446509097253	4.22463290677651	0.000185092818729	0.0055249293751215	282809	protein-coding	O	POC1B	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ATXN2L	up	0.437399667936284	4.22435902520114	0.0001851438666851	0.0088554707528346	11273	protein-coding	O	ATXN2L	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SMU1	down	-0.346587566218854	-4.22217299916695	0.0001864235262515	0.0218780540329893	55234	protein-coding	O	SMU1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ANKS3	up	0.433982080200355	4.22018314369428	0.000187724826761	0.0036778912676746	124401	protein-coding	O	ANKS3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ENSG00000276256	down	-0.574530018801664	-4.21992192042103	0.0001877668290947	0.0028261336029947						False	False	False	False	False	False	0	False	False	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ZMIZ2	up	0.404219386481184	4.21936958289064	0.0001880516437636	0.0342195825525492	83637	protein-coding	O	ZMIZ2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
