collection	gene_set	description	NGenes	Direction	PValue	FDR	strict_core_overlap	top_contributing_genes	global_fdr	interpretive_family
GO:BP 2026.1.Hs	GOBP_AORTA_DEVELOPMENT	The progression of the aorta over time, from its initial formation to the mature structure. An aorta is an artery that carries blood from the heart to other parts of the body. [GOC:bf, GOC:dgh, MA:0000062, UBERON:0000947, Wikipedia:Aorta]	33	Up	2.97043364704429e-05	0.00382054346698411	12	SMAD6;TGFBR2;NPRL3;LRP1;AP2B1;SOX4;TAB1;JAG1;CHD7;SUFU;ROBO2;GAA	0.00195333516308412	other
GO:BP 2026.1.Hs	GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of ribose phosphate, any phosphorylated ribose sugar. [GOC:ai]	128	Down	4.40379079309824e-05	0.00540665406007197	48	ATP5MC3;SDHD;ATP5PO;NDUFAB1;ATP5F1C;ATP5PD;NDUFA12;NDUFB5;ATP5PF;ATP5F1A;NDUFA6;ATP5F1B	0.00284324747387124	other
GO:BP 2026.1.Hs	GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof. [GOC:mah]	182	Down	7.6546264601772e-05	0.00898919394301679	63	ATP5MC3;SDHD;MPC2;ATP5PO;NDUFAB1;ATP5F1C;ATP5PD;NDUFA12;NDUFB5;PGK1;ATP5PF;ATP5F1A	0.00456387103710715	other
GO:BP 2026.1.Hs	GOBP_ATP_METABOLIC_PROCESS	The chemical reactions and pathways involving ATP, adenosine triphosphate, a universally important coenzyme and enzyme regulator. [GOC:go_curators]	165	Down	0.000166522257967705	0.0187406924487821	57	ATP5MC3;SDHD;SLC4A4;HSPA1A;ATP5PO;NDUFAB1;ATP5F1C;ATP5PD;NDUFA12;NDUFB5;PGM1;PGK1	0.00969377931218558	metabolic function
GO:BP 2026.1.Hs	GOBP_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of nucleotides, any nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic-nucleotides (nucleoside cyclic phosphates). [GOC:go_curators]	153	Down	0.000182351956498477	0.0197013053800954	52	ATP5MC3;SDHD;ATP5PO;DUT;NDUFAB1;ATP5F1C;ATP5PD;NDUFA12;NDUFB5;ATP5PF;ATP5F1A;NDUFA6	0.0102782825004141	other
GO:BP 2026.1.Hs	GOBP_STRIATED_MUSCLE_CONTRACTION	A process in which force is generated within striated muscle tissue, resulting in the shortening of the muscle. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis. Striated muscle is a type of muscle in which the repeating units (sarcomeres) of the contractile myofibrils are arranged in registry throughout the cell, resulting in transverse or oblique striations observable at the level of the light microscope. [GOC:jl, GOC:mtg_muscle, ISBN:0198506732]	109	Down	0.000255553295880817	0.0265480558528494	17	SRI;FKBP1A;RPL5;CALM1;CALM2;RPL6;RPL9;GNAS;RPL15;DSC2;GPD1L;SUMO1	0.0137495417223148	other
GO:BP 2026.1.Hs	GOBP_MULTIVESICULAR_BODY_ORGANIZATION	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a multivesicular body. A multivesicular body is a type of late endosome in which regions of the limiting endosomal membrane invaginate to form internal vesicles; membrane proteins that enter the internal vesicles are sequestered from the cytoplasm. [GOC:sart, PMID:11566881]	28	Down	0.00028014546986136	0.0277939295046081	9	RAB11A;CHMP5;RAB27A;CHMP1B;VPS25;PDCD6IP;CHMP4B;VPS36;VPS4B;CHMP2B;TSG101;VTA1	0.0146293612276131	other
GO:BP 2026.1.Hs	GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	A process in which a protein is transported to, or maintained in, a location within the mitochondrion. [GOC:ecd]	49	Down	0.00028812662944429	0.0277939295046081	7	MTCH2;TOMM22;COX18;MAIP1;OXA1L;TIMM21;TIMM17A;DNAJC19;HSPD1;TMEM126A;TOMM40;DNAJC15	0.0148280820457489	metabolic function
GO:BP 2026.1.Hs	GOBP_MIDBRAIN_DEVELOPMENT	The process whose specific outcome is the progression of the midbrain over time, from its formation to the mature structure. The midbrain is the middle division of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes a ventral part containing the cerebral peduncles and a dorsal tectum containing the corpora quadrigemina and that surrounds the aqueduct of Sylvius connecting the third and fourth ventricles). [PMID:4975589, PMID:4992177]	44	Down	0.000319146351724034	0.0292630506353686	21	CALM1;CALM2;ATP5PF;DYNLL1;NDRG2;RHOA;YWHAQ;ATP5PB;YWHAH;PADI2;YWHAE;ACTB	0.0159618126052401	other
GO:BP 2026.1.Hs	GOBP_MITOCHONDRIAL_GENE_EXPRESSION	The process in which a mitochondrial gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form. [PMID:27058308]	131	Down	0.000331265083395758	0.0292630506353686	22	MRPL34;MRPS6;MRPS33;MRPL35;COA3;IARS2;CHCHD1;OXA1L;MRPS30;MRPL47;TFAM;MRPL22	0.0163378098769213	metabolic function
GO:BP 2026.1.Hs	GOBP_AORTA_MORPHOGENESIS	The process in which the anatomical structures of an aorta are generated and organized. An aorta is an artery that carries blood from the heart to other parts of the body. [GOC:bf, GOC:dgh, MA:0000062, UBERON:0000947, Wikipedia:Aorta]	16	Up	0.000344294415542329	0.0292630506353686	8	TGFBR2;NPRL3;LRP1;SOX4;JAG1;CHD7;NAGLU;RBPJ;ACVRL1;NOTCH1;BMPR1A;SEC24B	0.0166365758918029	other
GO:BP 2026.1.Hs	GOBP_DETOXIFICATION	Any process that reduces or removes the toxicity of a toxic substance. These may include transport of the toxic substance away from sensitive areas and to compartments or complexes whose purpose is sequestration of the toxic substance. [GOC:dos]	80	Down	0.00034669293607249	0.0292630506353686	28	SUCLG1;PRDX6;MGST1;TXN;SLC22A5;AKR1B10;AQP8;MGST2;MGST3;SELENOF;CAT;ADH5	0.0166365758918029	other
GO:BP 2026.1.Hs	GOBP_MITOCHONDRIAL_TRANSLATION	The chemical reactions and pathways resulting in the formation of a protein in a mitochondrion. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein; the mitochondrion has its own ribosomes and transfer RNAs, and uses a genetic code that differs from the nuclear code. [GOC:go_curators]	105	Down	0.000359473731069238	0.0293608514322035	18	MRPL34;MRPS6;MRPS33;MRPL35;COA3;IARS2;CHCHD1;OXA1L;MRPS30;MRPL47;MRPL22;MRPL18	0.0167959370924588	metabolic function
GO:BP 2026.1.Hs	GOBP_ARTERY_DEVELOPMENT	The progression of the artery over time, from its initial formation to the mature structure. An artery is a blood vessel that carries blood away from the heart to a capillary bed. [GOC:dph, GOC:sdb_2009, GOC:tb]	49	Up	0.000369592354200267	0.0293608514322035	17	SMAD6;TGFBR2;NPRL3;LRP1;AP2B1;SOX4;TAB1;JAG1;NFATC3;BMPR2;CHD7;MDK	0.0170444473995474	other
GO:BP 2026.1.Hs	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	The directed movement of a protein to a specific location in the endoplasmic reticulum. [GOC:mah]	35	Down	0.000396060421186576	0.0305645485035698	13	SPCS2;SPCS1;SRP9;SRP14;SSR3;SRP19;SEC61B;SEC61G;HSPA5;HERPUD1;EDEM1;TRAM1	0.0179093518997288	other
GO:BP 2026.1.Hs	GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	The process of generating multiple mRNA molecules from a given set of exons by differential use of exons from the primary transcript(s) to form multiple mature mRNAs that vary in their exon composition. [GOC:krc, PMID:12110900]	68	Down	0.000439952476593337	0.0330086566466279	17	MAGOH;SRSF2;WTAP;HNRNPA1;STRAP;NCBP1;SRSF3;TRA2B;SRSF7;SAP18;SRSF1;SMU1	0.0195283905547867	other
GO:BP 2026.1.Hs	GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of a nucleoside phosphate. [GOC:TermGenie]	221	Down	0.000617209626203162	0.0450563027128308	72	ATP5MC3;SDHD;MPC2;ATP5PO;DUT;NDUFAB1;ATP5F1C;ATP5PD;NDUFA12;NDUFB5;PGK1;ATP5PF	0.0261565525501694	other
GO:BP 2026.1.Hs	GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	The chemical reactions and pathways involving a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar. [GOC:go_curators, ISBN:0198506732]	194	Down	0.000650889710599035	0.0462645554823157	63	ATP5MC3;SDHD;SLC4A4;HSPA1A;ATP5PO;DUT;NDUFAB1;ATP5F1C;ATP5PD;NDUFA12;NDUFB5;PGM1	0.0271918748510256	metabolic function
Hallmark 2026.1.Hs	HALLMARK_OXIDATIVE_PHOSPHORYLATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_OXIDATIVE_PHOSPHORYLATION	182	Down	6.09144017715608e-20	2.86297688326336e-18	101	COX5A;ATP5MC3;SDHD;MPC1;CYCS;CPT1A;COX6C;ATP5PO;FH;NDUFAB1;ATP5F1C;ATP5PD	2.16307040690812e-16	metabolic function
Hallmark 2026.1.Hs	HALLMARK_FATTY_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_FATTY_ACID_METABOLISM	105	Down	7.62596384952843e-10	1.79210150463918e-08	43	MAOA;SDHD;HPGD;CPT1A;FH;SUCLG1;PRDX6;HSD17B11;IDH1;HMGCS2;CA2;S100A10	1.59292927233385e-07	metabolic function
Hallmark 2026.1.Hs	HALLMARK_MYC_TARGETS_V1	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_MYC_TARGETS_V1	175	Down	3.56168846695191e-08	5.57997859822466e-07	51	COX5A;DUT;NDUFAB1;PGK1;SLC25A3;RPL6;YWHAQ;HNRNPD;HSPE1;EEF1B2;RPL22;SRSF2	4.86444451774855e-06	cell cycle/proliferation
Hallmark 2026.1.Hs	HALLMARK_MTORC1_SIGNALING	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_MTORC1_SIGNALING	138	Down	1.51659044794915e-06	1.78199377634025e-05	32	CD9;GOT1;IDH1;PGM1;PGK1;ATP5MC1;HSPE1;UNG;RAB1A;SC5D;GSR;HSPA9	0.000128224111444462	other
