query	result_direction	rank	sig_id	pert_id	pert_desc	cell_id	pert_time_h	pert_dose_uM	score	z_score	p_value	q_value	combined_score
mature_function_loss_arm	opposite	33	CPC006_LOVO_6H:BRD-K61662457-001-02-2:20	BRD-K61662457	CAY10594	LOVO	6	20.0	-0.0423728813559322	1.7937365591666674	4.64022171475147e-05	0.0104549079677261	-7.773087903955954
mature_function_loss_arm	opposite	34	CPC019_VCAP_6H:BRD-K23282736-001-01-1:10	BRD-K23282736	-666	VCAP	6	10.0	-0.0423728813559322	1.653721627451887	3.32195304166691e-05	0.00855649729165381	-7.406368447961992
mature_function_loss_arm	opposite	35	MUC.CP004_MCF7_6H:BRD-A72180425-001-06-4:3.3333	BRD-A72180425	-666	MCF7	6	3.3333	-0.0423728813559322	1.6216595280809605	2.54272054944369e-05	0.00725675493340899	-7.4510412506706505
mature_function_loss_arm	opposite	36	CPC012_HA1E_6H:BRD-K15475572-001-01-8:10	BRD-K15475572	MLS-0390837.0001	HA1E	6	10.0	-0.0409604519774011	1.71408814655782	7.85244370022898e-05	0.0147436518580308	-7.036323560320544
mature_function_loss_arm	opposite	37	CPC020_HCC515_6H:BRD-K52522949-001-01-7:10	BRD-K52522949	-666	HCC515	6	10.0	-0.0409604519774011	1.6128398191604394	0.000288361337898796	0.0352184801335641	-5.70955451739135
mature_function_loss_arm	opposite	38	CPC010_HT29_6H:BRD-K53423944-001-06-1:10	BRD-K53423944	6-[4-(3-chlorophenyl)piperazin-1-yl]-3-cyclohexylpyrimidine-2,4(1H,3H)-dione	HT29	6	10.0	-0.0409604519774011	1.752588993491454	7.30923575519773e-05	0.0142227760656482	-7.248932460999094
mature_function_loss_arm	opposite	39	CPC017_MCF7_24H:BRD-K20287671-001-03-6:10	BRD-K20287671	-666	MCF7	24	10.0	-0.0409604519774011	1.6816640739442221	8.43171134532843e-05	0.0153597077013687	-6.851241150563706
mature_function_loss_arm	opposite	40	CPC008_PC3_6H:BRD-K61718261-001-04-4:10	BRD-K61718261	NCGC00182361-01	PC3	6	10.0	-0.0409604519774011	1.7842133089618588	5.45861330259946e-05	0.0118656841902255	-7.605954443178873
mature_function_loss_arm	opposite	41	CPC004_VCAP_24H:BRD-K51290057-001-01-0:10	BRD-K51290057	Ch 55	VCAP	24	10.0	-0.0409604519774011	1.8311724592005343	3.08497350598931e-05	0.00820277210049047	-8.259958535962996
mature_function_loss_arm	opposite	42	CPC006_HT29_6H:BRD-K04887706-001-01-6:9.1	BRD-K04887706	Akti-1/2	HT29	6	9.1	-0.0409604519774011	1.8248506160682396	2.74184385880839e-05	0.00747615246826296	-8.324890554405858
mature_function_loss_arm	opposite	43	CPC006_HT29_24H:BRD-K61662457-001-02-2:20	BRD-K61662457	CAY10594	HT29	24	20.0	-0.0409604519774011	1.7908358592918097	0.000167193967083304	0.0236725592402101	-6.763591977515563
mature_function_loss_arm	opposite	44	CPC014_PC3_24H:BRD-K69516039-001-01-1:10	BRD-K69516039	MLS-0435541.0001	PC3	24	10.0	-0.0409604519774011	1.7525994344012839	1.06190516337374e-05	0.00391888777059195	-8.717279331970925
mature_function_loss_arm	opposite	45	CPC006_HT29_24H:BRD-K56343971-001-02-3:10	BRD-K56343971	PLX-4032	HT29	24	10.0	-0.0409604519774011	1.7722453753582597	0.000167193967083304	0.0236725592402101	-6.693379820807457
mature_function_loss_arm	opposite	46	CPC013_VCAP_24H:BRD-K83643280-001-01-1:10	BRD-K83643280	BG FA 0953	VCAP	24	10.0	-0.0409604519774011	1.7860892966966848	1.01710219696254e-05	0.0038531971636964	-8.917292663825611
mature_function_loss_arm	opposite	47	CPC012_PC3_6H:BRD-K05562558-001-01-3:10	BRD-K05562558	-666	PC3	6	10.0	-0.0409604519774011	1.7416231656960406	4.52859804681668e-05	0.0102982565184911	-7.565674122235943
mature_function_loss_arm	opposite	48	CPC006_HCT116_6H:BRD-K68548958-001-01-2:20	BRD-K68548958	-666	HCT116	6	20.0	-0.0409604519774011	1.8148548731728924	4.04188555082798e-05	0.00950709222776895	-7.973412415764355
mature_function_loss_arm	opposite	49	CPC003_PC3_6H:BRD-K22503835-001-06-0:10	BRD-K22503835	Scriptaid	PC3	6	10.0	-0.0395480225988701	1.7880792639743708	0.000219715797437911	0.029210601156893	-6.541041983601922
mature_function_loss_arm	opposite	50	CPC009_PC3_24H:BRD-A11087911-001-05-8:10	BRD-A11087911	-666	PC3	24	10.0	-0.0395480225988701	1.6889446100492973	0.00116960627142312	0.0892507573500042	-4.951918565315861
