pseudobulk_id	cell_type	library_size	normalization_factor	effective_library_size
HTA11_866_2000001011__GOB	GOB	3289969	1.41789052456016	4664815.87119666
HTA11_104_2000002011__TAC	TAC	701421	1.2781584453845	896527.174920043
HTA11_1391_2000001011__TAC	TAC	2150815	1.41169848257579	3036302.27180124
HTA11_1938_2000001011__TAC	TAC	2155710	0.928490837868053	2001556.98410054
HTA11_2235_2000001011__TAC	TAC	593031	0.905779748214088	537155.469863149
HTA11_2235_2000002021__TAC	TAC	1340323	0.792754351367735	1062546.89048826
HTA11_2487_2000002011__TAC	TAC	718436	0.847079475945815	608572.390380607
HTA11_2951_2000001011__TAC	TAC	633356	0.869415941616283	550649.803118322
HTA11_2951_2000002011__TAC	TAC	381386	0.982142065748468	374575.233887545
HTA11_2951_2000002021__TAC	TAC	513717	1.01615394889788	522015.558165971
HTA11_3077_2000002011__TAC	TAC	369102	0.80606245593024	297519.264608763
HTA11_3252_2000002011__TAC	TAC	1172257	0.915614470340853	1073335.47215836
HTA11_3252_2000002021__TAC	TAC	1008368	0.98202619954064	990243.794778396
HTA11_3361_2000001011__TAC	TAC	1543283	1.02264737784701	1578234.31322586
HTA11_3361_2000002011__TAC	TAC	552232	0.884244475036772	488308.094938507
HTA11_3361_2000002021__TAC	TAC	676316	0.956698839766312	647030.732515393
HTA11_3410_2000001011__TAC	TAC	1038556	0.914848266287697	950121.156042686
HTA11_3410_2000002021__TAC	TAC	2588350	1.05366125214006	2727244.10197671
HTA11_347_2000001011__TAC	TAC	1287252	1.27908612338084	1646506.17049424
HTA11_377_2000001011__TAC	TAC	277820	1.28195139442194	356151.736398304
HTA11_392_3000012011__TAC	TAC	722317	1.06376375645387	768374.645270487
HTA11_411_2000002011__TAC	TAC	988464	1.05391590637755	1041757.93248158
HTA11_411_2000002021__TAC	TAC	2790451	1.19961656066712	3347471.23133012
HTA11_5212_2000002011__TAC	TAC	142990	0.844499727289812	120755.01600517
HTA11_5216_2000002011__TAC	TAC	529044	0.731601187626848	387049.218706858
HTA11_5216_2000002021__TAC	TAC	739006	0.893760636559916	660494.472981598
HTA11_546_2000001011__TAC	TAC	815871	1.13607797140916	926893.070611564
HTA11_546_2000002011__TAC	TAC	897897	1.14447212914195	1027618.09134017
HTA11_546_2000002021__TAC	TAC	1878682	1.15008179209474	2160637.96133614
HTA11_6025_2000002011__TAC	TAC	665648	0.684849357105907	455868.604858833
HTA11_6134_2000002021__TAC	TAC	472892	0.757913560926781	358411.259653788
HTA11_6147_2000002011__TAC	TAC	815260	0.789442511545666	643600.901962719
HTA11_6147_2000002021__TAC	TAC	418573	0.835255929113261	349615.580016725
HTA11_6310_2000002021__TAC	TAC	489766	0.824182226681472	403656.432432878
HTA11_696_2000001011__TAC	TAC	3711253	1.07294632613303	3981975.27170018
HTA11_696_2000002011__TAC	TAC	5407485	1.17752008232793	6367422.18238702
HTA11_696_2000002021__TAC	TAC	2803333	1.14200702033356	3201425.96633273
HTA11_78_2000001011__TAC	TAC	835034	1.26475312599493	1056111.86181205
HTA11_78_2000002011__TAC	TAC	837428	1.04904845596256	878502.550379813
HTA11_83_2000002011__TAC	TAC	1138237	1.2682243552124	1443539.8854039
HTA11_83_2000002021__TAC	TAC	898718	1.10030379637952	988862.827274613
HTA11_866_2000001011__TAC	TAC	558025	1.36368975813888	760972.977285451
