module	dataset	species	model_system	comparison	n_units	mean_module_reversal	median_module_reversal	bootstrap_mean_ci_low	bootstrap_mean_ci_high	n_positive_reversal	all_units_positive_reversal	p_exact_sign_two_sided	interpretation_role
M06	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	4	0.05350029669175117	0.09514358900196074	-0.2038696392733242	0.27101707117214846	3	False	0.625	causal or pathway perturbation
M06	GSE135328	human	crc_cell_line_clone	tcf7l2_heterozygous_vs_WT	1	-0.1250410114685619	-0.1250410114685619	-0.1250410114685619	-0.1250410114685619	0	False	1.0	dosage sensitivity
M06	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	4	-0.17176317231261368	-0.12259431654653127	-0.4295046591381585	0.03680945874684867	1	False	0.625	causal or pathway perturbation
M06	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	1	-0.17881197431510776	-0.17881197431510776	-0.17881197431510776	-0.17881197431510776	0	False	1.0	causal or pathway perturbation
M06	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	1	-0.3459896508469534	-0.3459896508469534	-0.3459896508469534	-0.3459896508469534	0	False	1.0	causal or pathway perturbation
M06	GSE67186	mouse	in_vivo_colon_polyp	doxycycline_control_shRenilla	1	-0.07378933618919374	-0.07378933618919374	-0.07378933618919374	-0.07378933618919374	0	False	1.0	control
M09	GSE114059	human	patient_derived_crc_organoid	pri724_reversal_of_trametinib	1	0.09345917817311855	0.09345917817311855	0.09345917817311855	0.09345917817311855	1	True	1.0	causal or pathway perturbation
M09	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	4	0.28938119034951104	0.3262769451235278	0.11630625333538568	0.4624561273636364	4	True	0.125	causal or pathway perturbation
M09	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	3	0.28985414519589175	0.32695005455090176	0.11240578858809713	0.43020659244867626	3	True	0.25	causal or pathway perturbation
M09	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	3	-0.7205068780242526	-0.9599711175329146	-1.3190912962093266	0.11754177966948365	1	False	1.0	causal or pathway perturbation
M09	GSE130822	mouse	colonic_stem_cells	ascl2_ko_vs_resting_wt	1	-1.219836213822251	-1.219836213822251	-1.219836213822251	-1.219836213822251	0	False	1.0	causal or pathway perturbation
M09	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	4	-0.5661600315904003	-0.48476302811153393	-0.7808456942221611	-0.40406661205761096	0	False	0.125	causal or pathway perturbation
M09	GSE135328	human	crc_cell_line_clone	tcf7l2_heterozygous_vs_WT	1	0.12382862157924363	0.12382862157924363	0.12382862157924363	0.12382862157924363	1	True	1.0	dosage sensitivity
M09	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	4	-0.7015016588787987	-0.7925052091800688	-1.003177351639457	-0.380743220520505	0	False	0.125	causal or pathway perturbation
M09	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	1	-0.9492512753245744	-0.9492512753245744	-0.9492512753245744	-0.9492512753245744	0	False	1.0	causal or pathway perturbation
M09	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	1	-1.2058964627748499	-1.2058964627748499	-1.2058964627748499	-1.2058964627748499	0	False	1.0	causal or pathway perturbation
M09	GSE67186	mouse	in_vivo_colon_polyp	doxycycline_control_shRenilla	1	-0.4109226896038557	-0.4109226896038557	-0.4109226896038557	-0.4109226896038557	0	False	1.0	control
M10	GSE114059	human	patient_derived_crc_organoid	pri724_reversal_of_trametinib	1	-0.019376556613247664	-0.019376556613247664	-0.019376556613247664	-0.019376556613247664	0	False	1.0	causal or pathway perturbation
M10	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	4	0.20918507074902565	0.18271282002264944	0.16250213465998042	0.28234025756444703	4	True	0.125	causal or pathway perturbation
M10	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	3	0.31785375973605823	0.19397563070897644	0.07770387782912797	0.6818817706700703	3	True	0.25	causal or pathway perturbation
M10	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	3	0.032316688230268543	-0.11666112891489772	-0.4359134141119457	0.6495246077176491	1	False	1.0	causal or pathway perturbation
M10	GSE130822	mouse	colonic_stem_cells	ascl2_ko_vs_resting_wt	1	-1.1827935547155826	-1.1827935547155826	-1.1827935547155826	-1.1827935547155826	0	False	1.0	causal or pathway perturbation
M10	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	4	0.23091254446120946	0.20993327498399406	0.17156408600378548	0.31124027239584884	4	True	0.125	causal or pathway perturbation
M10	GSE135328	human	crc_cell_line_clone	tcf7l2_heterozygous_vs_WT	1	-0.1078828211850165	-0.1078828211850165	-0.1078828211850165	-0.1078828211850165	0	False	1.0	dosage sensitivity
M10	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	4	-0.08123653450977313	-0.020669466085671478	-0.275639842268088	0.0733191742579833	2	False	1.0	causal or pathway perturbation
M10	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	1	-0.14717473878298454	-0.14717473878298454	-0.14717473878298454	-0.14717473878298454	0	False	1.0	causal or pathway perturbation
M10	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	1	0.2152002188440188	0.2152002188440188	0.2152002188440188	0.2152002188440188	1	True	1.0	causal or pathway perturbation
M10	GSE67186	mouse	in_vivo_colon_polyp	doxycycline_control_shRenilla	1	-0.5298770340612563	-0.5298770340612563	-0.5298770340612563	-0.5298770340612563	0	False	1.0	control
