module	dataset	species	model_system	comparison	unit_id	target_minus_reference	module_adenoma_direction_sign	module_reversal
M05	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	shApc	-0.22124476495521345	-1	-0.22124476495521345
M06	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	shApc	0.17881197431510776	1	-0.17881197431510776
M09	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	shApc	-0.9492512753245744	-1	-0.9492512753245744
M10	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	shApc	-0.14717473878298454	-1	-0.14717473878298454
M02	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	shApc_Kras	0.06027268848081074	1	-0.06027268848081074
M03	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	shApc_Kras	0.14152955340340326	1	-0.14152955340340326
M04	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	shApc_Kras	0.34711143386769305	-1	0.34711143386769305
M05	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	shApc_Kras	0.07138914683308636	-1	0.07138914683308636
M06	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	shApc_Kras	0.3459896508469534	1	-0.3459896508469534
M09	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	shApc_Kras	-1.2058964627748499	-1	-1.2058964627748499
M10	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	shApc_Kras	0.2152002188440188	-1	0.2152002188440188
M02	GSE67186	mouse	in_vivo_colon_polyp	doxycycline_control_shRenilla	shRenilla	-0.3718565415453323	1	0.3718565415453323
M03	GSE67186	mouse	in_vivo_colon_polyp	doxycycline_control_shRenilla	shRenilla	0.24378412754125373	1	-0.24378412754125373
M04	GSE67186	mouse	in_vivo_colon_polyp	doxycycline_control_shRenilla	shRenilla	-0.6738435883517779	-1	-0.6738435883517779
M05	GSE67186	mouse	in_vivo_colon_polyp	doxycycline_control_shRenilla	shRenilla	-0.5363377928899313	-1	-0.5363377928899313
M06	GSE67186	mouse	in_vivo_colon_polyp	doxycycline_control_shRenilla	shRenilla	0.07378933618919374	1	-0.07378933618919374
M09	GSE67186	mouse	in_vivo_colon_polyp	doxycycline_control_shRenilla	shRenilla	-0.4109226896038557	-1	-0.4109226896038557
M10	GSE67186	mouse	in_vivo_colon_polyp	doxycycline_control_shRenilla	shRenilla	-0.5298770340612563	-1	-0.5298770340612563
M02	GSE130822	mouse	colonic_stem_cells	ascl2_ko_vs_resting_wt	colonic_stem_cells	-0.9085816373761336	1	0.9085816373761336
M03	GSE130822	mouse	colonic_stem_cells	ascl2_ko_vs_resting_wt	colonic_stem_cells	-1.2440974190963343	1	1.2440974190963343
M04	GSE130822	mouse	colonic_stem_cells	ascl2_ko_vs_resting_wt	colonic_stem_cells	-0.7517771343436104	-1	-0.7517771343436104
M05	GSE130822	mouse	colonic_stem_cells	ascl2_ko_vs_resting_wt	colonic_stem_cells	-1.27135946131532	-1	-1.27135946131532
M06	GSE130822	mouse	colonic_stem_cells	ascl2_ko_vs_resting_wt	colonic_stem_cells	-1.4227581699492378	1	1.4227581699492378
M09	GSE130822	mouse	colonic_stem_cells	ascl2_ko_vs_resting_wt	colonic_stem_cells	-1.219836213822251	-1	-1.219836213822251
M10	GSE130822	mouse	colonic_stem_cells	ascl2_ko_vs_resting_wt	colonic_stem_cells	-1.1827935547155826	-1	-1.1827935547155826
M02	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	DLD1	0.14775361740121945	1	-0.14775361740121945
M02	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	HT29	-0.40255000835186494	1	0.40255000835186494
M02	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	L8	-0.03501693150632296	1	0.03501693150632296
M02	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	SIBC	-0.13654522366312571	1	0.13654522366312571
M03	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	DLD1	0.08096521305232277	1	-0.08096521305232277
