gene	pxd017269_protein_group_present	pxd017269_protein_accessions	pxd017269_n_samples	pxd017269_n_detected	pxd017269_detection_fraction	pxd017269_median_log2_intensity_detected	pxd017269_archival_group_kruskal_p	pxd017269_archival_group_kruskal_q_bh_candidates
TPT1	True	A0A0B4J2C3;P13693;Q5W0H4	118	118	1.0	15.3649101257324	0.0042897077610087484	0.061128335594374666
MT1G	True	P02795;P13640;P13640-2;P80297	118	79	0.6694915254237288	12.7842502593994	0.3996545850945432	0.5994818776418148
FCGRT	True	P55899	118	118	1.0	13.8406400680542	0.10367181777141508	0.3110154533142453
ATP5MC3	False		118	0	0.0			
AQP8	False		118	0	0.0			
MYL6	True	B7Z6Z4;F8W1R7;G3V1V0;G8JLA2;J3KND3;P60660;P60660-2	118	118	1.0	21.45739555358885	0.5421270727627976	0.7391844081349145
SRI	True	C9J0K6;P30626;P30626-2	118	118	1.0	20.60033988952635	0.036989535381371834	0.18519644665094548
ETHE1	True	O95571	118	118	1.0	19.5479297637939	0.9026242321453082	0.9026242321453082
CA2	True	P00918	118	118	1.0	16.48085498809815	0.8563934235575615	0.8875350025960184
SLC9A3-OT1	False		118	0	0.0			
DHRS11	True	Q6UWP2	118	114	0.9661016949152542	14.39351987838745	0.7650865964572648	0.872198719961282
BSG	True	P35613;P35613-2	118	118	1.0	17.48696517944335	0.05215266648536753	0.21233585640471067
B2M	True	H0YLF3	118	118	1.0	17.9693555831909	0.0008100570373273481	0.023086625563829424
C15orf48	False		118	0	0.0			
CHP2	False		118	0	0.0			
LGALS4	True	P56470	118	118	1.0	22.01066970825195	0.37185621043201245	0.5728595674222894
PCK1	True	P35558	118	60	0.5084745762711864	13.4097752571106	0.24950768095799958	0.4803468655377098
PHGR1	False		118	0	0.0			
LGALS3	True	P17931	118	118	1.0	21.35447025299075	0.33176439287684095	0.5403020112565695
FABP1	True	P07148	118	118	1.0	19.7333450317383	0.21448195004615386	0.45279522787521376
SOX9	True	P35713;P48436;P57073;Q9H6I2	118	44	0.3728813559322034	13.173350334167448	0.09298110886345032	0.2944401780675927
CTNNB1	True	B4DGU4;P35222	118	118	1.0	18.3420248031616	0.19111983705398292	0.45279522787521376
MKI67	True	P46013	118	115	0.9745762711864406	14.2136402130127	0.291969290535621	0.5007528614545492
KRT20	True	P35900	118	118	1.0	20.332350730896	0.9002988248204086	0.9026242321453082
