gene	panel_role	locked_signature_member	selected	discovery_effect_adenoma_minus_normal	bootstrap_ci_low	bootstrap_ci_high	direction_stability	expected_direction	protein_gene_present	n_normal	n_adenoma	normal_detection_fraction	adenoma_detection_fraction	median_log2_normal	median_log2_adenoma	adenoma_minus_normal_log2_median	standardized_mean_difference	auc_adenoma_greater_than_normal	mann_whitney_u	p_value	age_sex_adjusted_log2_effect	age_sex_adjusted_ci_low	age_sex_adjusted_ci_high	age_sex_adjusted_p	q_value_bh_candidates	age_sex_adjusted_q_bh_candidates	pxd017269_protein_group_present	pxd017269_protein_accessions	pxd017269_n_samples	pxd017269_n_detected	pxd017269_detection_fraction	pxd017269_median_log2_intensity_detected	pxd017269_archival_group_kruskal_p	pxd017269_archival_group_kruskal_q_bh_candidates	detected_in_nine_patient_dvp	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group	pxd002137_adjusted_direction_match	public_protein_evidence_tier
GDF15	locked_signature_candidate	True	True	0.40532106	0.2353492826223373	0.5925057128071785	1.0	1	True	2	6	0.25	0.375	9.235227900121377	12.010259120803106	2.775031220681729	1.4446721077298759	0.9166666666666666	11.0	0.14285714285714285					0.2653061224489796		True	Q99988	118	60	0.5084745762711864	14.896194934845	0.4533060502629819	0.662524227307435	False	False	False	False	False	C_incomplete_public_protein_support
SOX4	locked_signature_candidate	True	True	0.39757302	0.2365815501660108	0.5564755171537399	1.0	1	True	0	9	0.0	0.5625		8.776308279826507												False		118	0	0.0				False	False	False	False	False	C_incomplete_public_protein_support
REG1B	locked_signature_candidate	True	True	0.37338713	0.1105005390942096	0.7426046118140219	1.0	1	True	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_incomplete_public_protein_support
SDC3	locked_signature_candidate	True	True	0.34583938	0.1699488721787929	0.5445909917354583	1.0	1	True	1	12	0.125	0.75	9.19930373529442	10.109080897029873	0.9097771617354535		0.6666666666666666	8.0	0.7692307692307693					0.851063829787234		False		118	0	0.0				False	False	False	False	False	C_incomplete_public_protein_support
ZNF703	locked_signature_candidate	True	True	0.33392027	0.1548737928271293	0.4956987090408802	1.0	1	True	0	13	0.0	0.8125		10.56537648523606												True	Q9H7S9	118	118	1.0	13.80757522583005	0.6093629895617989	0.7449085908155471	True	False	False	False	False	C_incomplete_public_protein_support
SLC7A5	locked_signature_candidate	True	True	0.30587047	0.1293474365025758	0.4926627896726131	1.0	1	True	2	12	0.25	0.75	11.871261630917697	12.054979333464098	0.18371770254640118	0.2660982296737142	0.5416666666666666	13.0	0.9230769230769231					0.928439054701001		True	Q01650	118	32	0.2711864406779661	13.2308201789856	0.49209134995172354	0.7012301736812061	False	False	False	False	False	C_incomplete_public_protein_support
KRT6B	locked_signature_candidate	True	True	0.27151206	0.0151700794463977	0.8331370994448658	1.0	1	True	1	4	0.125	0.25	12.710167616960844	11.12113181804117	-1.5890357989196744		0.0	0.0	0.4					0.5073170731707317		True	P04259	118	118	1.0	20.50415992736815	0.614222873128609	0.7449085908155471	False	False	False	False	False	C_incomplete_public_protein_support
SLC40A1	locked_signature_candidate	True	True	0.26296604	0.0948762785643339	0.4792037531733512	1.0	1	True	0	9	0.0	0.5625		11.326154174640969												False		118	0	0.0				False	False	False	False	False	C_incomplete_public_protein_support
CYP4X1	locked_signature_candidate	True	True	0.25991496	0.1301064629107713	0.3928748153150081	1.0	1	True	0	15	0.0	0.9375		10.190042148560845												False		118	0	0.0				False	False	False	False	False	C_incomplete_public_protein_support
CPNE7	locked_signature_candidate	True	True	0.24887317	0.1118287470191717	0.4256462819874286	1.0	1	True	0	5	0.0	0.3125		8.559161138195893												False		118	0	0.0				False	False	False	False	False	C_incomplete_public_protein_support
