collection	gene_set	description	discovery_common_direction	discovery_common_p	discovery_common_fdr	heldout_common_direction	heldout_common_p	heldout_common_fdr	n_state_direction_match	opposite_supported_state	replicated	fgsea_nes	fgsea_p_value	fgsea_fdr	leading_edge	leading_edge_size	community_id	community_label	collection_label	discovery_signed_evidence	heldout_signed_evidence	minimum_evidence
Reactome 2026.1.Hs	REACTOME_BIOLOGICAL_OXIDATIONS	Biological oxidations	Down	0.000278680671397758	0.00838430705662397	Down	0.00209897795415123	0.068550967762323	6	FALSE	TRUE	-2.13210959369839	9.18845913195522e-07	2.2971147829888e-06	UGT2A3;MAOA;MGST1;UGDH;MGST2;MGST3;UGP2;GGCT;CYP2J2;MAT2B;ACSS2;SULT1B1;ADH5;BPNT2;GSTM4;ADH1C;CYB5B;ALDH2;FDX1;SLC35D1;GSTK1;AKR7A2;UGT2B17;NAT1;ALDH1A1;CMBL;CNDP2;BPNT1;CES2;GSS;GSTO1	31	9	REACTOME_BIOLOGICAL_OXIDATIONS	Reactome	-2.07653282499829	-1.16398640971663	1.16398640971663
Reactome 2026.1.Hs	REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	Budding and maturation of HIV virion	Down	0.0018390950669372	0.0312349533142721	Down	0.00430181898311907	0.0992419635175377	6	FALSE	TRUE	-1.83658678488519	0.00190330829179311	0.00216285033158308	CHMP5;RPS27A;UBB;PPIA;PDCD6IP;CHMP4B;VPS4B;CHMP2B;TSG101;VTA1;CHMP3;CHMP2A;UBA52;MVB12B	14	10	REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	Reactome	-1.50535913884135	-1.00330465173159	1.00330465173159
Reactome 2026.1.Hs	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	Citric acid cycle (TCA cycle)	Down	0.000228232414484221	0.00724468146651704	Down	0.000251845622415707	0.019217758264337	6	FALSE	TRUE	-2.18922391722108	1.05437781308088e-05	2.39631321154746e-05	SDHD;FH;SUCLG1;DLD;ACAT1;SDHAF3;CS;SDHC;ISCA2;ISCA1;ISCU;SUCLG2;KGD4;SDHB;NFS1;SDHA;NNT;DLST;IDH3A	19	11	GOBP_TRICARBOXYLIC_ACID_CYCLE	Reactome	-2.13998070479255	-1.71629727380636	1.71629727380636
Reactome 2026.1.Hs	REACTOME_COMPLEX_I_BIOGENESIS	Complex I biogenesis	Down	2.64757090546783e-07	1.39394608172881e-05	Down	1.11335246950372e-05	0.0018252474711664	6	FALSE	TRUE	-2.56607230803806	1.50323784621462e-10	7.51618923107309e-10	NDUFAB1;NDUFA12;NDUFB5;NDUFA6;NDUFB6;NDUFA1;NDUFA5;NDUFC1;TMEM126B;NDUFB3;NDUFB9;NDUFB4;HSPA9;NDUFC2;NDUFS3;NDUFAF4;NDUFS1;NDUFS2;NDUFS4;NDUFB1;NDUFA8;OXA1L;NDUFB2;NDUFAF3;TMEM126A;NDUFA3;NDUFS5;NDUFA10;NDUFA2;TIMMDC1;LYRM2;NDUFB8;NDUFB11;NDUFB10;NDUFB7;NDUFAF5;NDUFS6;NDUFV1;DMAC1;NDUFS8	40	12	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	Reactome	-4.85575402455976	-2.73867824459063	2.73867824459063
Reactome 2026.1.Hs	REACTOME_COMPLEX_IV_ASSEMBLY	Complex IV assembly	Down	4.18528606018034e-08	2.75444138835619e-06	Down	5.46541182368732e-06	0.00108433770581956	6	FALSE	TRUE	-2.39892325073862	1.13092321087143e-07	3.5341350339732e-07	COX5A;COX16;COX6C;COX7C;COX6A1;SCO1;HIGD1A;COA3;COX4I1;COX18;COX7A2L;COX8A;COX5B;HIGD2A;COX7A2;SMIM20;COX7B;TIMM21;COX11;COX6B1;NDUFA4;MT-CO1;COA5;COQ10B;PNKD;COX15;COX14;TACO1	28	13	REACTOME_COMPLEX_IV_ASSEMBLY	Reactome	-5.55996646452657	-2.96483544018406	2.96483544018406
Reactome 2026.1.Hs	REACTOME_CRISTAE_FORMATION	Cristae formation	Down	6.98521003680475e-07	3.19801137771974e-05	Down	1.28797704618596e-05	0.0018252474711664	6	FALSE	TRUE	-2.48425373045963	1.56246410339976e-08	6.51026709749901e-08	ATP5MC3;ATP5PO;ATP5F1C;ATP5PD;ATP5PF;ATP5F1A;ATP5F1B;ATP5PB;ATP5MC1;ATP5MG;ATP5MK;ATP5F1E;HSPA9;APOO;IMMT;APOOL;ATP5MF	17	14	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	Reactome	-4.49511999547655	-2.73867824459063	2.73867824459063
Reactome 2026.1.Hs	REACTOME_DENGUE_VIRUS_GENOME_TRANSLATION_AND_REPLICATION	Dengue Virus Genome Translation and Replication	Down	0.000310066396172116	0.0090694420880344	Down	0.000727430595677826	0.0424477147595531	6	FALSE	TRUE	-2.19241416487395	6.13467491398114e-07	1.70407636499476e-06	HSPA1A;SPCS2;SPCS1;HSPA1B;NACA;DPM1;HNRNPD;OSTC;PABPC1;YBX1;SUMO1;EIF4A2;SEC11A;BTF3;ACOT2;DAD1;RPS27A;RPN1;EIF4G2;HSPA5;UBB;DNAJA2;EIF4A3;HSPA8;CANX;MAP1LC3B	26	15	REACTOME_DENGUE_VIRUS_GENOME_TRANSLATION_AND_REPLICATION	Reactome	-2.04241942799398	-1.372145685727	1.372145685727
Reactome 2026.1.Hs	REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	Endosomal Sorting Complex Required For Transport (ESCRT)	Down	0.00220323829110369	0.0362501550083154	Down	0.00318543110687737	0.0811543461754849	6	FALSE	TRUE	-1.7064313283674	0.00436315983680963	0.00474256504001046	CHMP5;RPS27A;VPS25;UBB;CHMP4B;VPS36;VPS4B;CHMP2B;TSG101;VTA1;SNF8;CHMP3;CHMP2A;UBA52;MVB12B;STAM2	16	10	REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	Reactome	-1.44069013201403	-1.09068821681758	1.09068821681758
Reactome 2026.1.Hs	REACTOME_FATTY_ACID_METABOLISM	Fatty acid metabolism	Down	0.00106311137794765	0.0238182187442315	Down	0.000428991583310928	0.0303971179031743	6	FALSE	TRUE	-1.88249199234065	3.61999498186399e-05	6.03332496977332e-05	HPGD;CPT1A;NDUFAB1;HADHA;SCP2;SLC22A5;HADH;DBI;ACSF2;ACAA2;ACADM;CYP2J2;PHYH;PRXL2B;ECI2;PTGR1;EHHADH;ACOT2;MMUT;CBR1;PCTP;ECHS1;DECR1;EPHX2;HADHB;AKR1C3;HSD17B4;SLC25A20;PON2;ACADS;HACD2;ELOVL6;ACOT7;ECI1;LTA4H;ALDH3A2;ACOX1	37	16	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	Reactome	-1.62309072053909	-1.51716759198614	1.51716759198614
Reactome 2026.1.Hs	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	Formation of ATP by chemiosmotic coupling	Down	4.636949205353e-07	2.325098815827e-05	Down	1.87636647439628e-06	0.000465338885650278	6	FALSE	TRUE	-2.43151087407732	5.9592774134535e-08	2.12831336194768e-07	ATP5MC3;ATP5PO;ATP5F1C;ATP5PD;ATP5PF;ATP5F1A;ATP5F1B;ATP5PB;ATP5MC1;ATP5MG;ATP5MK;ATP5F1E	12	14	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	Reactome	-4.63355858502932	-3.33223065449937	3.33223065449937
Reactome 2026.1.Hs	REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	Down	7.29366939754608e-05	0.00247749479858581	Down	0.000565847421704722	0.0350825401456928	6	FALSE	TRUE	-2.02767052158932	0.000122556806625918	0.000170217786980442	PDCD4;CFL1;ARF1;CDC42;CA1;HSPA9;HNRNPF;HNRNPA2B1;TCP1;PPIA;SOD2;CAPZA1;RAP1B;GSTO1;RPLP0	15	17	REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION	Reactome	-2.60598724862789	-1.45490896914525	1.45490896914525
Reactome 2026.1.Hs	REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	Down	0.00116053842008759	0.0244409391270446	Down	0.00207021083821889	0.068550967762323	6	FALSE	TRUE	-2.10159524715105	4.46113778130377e-05	6.97052778328715e-05	HSPA1A;DYNLL1;HSPA1B;ACTR10;DYNLL2;FKBP5;FKBP4;DCTN2;DCTN6;DNAJA2;HSPA8;DNAJA1;CAPZA1;DYNC1I2	14	18	REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND	Reactome	-1.61188211062845	-1.16398640971663	1.16398640971663
Reactome 2026.1.Hs	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	Mitochondrial Fatty Acid Beta-Oxidation	Down	0.000618741316309273	0.0158910879530162	Down	3.74104729585252e-05	0.00406667003876816	6	FALSE	TRUE	-1.96051109610761	0.00065104136726955	0.000813801709086937	NDUFAB1;HADHA;HADH;DBI;ACSF2;ACAA2;ACADM;ACOT2;MMUT;PCTP;ECHS1;DECR1;HADHB	13	16	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	Reactome	-1.7988463686317	-2.39076106392578	1.7988463686317
Reactome 2026.1.Hs	REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	Mitochondrial protein degradation	Down	9.53441627582204e-09	7.72287718341586e-07	Down	5.0485200421582e-09	1.66937729394031e-06	6	FALSE	TRUE	-2.7996418755139	2.94085280997901e-16	2.45071067498251e-15	COX5A;ATP5PO;FH;ATP5F1C;ATP5PD;SLC25A5;ATP5PF;ATP5F1A;HMGCS2;ATP5F1B;DLD;HADH;ACAT1;ECH1;ATP5MG;NDUFB6;UQCRC2;CS;CHCHD2;COX4I1;HSPA9;NDUFS3;YME1L1;PDHA1;IARS2;NDUFS1;COX5B;STARD7;SUCLG2;ACOT2;SMDT1;ME2;TFAM;TIMM17A;HSPD1;ALDH2;UQCRQ;ALDH18A1;PDHB;APP;ACADSB;MRPL32;NDUFA2;ACAD8;SLC25A6	45	19	REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	Reactome	-6.1122208716732	-5.77744549785735	5.77744549785735
Reactome 2026.1.Hs	REACTOME_NEUTROPHIL_DEGRANULATION	Neutrophil degranulation	Down	0.00387032198491943	0.0473889424432576	Down	0.0022113215407201	0.068550967762323	6	FALSE	TRUE	-1.66296312362381	2.8483066988948e-05	5.08626196231214e-05	LGALS3;HSPA1A;STBD1;PRDX6;IDH1;PGM1;LAMTOR3;MGST1;DYNLL1;RHOA;HSPA1B;PGRMC1;SRP14;B2M;PSMD6;PADI2;CAT;FUCA1;RAB27A;DYNLT1;ATP6AP2;ACTR10;RAP1A;COTL1;PGM2;NDUFC2;PTPRN2;ATP6V1D;DERA;ADGRE3;PSMA5;ARPC5;TMT1A;CPNE3;GGH;GCA;NRAS;CD59;HLA-C;HMGB1;SDCBP;CYSTM1;HEBP2;PRCP;LAMP2;VAPA;FRK;PRDX4;HSPA8;CCT8;PPIA;PLAC8;SURF4;FUCA2;CSNK2B;NPC2;SVIP;PSMB7;VAMP8;CMTM6;HLA-B;MAPK1;NIT2;DSP;RAP1B;SNAP23;CTSS;PSMC2;IQGAP2;RAP2B;PGAM1;CREG1;RAB5C;NME2;ANPEP;TRAPPC1;COMMD3;DNAJC13;ASAH1;ALAD;PSMD14;EEF1A1;CAP1;IST1;XRCC6;ACTR2;TMEM30A;CYFIP1;ALDOA;DNAJC3;PSMD11;DDX3X;LTA4H;RAB5B;PIGR	95	20	REACTOME_NEUTROPHIL_DEGRANULATION	Reactome	-1.32432298313817	-1.16398640971663	1.16398640971663
Reactome 2026.1.Hs	REACTOME_PEROXISOMAL_PROTEIN_IMPORT	Peroxisomal protein import	Down	0.000530318745979649	0.0143186061414505	Down	4.09946576488725e-05	0.00406667003876816	6	FALSE	TRUE	-1.96024352989227	8.34734719848072e-05	0.000122755105860011	IDH1;SCP2;ECH1;CAT;PHYH;ECI2;PEX2;EHHADH;ACOT2;RPS27A;EPHX2;UBB;UBE2D1;HSD17B4;ZFAND6;UBE2D3;GSTK1;AGPS	18	21	REACTOME_PROTEIN_LOCALIZATION	Reactome	-1.84409925678651	-2.39076106392578	1.84409925678651
Reactome 2026.1.Hs	REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY	PINK1-PRKN Mediated Mitophagy	Down	0.000955499365015958	0.0223586851413734	Down	0.00327235266836633	0.0811543461754849	6	FALSE	TRUE	-1.87583478394022	0.0014942345562466	0.00177885066219833	VDAC2;MFN2;TOMM22;UBE2N;RPS27A;UBB;TOMM40;MAP1LC3B;VDAC3;TOMM20;UBE2D3;VDAC1;TOMM7;OPTN;MFN1;TOMM70;ATG12;UBA52;ATG5	19	22	REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY	Reactome	-1.65055373981228	-1.09068821681758	1.09068821681758
Reactome 2026.1.Hs	REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	PKMTs methylate histone lysines	Up	0.00361423732806489	0.0463510508944888	Up	0.00186456347485902	0.0660588202521482	6	FALSE	TRUE	1.74396636279503	0.00544636488523298	0.00567329675545103	NSD1;SMYD3;SETDB1;RELA;MECOM;KMT2D;ASH1L;ATF7IP;KMT2B;EHMT1;KMT2A;AEBP2;DOT1L;SETD2	14	23	REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	Reactome	1.33394041486353	1.18006918666273	1.18006918666273
