rank	enrichment_score	hit	pathway
255	-0.0317203632292574	FALSE	Oxidative Phosphorylation
256	-0.0318447568105486	FALSE	Oxidative Phosphorylation
257	-0.0319691503918398	FALSE	Oxidative Phosphorylation
258	-0.032093543973131	FALSE	Oxidative Phosphorylation
259	-0.0322179375544222	FALSE	Oxidative Phosphorylation
260	-0.0323423311357134	FALSE	Oxidative Phosphorylation
261	-0.0324667247170046	FALSE	Oxidative Phosphorylation
262	-0.0325911182982958	FALSE	Oxidative Phosphorylation
263	-0.032715511879587	FALSE	Oxidative Phosphorylation
264	-0.0328399054608782	FALSE	Oxidative Phosphorylation
265	-0.0329642990421694	FALSE	Oxidative Phosphorylation
266	-0.0330886926234606	FALSE	Oxidative Phosphorylation
267	-0.0332130862047518	FALSE	Oxidative Phosphorylation
268	-0.033337479786043	FALSE	Oxidative Phosphorylation
269	-0.0334618733673342	FALSE	Oxidative Phosphorylation
270	-0.0335862669486255	FALSE	Oxidative Phosphorylation
271	-0.0337106605299167	FALSE	Oxidative Phosphorylation
272	-0.0338350541112079	FALSE	Oxidative Phosphorylation
273	-0.0339594476924991	FALSE	Oxidative Phosphorylation
274	-0.0340838412737903	FALSE	Oxidative Phosphorylation
275	-0.0342082348550815	FALSE	Oxidative Phosphorylation
276	-0.0343326284363727	FALSE	Oxidative Phosphorylation
277	-0.0344570220176639	FALSE	Oxidative Phosphorylation
278	-0.0345814155989551	FALSE	Oxidative Phosphorylation
279	-0.0347058091802463	FALSE	Oxidative Phosphorylation
280	-0.0348302027615375	FALSE	Oxidative Phosphorylation
281	-0.0349545963428287	FALSE	Oxidative Phosphorylation
282	-0.0350789899241199	FALSE	Oxidative Phosphorylation
283	-0.0352033835054111	FALSE	Oxidative Phosphorylation
284	-0.0353277770867023	FALSE	Oxidative Phosphorylation
285	-0.0354521706679935	FALSE	Oxidative Phosphorylation
286	-0.0355765642492847	FALSE	Oxidative Phosphorylation
287	-0.0357009578305759	FALSE	Oxidative Phosphorylation
288	-0.0358253514118671	FALSE	Oxidative Phosphorylation
289	-0.0359497449931584	FALSE	Oxidative Phosphorylation
290	-0.0360741385744496	FALSE	Oxidative Phosphorylation
291	-0.0361985321557408	FALSE	Oxidative Phosphorylation
292	-0.036322925737032	FALSE	Oxidative Phosphorylation
293	-0.0364473193183232	FALSE	Oxidative Phosphorylation
294	-0.0365717128996144	FALSE	Oxidative Phosphorylation
295	-0.0366961064809056	FALSE	Oxidative Phosphorylation
296	-0.0368205000621968	FALSE	Oxidative Phosphorylation
297	-0.036944893643488	FALSE	Oxidative Phosphorylation
298	-0.0370692872247792	FALSE	Oxidative Phosphorylation
299	-0.0371936808060704	FALSE	Oxidative Phosphorylation
300	-0.0373180743873616	FALSE	Oxidative Phosphorylation
301	-0.0374424679686528	FALSE	Oxidative Phosphorylation
302	-0.037566861549944	FALSE	Oxidative Phosphorylation
