dataset	cell_type	cell_type_label	transformation	n_specimens	n_donors	n_donors_adenoma	n_donors_normal	mean_proportion_adenoma	mean_proportion_normal	absolute_proportion_difference	coefficient	standard_error	ci_low	ci_high	p_value	q_value
validation	SSC	Abnormal	arcsine_sqrt	46	24	13	19	0.007742843982345347	0.0003421168520136384	0.007400727130331708	0.05672586945415836	0.014774635052675013	0.02776811686619229	0.08568362204212443	0.0001233307399378199	0.00022199533188807578
validation	STM	Crypt stem	arcsine_sqrt	46	24	13	19	0.023785505234553604	0.06999830214741343	-0.04621279691285982	-0.11606664872148521	0.028364261423208942	-0.17165957955905356	-0.060473717883916873	4.2766273502713556e-05	9.62241153811055e-05
validation	TAC	Transit-amplifying	arcsine_sqrt	46	24	13	19	0.08769924402872661	0.13495243794011252	-0.04725319391138591	-0.06376127709943427	0.03274056400564592	-0.12793160338402873	0.0004090491851601874	0.05147837307150406	0.057913169705442066
validation	TUF	Tuft	arcsine_sqrt	46	24	13	19	0.009013505381563579	0.013506645803986635	-0.004493140422423056	-0.03447163401463878	0.01752348434902957	-0.06881703222238805	-0.00012623580688950198	0.04916386983627519	0.057913169705442066
validation	ABS	Absorptive	empirical_logit	46	24	13	19	0.3347348236629174	0.6013080846294603	-0.2665732609665429	-1.4865217098808154	0.34679408979343584	-2.166225635927299	-0.8068177838343317	1.8153647645529722e-05	4.2369332757051785e-05
validation	ASC	Neoplastic	empirical_logit	46	24	13	19	0.3473595335279812	0.004905847557856509	0.3424536859701247	4.419508022054748	0.6008473922059182	3.2418687731263356	5.59714727098316	1.902729515608642e-13	1.712456564047778e-12
validation	CT	Other colonic epithelium	empirical_logit	46	24	13	19	0.013799128826693614	0.03554703029081891	-0.021747901464125297	-2.1314317474030284	0.4981934824544873	-3.107873030346411	-1.154990464459646	1.8830814558689682e-05	4.2369332757051785e-05
validation	EE	Enteroendocrine	empirical_logit	46	24	13	19	0.0060997999835849205	0.010141755658123008	-0.0040419556745380876	-1.0406364515991884	0.46403344053498735	-1.9501252826699724	-0.13114762052840434	0.024923307674110443	0.03738496151116567
validation	GOB	Goblet	empirical_logit	46	24	13	19	0.16976561537163365	0.1292977791202151	0.04046783625141856	0.06828444371948116	0.33381399594913574	-0.5859789658762243	0.7225478533151867	0.8379171909024485	0.8379171909024485
validation	SSC	Abnormal	empirical_logit	46	24	13	19	0.007742843982345347	0.0003421168520136384	0.007400727130331708	1.9053516393512426	0.3927999364192338	1.1354779108399213	2.6752253678625637	1.2303126576304061e-06	5.536406959336827e-06
validation	STM	Crypt stem	empirical_logit	46	24	13	19	0.023785505234553604	0.06999830214741343	-0.04621279691285982	-1.284487361110929	0.3456005172600286	-1.9618519279789983	-0.6071227942428598	0.0002018559250952988	0.0003633406651715379
validation	TAC	Transit-amplifying	empirical_logit	46	24	13	19	0.08769924402872661	0.13495243794011252	-0.04725319391138591	-0.3940538267648447	0.2643030913470086	-0.9120783668075815	0.12397071327789211	0.13598343184052125	0.15298136082058642
validation	TUF	Tuft	empirical_logit	46	24	13	19	0.009013505381563579	0.013506645803986635	-0.004493140422423056	-0.5782105607348569	0.3335873931971081	-1.2320298370977907	0.07560871562807692	0.08304047982401888	0.10676633120230998
