dataset	score	min_cells_per_specimen_state	primary_threshold	comparison	group_a	group_b	cell_type	cell_type_label	n_donors_a	n_donors_b	mean_a	mean_b	effect_a_minus_b	bootstrap_ci_low	bootstrap_ci_high	bootstrap_p_directional	n_paired_donors	paired_median_difference	paired_wilcoxon_p	paired_wilcoxon_q
discovery	proliferation_control	20	True	conventional_vs_normal	conventional_adenoma	normal	ABS	Absorptive	14	24	-0.15972757848243369	-0.14750292028038692	-0.012224658202046768	-0.03733538165609843	0.017667261304106008	0.3716	11	-0.018681248173730264	0.0419921875	0.15625
discovery	proliferation_control	20	True	conventional_vs_normal	conventional_adenoma	normal	ASC	Neoplastic	11	8	-0.001104388825196081	-0.050330212359299506	0.04922582353410342	-0.03354778289763675	0.14070256261128897	0.2604	5	0.05833896885592603	0.4375	0.5833333333333334
discovery	proliferation_control	20	True	conventional_vs_normal	conventional_adenoma	normal	CT	Other colonic epithelium	4	12	-0.19420290152690864	-0.12612762050076523	-0.06807528102614341	-0.10904025356388673	-0.01699596995988034	0.012900624874017335	1			
discovery	proliferation_control	20	True	conventional_vs_normal	conventional_adenoma	normal	GOB	Goblet	11	23	-0.11646393195458594	-0.1566416611381207	0.04017772918353475	0.016246970528322826	0.06781925606718245	0.0004	8	0.009677703288768207	0.7421875	0.7421875
discovery	proliferation_control	20	True	conventional_vs_normal	conventional_adenoma	normal	SSC	Abnormal	2	1	-0.04142786507895753	-0.24438014513099338	0.20295228005203586	0.10900118968764136	0.29690337041643033	0.0	0			
discovery	proliferation_control	20	True	conventional_vs_normal	conventional_adenoma	normal	STM	Crypt stem	4	12	-0.06072365732895802	0.06532717731851902	-0.12605083464747704	-0.206734879421054	-0.050451752630285764	0.0004048582995951417	1			
discovery	proliferation_control	20	True	conventional_vs_normal	conventional_adenoma	normal	TAC	Transit-amplifying	11	21	1.366057664764018	1.3481710988694795	0.01788656589453841	-0.14509010267888803	0.1996841489362295	0.894	7	-0.07967943808720968	0.078125	0.15625
discovery	proliferation_control	20	True	conventional_vs_normal	conventional_adenoma	normal	TUF	Tuft	2	7	-0.17361820638090614	-0.06326332091069788	-0.11035488547020826	-0.21406157654195998	-0.016543000468002132	0.012860310421286032	1			
discovery	proliferation_control	20	True	conventional_vs_serrated	conventional_adenoma	serrated	ABS	Absorptive	14	11	-0.15972757848243369	-0.15525097033442936	-0.004476608148004324	-0.048252458446217165	0.03422970232889904	0.8676	0			
discovery	proliferation_control	20	True	conventional_vs_serrated	conventional_adenoma	serrated	ASC	Neoplastic	11	6	-0.001104388825196081	-0.025717344837664104	0.024612956012468025	-0.033671195710710235	0.09228706970673016	0.47619047619047616	0			
discovery	proliferation_control	20	True	conventional_vs_serrated	conventional_adenoma	serrated	CT	Other colonic epithelium	4	4	-0.19420290152690864	-0.169225183781322	-0.02497771774558663	-0.09853974982957628	0.030318464658181006	0.4674747474747475	0			
discovery	proliferation_control	20	True	conventional_vs_serrated	conventional_adenoma	serrated	GOB	Goblet	11	7	-0.11646393195458594	-0.14860401477337332	0.03214008281878737	0.006180069394260194	0.0603512274220552	0.018	0			
discovery	proliferation_control	20	True	conventional_vs_serrated	conventional_adenoma	serrated	SSC	Abnormal	2	7	-0.04142786507895753	-0.13133007811274194	0.08990221303378441	-0.038186675603656406	0.21551442434610465	0.3184457347029924	0			
discovery	proliferation_control	20	True	conventional_vs_serrated	conventional_adenoma	serrated	STM	Crypt stem	4	1	-0.06072365732895802	0.08050490099068555	-0.14122855831964357	-0.17920093869279874	-0.10228882989191015	0.0	0			
discovery	proliferation_control	20	True	conventional_vs_serrated	conventional_adenoma	serrated	TAC	Transit-amplifying	11	9	1.366057664764018	1.3092746954720842	0.056782969291933716	-0.14776182447122693	0.2707112862451493	0.5772	0			
discovery	proliferation_control	20	True	conventional_vs_serrated	conventional_adenoma	serrated	TUF	Tuft	2	1	-0.17361820638090614	-0.2064745361671797	0.032856329786273564	-0.026842666979660257	0.0925553265522074	0.6594594594594595	0			
discovery	proliferation_control	50	False	conventional_vs_normal	conventional_adenoma	normal	ABS	Absorptive	13	24	-0.16277207743371552	-0.14563586927379993	-0.017136208159915595	-0.04229724160423476	0.0130791049089014	0.2284	10	-0.023251438975911615	0.00390625	0.01171875
discovery	proliferation_control	50	False	conventional_vs_normal	conventional_adenoma	normal	ASC	Neoplastic	10	2	0.0014082452733876801	0.021207596974408896	-0.019799351701021217	-0.11874338883598681	0.09186535072336167	0.7483115713642503	1			
discovery	proliferation_control	50	False	conventional_vs_normal	conventional_adenoma	normal	CT	Other colonic epithelium	1	2	-0.20759933393252492	-0.09086665179527792	-0.116732682137247	-0.13497185100448922	-0.0984935132700048	0.0	0			
discovery	proliferation_control	50	False	conventional_vs_normal	conventional_adenoma	normal	GOB	Goblet	9	19	-0.11784820878819313	-0.14834703309798006	0.030498824309786926	0.004483310329010191	0.061112647907795435	0.0212	7	0.01390406965315362	0.578125	0.578125
discovery	proliferation_control	50	False	conventional_vs_normal	conventional_adenoma	normal	STM	Crypt stem	2	9	-0.029881441108804172	0.07707316126202565	-0.10695460237082982	-0.19089154562098287	-0.03205980814379853	0.001786511835640911	1			
discovery	proliferation_control	50	False	conventional_vs_normal	conventional_adenoma	normal	TAC	Transit-amplifying	11	17	1.366057664764018	1.3517688967241266	0.01428876803989132	-0.14186247623283255	0.19496487072166438	0.8956	7	-0.07967943808720968	0.078125	0.1171875
discovery	proliferation_control	50	False	conventional_vs_serrated	conventional_adenoma	serrated	ABS	Absorptive	13	10	-0.16277207743371552	-0.1653569461843037	0.002584868750588165	-0.04005958385144803	0.03888650336523932	0.8756	0			
discovery	proliferation_control	50	False	conventional_vs_serrated	conventional_adenoma	serrated	ASC	Neoplastic	10	2	0.0014082452733876801	-0.036027249232228616	0.0374354945056163	-0.02678504889867719	0.11186324818814206	0.3013140009062075	0			
discovery	proliferation_control	50	False	conventional_vs_serrated	conventional_adenoma	serrated	CT	Other colonic epithelium	1	1	-0.20759933393252492	-0.2019173437445255	-0.0056819901879994195	-0.0056819901879994195	-0.0056819901879994195	0.0	0			
discovery	proliferation_control	50	False	conventional_vs_serrated	conventional_adenoma	serrated	GOB	Goblet	9	6	-0.11784820878819313	-0.1541685287481301	0.03632031995993698	0.007278965101554642	0.06943393900845568	0.00840504302581549	0			
discovery	proliferation_control	50	False	conventional_vs_serrated	conventional_adenoma	serrated	STM	Crypt stem	2	1	-0.029881441108804172	0.08050490099068555	-0.11038634209948972	-0.1346143383700304	-0.08615834582894906	0.0	0			
discovery	proliferation_control	50	False	conventional_vs_serrated	conventional_adenoma	serrated	TAC	Transit-amplifying	11	5	1.366057664764018	1.3031890040010776	0.06286866076294029	-0.1958258934919943	0.3213271391203367	0.6662655435218612	0			
discovery	signature_12	10	False	conventional_vs_normal	conventional_adenoma	normal	ABS	Absorptive	14	24	-0.05835387652695052	-0.5302340755846096	0.47188019905765904	0.29553600118601797	0.6339421059320066	0.0	11	0.5374649499408677	0.0068359375	0.015625
discovery	signature_12	10	False	conventional_vs_normal	conventional_adenoma	normal	ASC	Neoplastic	11	11	1.2911746297053115	0.7172813992492985	0.573893230456013	0.32475499843636496	0.8209504162448693	0.0	6	0.7661107301004265	0.03125	0.046875
discovery	signature_12	10	False	conventional_vs_normal	conventional_adenoma	normal	CT	Other colonic epithelium	6	21	0.1421696201164877	-0.2010699202236211	0.34323954034010884	0.13666914715239414	0.5251657511087604	0.005604483586869495	3	0.26362503780420526	0.25	0.25
