dataset	score	state_set	comparison	cell_type	cell_type_label	proportion_a	proportion_b	mean_score_a	mean_score_b	composition_contribution	composition_ci_low	composition_ci_high	within_state_contribution	within_state_ci_low	within_state_ci_high
validation	core_287	canonical_states	conventional_vs_normal	GOB	Goblet	0.3074708166596557	0.1300470708062152	0.42291642322096945	0.03572149228114161	0.04068662847939914	0.014380011456451049	0.07429108921152347	0.08470235411114362	0.05344031142237184	0.11411311886318617
validation	core_287	canonical_states	conventional_vs_normal	TAC	Transit-amplifying	0.15039645003986635	0.13566582339626732	0.43790778936636016	0.02922198499158795	0.003440557150087797	-0.004963667802626766	0.012794334263863808	0.058454795160261155	0.0385357374676479	0.07856763582383658
validation	core_287	canonical_states	conventional_vs_normal	STM	Crypt stem	0.032958149070736846	0.07029773477124994	0.29917188137334905	0.06947817745518736	-0.006882620232563664	-0.013589565442212377	-0.00213769715717712	0.011858613205504704	0.004664400315078538	0.02091914425803065
validation	core_287	canonical_states	conventional_vs_normal	CT	Other colonic epithelium	0.014379257710483583	0.03571238849808887	-0.11722255079576627	-0.10961292561773739	0.0024195554427990144	0.0004428511372252569	0.004193781945690893	-0.00019058932609883388	-0.00368883400399763	0.0028599889088901003
validation	core_287	canonical_states	conventional_vs_normal	TUF	Tuft	0.016282052259192208	0.013582150907928426	0.7681977212168094	0.19732256759943295	0.0013034047662237847	-0.0038040183331775426	0.007356288016543633	0.008524365785345265	0.003905130559157643	0.013986184647773112
validation	core_287	canonical_states	conventional_vs_normal	EE	Enteroendocrine	0.009484844129104664	0.010219628240162395	0.47447575713604445	0.2342942857135127	-0.00026039648293978097	-0.002547414911102701	0.003034168130362751	0.002366324583627591	0.00032900491703815763	0.00492758557088036
validation	core_287	canonical_states	conventional_vs_serrated	ABS	Absorptive	0.4690284301309608	0.6652561362549957	0.15873235164335892	-0.10434067330540032	-0.005336577136246986	-0.03766484879615758	0.00879670823106468	0.14919983601592263	0.056889211505219445	0.24050812660859497
validation	core_287	canonical_states	conventional_vs_serrated	GOB	Goblet	0.3074708166596557	0.13965024243302981	0.4229164232209695	0.12422421076808873	0.045910727689381946	0.011970433711692288	0.09039740781028176	0.06677578918733475	0.03688621519331546	0.09738931320593872
validation	core_287	canonical_states	conventional_vs_serrated	TAC	Transit-amplifying	0.15039645003986635	0.08972741354179674	0.43790778936636016	0.10509778991391662	0.016471812654005272	0.0038037776456436474	0.030204092332503648	0.039957811453565965	0.024833539462193247	0.05516822858619006
validation	core_287	canonical_states	conventional_vs_serrated	STM	Crypt stem	0.03295814907073685	0.04501234080666019	0.299171881373349	0.1517872063320107	-0.0027179736541287367	-0.007557973698438613	0.002012167277639089	0.00574582765669706	0.0003002423595888296	0.011571033732913558
validation	core_287	canonical_states	conventional_vs_serrated	CT	Other colonic epithelium	0.014379257710483583	0.021321749679778252	-0.11722255079576627	-0.00970133360139429	0.0004405840240694861	-0.0007663018749964162	0.0014885197508167035	-0.001919307884833111	-0.0047433552125592205	0.0006616321924606812
