experiment	gene	pair_number_within_experiment	pair_id	normal_channel	adenoma_channel	normal_log2_ratio_vs_114	adenoma_log2_ratio_vs_114	adenoma_minus_normal_log2	n_unique_peptides_normal	n_unique_peptides_adenoma	passes_author_batch_qc
4	DHRS11	1	Exp04_Pair1	115	116	0.5200450240398176	-0.6873348264416057	-1.2073798504814233	5	5	False
4	DHRS11	2	Exp04_Pair2	117	118	-0.4150374992788438	-1.627998697130871	-1.2129611978520272	5	4	False
4	DHRS11	3	Exp04_Pair3	119	121	1.2876645164663354	0.259423152281415	-1.0282413641849204	5	5	False
4	EPCAM	1	Exp04_Pair1	115	116	0.8812696598053174	-0.29492498235874587	-1.1761946421640632	7	7	False
4	EPCAM	2	Exp04_Pair2	117	118	-0.12816410587281218	-0.33097323449036925	-0.20280912861755707	7	7	False
4	EPCAM	3	Exp04_Pair3	119	121	0.7149461462494848	0.8108273910109985	0.09588124476151372	7	7	False
4	ETHE1	1	Exp04_Pair1	115	116	0.10898136849582221	-0.9704337342182601	-1.0794151027140824	12	12	False
4	ETHE1	2	Exp04_Pair2	117	118	-0.5332944003070539	-1.331728628086462	-0.7984342277794081	12	12	False
4	ETHE1	3	Exp04_Pair3	119	121	0.6164886681572739	0.2908147539321913	-0.3256739142250826	12	12	False
4	FABP1	1	Exp04_Pair1	115	116	0.7984313240604217	-0.7015324288063839	-1.4999637528668055	9	9	False
4	FABP1	2	Exp04_Pair2	117	118	0.12829340100981756	-1.1393232955846095	-1.267616696594427	9	9	False
4	FABP1	3	Exp04_Pair3	119	121	1.3015876466031866	1.0253358208071766	-0.27625182579601004	9	9	False
4	FCGRT	1	Exp04_Pair1	115	116	-1.6360441280373323	-2.0885753854529936	-0.45253125741566125	1	1	False
4	FCGRT	2	Exp04_Pair2	117	118	-2.269675892237566	-2.6305668047108677	-0.36089091247330174	1	1	False
4	FCGRT	3	Exp04_Pair3	119	121	0.2554566612077093	-0.6409632241999583	-0.8964198854076677	1	1	False
4	HMGCS2	1	Exp04_Pair1	115	116	0.28688114778816154	-0.11910206424717695	-0.4059832120353385	17	17	False
4	HMGCS2	2	Exp04_Pair2	117	118	-0.11091590140185058	-0.2705559931663367	-0.15964009176448613	17	17	False
4	HMGCS2	3	Exp04_Pair3	119	121	0.783969582971042	0.8382641488042349	0.05429456583319292	17	17	False
4	IGFBP2	1	Exp04_Pair1	115	116	-0.042456799242894826	-0.5907448533151622	-0.5482880540722674	5	5	False
4	IGFBP2	2	Exp04_Pair2	117	118	-0.5332423842738286	-1.3111482561341194	-0.7779058718602908	5	5	False
4	IGFBP2	3	Exp04_Pair3	119	121	0.5652124248414214	1.3801753117420252	0.8149628869006038	5	5	False
4	L1TD1	1	Exp04_Pair1	115	116	-0.7060410209713056	-1.1360615495760285	-0.43002052860472284	1	1	False
4	L1TD1	2	Exp04_Pair2	117	118	-0.8996950942043145	-1.6438561897747246	-0.7441610955704101	1	1	False
4	L1TD1	3	Exp04_Pair3	119	121	0.11103131238874393	0.0043216059500934675	-0.10670970643865046	1	1	False
4	LGALS3	1	Exp04_Pair1	115	116	-0.05180671887975906	-0.5507495371109055	-0.4989428182311464	5	5	False
4	LGALS3	2	Exp04_Pair2	117	118	-1.0174909545173398	-1.0220192694271857	-0.004528314909845843	5	5	False
4	LGALS3	3	Exp04_Pair3	119	121	0.698322802082423	-0.05609077051627262	-0.7544135725986957	5	5	False
4	LGALS4	1	Exp04_Pair1	115	116	1.7146199058547014	0.38599517218291457	-1.328624733671787	12	12	False
4	LGALS4	2	Exp04_Pair2	117	118	0.612785375958443	-0.4481148965282752	-1.0609002724867183	12	11	False
4	LGALS4	3	Exp04_Pair3	119	121	1.2128339706043492	1.13720558080157	-0.0756283898027792	12	12	False
4	MYL6	1	Exp04_Pair1	115	116	-0.007304434457072341	-0.678738853868303	-0.6714344194112307	9	9	False
4	MYL6	2	Exp04_Pair2	117	118	-0.549157011067798	-1.3056352072513957	-0.7564781961835977	9	9	False
4	MYL6	3	Exp04_Pair3	119	121	0.9500950941736861	0.302754752532329	-0.6473403416413571	9	9	False
4	NDRG1	1	Exp04_Pair1	115	116	0.6210555032997396	-0.6803820657998387	-1.3014375690995783	7	7	False
4	NDRG1	2	Exp04_Pair2	117	118	-0.3566055465201077	-1.1109159014018506	-0.7543103548817429	7	7	False
4	NDRG1	3	Exp04_Pair3	119	121	0.4594316186372973	0.1335635257411058	-0.3258680928961915	7	7	False
4	OLFM4	1	Exp04_Pair1	115	116	-0.1942948151614887	-0.18442457113742744	0.009870244024061253	1	1	False
4	OLFM4	2	Exp04_Pair2	117	118	-0.6620035364849841	-1.0892673380970874	-0.4272638016121033	1	1	False
4	OLFM4	3	Exp04_Pair3	119	121	1.2172307162206693	1.2041407167802252	-0.013089999440444089	1	1	False
4	PRDX6	1	Exp04_Pair1	115	116	0.24609580452433205	-0.698378282596399	-0.9444740871207311	11	11	False
4	PRDX6	2	Exp04_Pair2	117	118	-0.6119934996795605	-1.1844245711374275	-0.572431071457867	11	11	False
4	PRDX6	3	Exp04_Pair3	119	121	0.45838200415601327	0.10969486482592981	-0.34868713933008344	11	11	False
4	SLC25A5	1	Exp04_Pair1	115	116	0.25749286230967916	-0.4941090702700427	-0.7516019325797219	11	11	False
4	SLC25A5	2	Exp04_Pair2	117	118	-0.9088089417412064	-1.4760047001810128	-0.5671957584398064	11	11	False
4	SLC25A5	3	Exp04_Pair3	119	121	-0.026680977177479547	-0.3978282092466207	-0.3711472320691412	11	11	False
4	SLC26A2	1	Exp04_Pair1	115	116	1.064761567448226	-1.0824498059030565	-2.1472113733512828	2	2	False
4	SLC26A2	2	Exp04_Pair2	117	118	-0.2313569269063918	-1.6404630886128106	-1.409106161706419	2	2	False
4	SLC26A2	3	Exp04_Pair3	119	121	0.587044651466613	-0.24882700597240295	-0.8358716574390159	2	2	False
4	SORD	1	Exp04_Pair1	115	116	-0.29335894269059154	-0.4291528190177345	-0.13579387632714296	7	7	False
4	SORD	2	Exp04_Pair2	117	118	-0.7178567712185016	-1.1778817252706555	-0.46002495405215393	7	7	False
4	SORD	3	Exp04_Pair3	119	121	0.21288056634438476	0.3796209620557083	0.1667403957113235	7	7	False
4	SRI	1	Exp04_Pair1	115	116	0.42998960518406804	-0.6355077505934659	-1.0654973557775338	6	6	False
4	SRI	2	Exp04_Pair2	117	118	-0.413826092345838	-1.1626378600101592	-0.7488117676643212	6	6	False
4	SRI	3	Exp04_Pair3	119	121	0.3944788276998725	0.6350857587202389	0.24060693102036634	6	6	False
4	TPT1	1	Exp04_Pair1	115	116	-0.2513905461274561	-0.8434444223707116	-0.5920538762432555	4	4	False
4	TPT1	2	Exp04_Pair2	117	118	-0.8685549354421256	-1.317756365622695	-0.44920143018056935	4	4	False
4	TPT1	3	Exp04_Pair3	119	121	0.5779523156572649	0.36497908449140193	-0.21297323116586298	4	4	False
4	TRIP6	1	Exp04_Pair1	115	116	-0.5338182042825723	-0.4921655835604985	0.04165262072207382	1	1	False
4	TRIP6	2	Exp04_Pair2	117	118	-0.9872786216651224	-0.9529549481903373	0.034323673474785044	1	1	False
4	TRIP6	3	Exp04_Pair3	119	121	0.16378045363793248	0.18824966278855287	0.024469209150620397	1	1	False
4	TST	1	Exp04_Pair1	115	116	0.40381306161658964	-0.16650266314016504	-0.5703157247567547	9	9	False
4	TST	2	Exp04_Pair2	117	118	-0.15360697914763968	-1.0409717810563062	-0.8873648019086665	9	9	False
4	TST	3	Exp04_Pair3	119	121	0.8671521270134556	0.5762802576213554	-0.2908718693921002	9	9	False
5	ACAA2	1	Exp05_Pair1	115	116	-1.5063526660247897	-0.33825040018929514	1.1681022658354945	11	11	False
5	ACAA2	2	Exp05_Pair2	117	118	-0.45600928033515	-1.3808266759084766	-0.9248173955733267	11	10	False
5	ACAA2	3	Exp05_Pair3	119	121	-1.6803820657998387	-1.8586247242617042	-0.1782426584618655	11	10	False
5	B2M	1	Exp05_Pair1	115	116	-0.082595858993909	-0.03887062377882798	0.043725235215081024	3	3	False
5	B2M	2	Exp05_Pair2	117	118	0.73625428345853	-0.6542436373355258	-1.3904979207940558	3	3	False
5	B2M	3	Exp05_Pair3	119	121	-0.8368786017012952	-1.2249476264384513	-0.3880690247371561	3	3	False
5	CALM2	1	Exp05_Pair1	115	116	1.3260992504015368	0.9597701552114672	-0.3663290951900695	7	7	False
5	CALM2	2	Exp05_Pair2	117	118	0.8604561618335536	0.14336370489880926	-0.7170924569347443	7	7	False
5	CALM2	3	Exp05_Pair3	119	121	-0.25443158557261125	-0.48294004590538897	-0.22850846033277772	7	7	False
