module	dataset	species	model_system	comparison	n_units	mean_module_reversal	median_module_reversal	bootstrap_mean_ci_low	bootstrap_mean_ci_high	n_positive_reversal	all_units_positive_reversal	p_exact_sign_two_sided	interpretation_role	consistent_n3
M06	GSE114059	human	patient_derived_crc_organoid	PRI-724	1	0.0279965871124044	0.0279965871124044	0.0279965871124044	0.0279965871124044	1	True	1	causal or pathway perturbation	FALSE
M06	GSE114059	human	patient_derived_crc_organoid	Trametinib	4	0.0343084013523529	0.0260379107811642	0.0182300798932877	0.055729970395387	4	True	0.125	causal or pathway perturbation	TRUE
M06	GSE125472	human	isogenic_human_colon_organoid	WNT− / APC-KO	3	0.22061870696603	0.323010380730856	-0.109794830793587	0.44864057096082	2	False	1	causal or pathway perturbation	FALSE
M06	GSE125472	human	isogenic_human_colon_organoid	WNT− / WT	3	0.320811099050619	0.329507483487105	0.229237614915892	0.40368819874886	3	True	0.25	causal or pathway perturbation	TRUE
M06	GSE130822	mouse	colonic_stem_cells	ASCL2 KO	1	1.42275816994924	1.42275816994924	1.42275816994924	1.42275816994924	1	True	1	causal or pathway perturbation	FALSE
M06	GSE135328	human	crc_cell_line_clone	TCF7L2 KO	4	0.0535002966917512	0.0951435890019607	-0.203869639273324	0.271017071172148	3	False	0.625	causal or pathway perturbation	FALSE
M06	GSE171910	human	conditional_crc_wnt_models	WNT off	4	-0.171763172312614	-0.122594316546531	-0.429504659138158	0.0368094587468487	1	False	0.625	causal or pathway perturbation	FALSE
M06	GSE67186	mouse	in_vivo_colon_polyp	APC restore	1	-0.178811974315108	-0.178811974315108	-0.178811974315108	-0.178811974315108	0	False	1	causal or pathway perturbation	FALSE
M06	GSE67186	mouse	in_vivo_colon_polyp	APC restore + Kras	1	-0.345989650846953	-0.345989650846953	-0.345989650846953	-0.345989650846953	0	False	1	causal or pathway perturbation	FALSE
M09	GSE114059	human	patient_derived_crc_organoid	PRI-724	1	0.0934591781731186	0.0934591781731186	0.0934591781731186	0.0934591781731186	1	True	1	causal or pathway perturbation	FALSE
M09	GSE114059	human	patient_derived_crc_organoid	Trametinib	4	0.289381190349511	0.326276945123528	0.116306253335386	0.462456127363636	4	True	0.125	causal or pathway perturbation	TRUE
M09	GSE125472	human	isogenic_human_colon_organoid	WNT− / APC-KO	3	0.289854145195892	0.326950054550902	0.112405788588097	0.430206592448676	3	True	0.25	causal or pathway perturbation	TRUE
M09	GSE125472	human	isogenic_human_colon_organoid	WNT− / WT	3	-0.720506878024253	-0.959971117532915	-1.31909129620933	0.117541779669484	1	False	1	causal or pathway perturbation	FALSE
M09	GSE130822	mouse	colonic_stem_cells	ASCL2 KO	1	-1.21983621382225	-1.21983621382225	-1.21983621382225	-1.21983621382225	0	False	1	causal or pathway perturbation	FALSE
M09	GSE135328	human	crc_cell_line_clone	TCF7L2 KO	4	-0.5661600315904	-0.484763028111534	-0.780845694222161	-0.404066612057611	0	False	0.125	causal or pathway perturbation	FALSE
M09	GSE171910	human	conditional_crc_wnt_models	WNT off	4	-0.701501658878799	-0.792505209180069	-1.00317735163946	-0.380743220520505	0	False	0.125	causal or pathway perturbation	FALSE
M09	GSE67186	mouse	in_vivo_colon_polyp	APC restore	1	-0.949251275324574	-0.949251275324574	-0.949251275324574	-0.949251275324574	0	False	1	causal or pathway perturbation	FALSE
M09	GSE67186	mouse	in_vivo_colon_polyp	APC restore + Kras	1	-1.20589646277485	-1.20589646277485	-1.20589646277485	-1.20589646277485	0	False	1	causal or pathway perturbation	FALSE
M10	GSE114059	human	patient_derived_crc_organoid	PRI-724	1	-0.0193765566132477	-0.0193765566132477	-0.0193765566132477	-0.0193765566132477	0	False	1	causal or pathway perturbation	FALSE
M10	GSE114059	human	patient_derived_crc_organoid	Trametinib	4	0.209185070749026	0.182712820022649	0.16250213465998	0.282340257564447	4	True	0.125	causal or pathway perturbation	TRUE
M10	GSE125472	human	isogenic_human_colon_organoid	WNT− / APC-KO	3	0.317853759736058	0.193975630708976	0.077703877829128	0.68188177067007	3	True	0.25	causal or pathway perturbation	TRUE
M10	GSE125472	human	isogenic_human_colon_organoid	WNT− / WT	3	0.0323166882302685	-0.116661128914898	-0.435913414111946	0.649524607717649	1	False	1	causal or pathway perturbation	FALSE
M10	GSE130822	mouse	colonic_stem_cells	ASCL2 KO	1	-1.18279355471558	-1.18279355471558	-1.18279355471558	-1.18279355471558	0	False	1	causal or pathway perturbation	FALSE
M10	GSE135328	human	crc_cell_line_clone	TCF7L2 KO	4	0.230912544461209	0.209933274983994	0.171564086003785	0.311240272395849	4	True	0.125	causal or pathway perturbation	TRUE
M10	GSE171910	human	conditional_crc_wnt_models	WNT off	4	-0.0812365345097731	-0.0206694660856715	-0.275639842268088	0.0733191742579833	2	False	1	causal or pathway perturbation	FALSE
M10	GSE67186	mouse	in_vivo_colon_polyp	APC restore	1	-0.147174738782985	-0.147174738782985	-0.147174738782985	-0.147174738782985	0	False	1	causal or pathway perturbation	FALSE
M10	GSE67186	mouse	in_vivo_colon_polyp	APC restore + Kras	1	0.215200218844019	0.215200218844019	0.215200218844019	0.215200218844019	1	True	1	causal or pathway perturbation	FALSE
