x	y	xend	yend
203	0	203	0.971761598629895
204.5	0.96064936184764	204.5	0.971761598629895
203	0.971761598629895	204.5	0.971761598629895
202	0	202	0.976143447806968
203.75	0.971761598629895	203.75	0.976143447806968
202	0.976143447806968	203.75	0.976143447806968
206	0	206	0.977812862475348
207	0	207	0.977812862475348
206	0.977812862475348	207	0.977812862475348
202.875	0.976143447806968	202.875	0.982592476003841
206.5	0.977812862475348	206.5	0.982592476003841
202.875	0.982592476003841	206.5	0.982592476003841
210	0	210	0.958845194704508
211	0	211	0.958845194704508
210	0.958845194704508	211	0.958845194704508
209	0	209	0.979942065092702
210.5	0.958845194704508	210.5	0.979942065092702
209	0.979942065092702	210.5	0.979942065092702
213	0	213	0.981234941123452
214	0	214	0.981234941123452
213	0.981234941123452	214	0.981234941123452
216	0	216	0.972528327684776
217	0	217	0.972528327684776
216	0.972528327684776	217	0.972528327684776
215	0	215	0.983088701519523
216.5	0.972528327684776	216.5	0.983088701519523
215	0.983088701519523	216.5	0.983088701519523
219	0	219	0.979890875346782
220	0	220	0.979890875346782
219	0.979890875346782	220	0.979890875346782
223	0	223	0.96683270950427
224	0	224	0.96683270950427
223	0.96683270950427	224	0.96683270950427
222	0	222	0.970842935720669
223.5	0.96683270950427	223.5	0.970842935720669
222	0.970842935720669	223.5	0.970842935720669
221	0	221	0.97807355789726
222.75	0.970842935720669	222.75	0.97807355789726
221	0.97807355789726	222.75	0.97807355789726
226	0	226	0.958637957304519
227	0	227	0.958637957304519
226	0.958637957304519	227	0.958637957304519
225	0	225	0.971359553062235
226.5	0.958637957304519	226.5	0.971359553062235
225	0.971359553062235	226.5	0.971359553062235
229	0	229	0.974505965063428
230	0	230	0.974505965063428
229	0.974505965063428	230	0.974505965063428
231	0	231	0.978475773212325
232	0	232	0.978475773212325
231	0.978475773212325	232	0.978475773212325
229.5	0.974505965063428	229.5	0.980468269994959
231.5	0.978475773212325	231.5	0.980468269994959
229.5	0.980468269994959	231.5	0.980468269994959
235	0	235	0.980357624773186
236	0	236	0.980357624773186
235	0.980357624773186	236	0.980357624773186
239	0	239	0.981218846579294
240	0	240	0.981218846579294
239	0.981218846579294	240	0.981218846579294
241	0	241	0.966061553278154
242	0	242	0.966061553278154
241	0.966061553278154	242	0.966061553278154
243	0	243	0.973834846649511
244	0	244	0.973834846649511
243	0.973834846649511	244	0.973834846649511
246	0	246	0.965256429254154
247	0	247	0.965256429254154
246	0.965256429254154	247	0.965256429254154
245	0	245	0.975741849776552
246.5	0.965256429254154	246.5	0.975741849776552
245	0.975741849776552	246.5	0.975741849776552
249	0	249	0.965942546097766
250	0	250	0.965942546097766
249	0.965942546097766	250	0.965942546097766
248	0	248	0.968844873413316
249.5	0.965942546097766	249.5	0.968844873413316
248	0.968844873413316	249.5	0.968844873413316
255	0	255	0.947114973803195
256	0	256	0.947114973803195
255	0.947114973803195	256	0.947114973803195
254	0	254	0.977715860920914
255.5	0.947114973803195	255.5	0.977715860920914
254	0.977715860920914	255.5	0.977715860920914
253	0	253	0.979048038621739
254.75	0.977715860920914	254.75	0.979048038621739
253	0.979048038621739	254.75	0.979048038621739
258	0	258	0.968577449817412
259	0	259	0.968577449817412
258	0.968577449817412	259	0.968577449817412
257	0	257	0.975442539189587
258.5	0.968577449817412	258.5	0.975442539189587
257	0.975442539189587	258.5	0.975442539189587
263	0	263	0.930497519041394
264	0	264	0.930497519041394
263	0.930497519041394	264	0.930497519041394
266	0	266	0.944704128309742
267	0	267	0.944704128309742
266	0.944704128309742	267	0.944704128309742
265	0	265	0.958516499077436
266.5	0.944704128309742	266.5	0.958516499077436
265	0.958516499077436	266.5	0.958516499077436
263.5	0.930497519041394	263.5	0.964540055922839
265.75	0.958516499077436	265.75	0.964540055922839
263.5	0.964540055922839	265.75	0.964540055922839
262	0	262	0.969245045892153
264.625	0.964540055922839	264.625	0.969245045892153
262	0.969245045892153	264.625	0.969245045892153
268	0	268	0.962084663921985
269	0	269	0.962084663921985
268	0.962084663921985	269	0.962084663921985
272	0	272	0.937218149742354
273	0	273	0.937218149742354
272	0.937218149742354	273	0.937218149742354
271	0	271	0.959783065773885
272.5	0.937218149742354	272.5	0.959783065773885
271	0.959783065773885	272.5	0.959783065773885
270	0	270	0.964071980170561
271.75	0.959783065773885	271.75	0.964071980170561
