pseudobulk_id	specimen_id	donor_id	route	cell_type	n_cells	library_size
HTA11_6134_2000002021__GOB	HTA11_6134_2000002021	HTA11_6134	Normal	Goblet	22	127390
HTA11_6147_2000002011__GOB	HTA11_6147_2000002011	HTA11_6147	Normal	Goblet	29	170415
HTA11_6147_2000002021__GOB	HTA11_6147_2000002021	HTA11_6147	Normal	Goblet	42	366108
HTA11_6310_2000002021__GOB	HTA11_6310_2000002021	HTA11_6310	Normal	Goblet	63	473180
HTA11_696_2000001011__GOB	HTA11_696_2000001011	HTA11_696	Adenoma	Goblet	905	8589884
HTA11_696_2000002011__GOB	HTA11_696_2000002011	HTA11_696	Normal	Goblet	67	725124
HTA11_696_2000002021__GOB	HTA11_696_2000002021	HTA11_696	Normal	Goblet	620	6234600
HTA11_78_2000001011__GOB	HTA11_78_2000001011	HTA11_78	Adenoma	Goblet	518	2646123
HTA11_78_2000002011__GOB	HTA11_78_2000002011	HTA11_78	Normal	Goblet	56	570206
HTA11_83_2000002011__GOB	HTA11_83_2000002011	HTA11_83	Normal	Goblet	137	1313406
HTA11_83_2000002021__GOB	HTA11_83_2000002021	HTA11_83	Normal	Goblet	219	2519311
HTA11_866_2000001011__GOB	HTA11_866_2000001011	HTA11_866	Adenoma	Goblet	595	3493366
HTA11_104_2000002011__TAC	HTA11_104_2000002011	HTA11_104	Normal	Transit-amplifying	59	737218
HTA11_1391_2000001011__TAC	HTA11_1391_2000001011	HTA11_1391	Adenoma	Transit-amplifying	152	2291413
HTA11_1938_2000001011__TAC	HTA11_1938_2000001011	HTA11_1938	Adenoma	Transit-amplifying	165	2245624
HTA11_2235_2000001011__TAC	HTA11_2235_2000001011	HTA11_2235	Adenoma	Transit-amplifying	61	620028
HTA11_2235_2000002021__TAC	HTA11_2235_2000002021	HTA11_2235	Normal	Transit-amplifying	121	1383783
HTA11_2487_2000002011__TAC	HTA11_2487_2000002011	HTA11_2487	Normal	Transit-amplifying	105	746375
HTA11_2951_2000001011__TAC	HTA11_2951_2000001011	HTA11_2951	Adenoma	Transit-amplifying	69	663932
HTA11_2951_2000002011__TAC	HTA11_2951_2000002011	HTA11_2951	Normal	Transit-amplifying	42	397785
HTA11_2951_2000002021__TAC	HTA11_2951_2000002021	HTA11_2951	Normal	Transit-amplifying	50	536362
HTA11_3077_2000002011__TAC	HTA11_3077_2000002011	HTA11_3077	Normal	Transit-amplifying	28	382483
HTA11_3252_2000002011__TAC	HTA11_3252_2000002011	HTA11_3252	Normal	Transit-amplifying	80	1216024
HTA11_3252_2000002021__TAC	HTA11_3252_2000002021	HTA11_3252	Normal	Transit-amplifying	91	1049168
HTA11_3361_2000001011__TAC	HTA11_3361_2000001011	HTA11_3361	Adenoma	Transit-amplifying	186	1621688
HTA11_3361_2000002011__TAC	HTA11_3361_2000002011	HTA11_3361	Normal	Transit-amplifying	85	571042
HTA11_3361_2000002021__TAC	HTA11_3361_2000002021	HTA11_3361	Normal	Transit-amplifying	68	703627
HTA11_3410_2000001011__TAC	HTA11_3410_2000001011	HTA11_3410	Adenoma	Transit-amplifying	182	1081235
HTA11_3410_2000002021__TAC	HTA11_3410_2000002021	HTA11_3410	Normal	Transit-amplifying	269	2698522
HTA11_347_2000001011__TAC	HTA11_347_2000001011	HTA11_347	Adenoma	Transit-amplifying	91	1354426
HTA11_377_2000001011__TAC	HTA11_377_2000001011	HTA11_377	Normal	Transit-amplifying	26	292625
HTA11_392_3000012011__TAC	HTA11_392_3000012011	HTA11_392	Normal	Transit-amplifying	79	754402
HTA11_411_2000002011__TAC	HTA11_411_2000002011	HTA11_411	Normal	Transit-amplifying	93	1030096
HTA11_411_2000002021__TAC	HTA11_411_2000002021	HTA11_411	Normal	Transit-amplifying	276	2922859
HTA11_5212_2000002011__TAC	HTA11_5212_2000002011	HTA11_5212	Normal	Transit-amplifying	20	147708
HTA11_5216_2000002011__TAC	HTA11_5216_2000002011	HTA11_5216	Normal	Transit-amplifying	54	544596
HTA11_5216_2000002021__TAC	HTA11_5216_2000002021	HTA11_5216	Normal	Transit-amplifying	90	765995
HTA11_546_2000001011__TAC	HTA11_546_2000001011	HTA11_546	Adenoma	Transit-amplifying	97	856794
HTA11_546_2000002011__TAC	HTA11_546_2000002011	HTA11_546	Normal	Transit-amplifying	59	937593
HTA11_546_2000002021__TAC	HTA11_546_2000002021	HTA11_546	Normal	Transit-amplifying	113	1969582
HTA11_6025_2000002011__TAC	HTA11_6025_2000002011	HTA11_6025	Normal	Transit-amplifying	50	685629
HTA11_6134_2000002021__TAC	HTA11_6134_2000002021	HTA11_6134	Normal	Transit-amplifying	55	488133
HTA11_6147_2000002011__TAC	HTA11_6147_2000002011	HTA11_6147	Normal	Transit-amplifying	85	841517
HTA11_6147_2000002021__TAC	HTA11_6147_2000002021	HTA11_6147	Normal	Transit-amplifying	36	432790
HTA11_6310_2000002021__TAC	HTA11_6310_2000002021	HTA11_6310	Normal	Transit-amplifying	38	508838
HTA11_696_2000001011__TAC	HTA11_696_2000001011	HTA11_696	Adenoma	Transit-amplifying	332	3894069
HTA11_696_2000002011__TAC	HTA11_696_2000002011	HTA11_696	Normal	Transit-amplifying	454	5658050
HTA11_696_2000002021__TAC	HTA11_696_2000002021	HTA11_696	Normal	Transit-amplifying	277	2931902
HTA11_78_2000001011__TAC	HTA11_78_2000001011	HTA11_78	Adenoma	Transit-amplifying	115	884960
HTA11_78_2000002011__TAC	HTA11_78_2000002011	HTA11_78	Normal	Transit-amplifying	55	881267
HTA11_83_2000002011__TAC	HTA11_83_2000002011	HTA11_83	Normal	Transit-amplifying	86	1199150
HTA11_83_2000002021__TAC	HTA11_83_2000002021	HTA11_83	Normal	Transit-amplifying	69	943184
HTA11_866_2000001011__TAC	HTA11_866_2000001011	HTA11_866	Adenoma	Transit-amplifying	71	591842
