gene	full_common_effect	full_common_z	shared_direction	state_sign_stability_ABS	state_sign_stability_GOB	state_sign_stability_TAC	common_sign_stability	leaveout_common_effect_min	leaveout_common_effect_median	leaveout_common_effect_max	minimum_state_sign_stability
ELP6	0.29917057776959	3.46855099018243	up	1	1	1	1	0.237420056433269	0.294133920931095	0.355271290706757	1
PPP1R15B	-0.549345157910343	-3.46631475595525	down	1	1	1	1	-0.602207331999945	-0.514947919882915	-0.379444473463305	1
LINC00938	-0.490228119523224	-3.46608075752322	down	1	1	1	1	-0.645770195691346	-0.537596506111952	-0.398019621653685	1
FAM120AOS	-0.297397530144143	-3.46437664516137	down	1	1	1	1	-0.340200762862067	-0.297059577341001	-0.216479873773498	1
NOMO3	0.382937686534643	3.45170192940333	up	1	1	1	1	0.332401198713638	0.402725774491606	0.44262147294482	1
POP4	-0.368714231365248	-3.44815835498494	down	1	1	1	1	-0.435980214009767	-0.364026821025773	-0.320626225964659	1
TMCC1	0.253518369643366	3.44807076312104	up	1	1	1	1	0.245622991213692	0.277531266591998	0.313447283206521	1
MECOM	0.349857285233826	3.443854990078	up	1	1	1	1	0.297113545240249	0.361300382012048	0.435599592470582	1
RP2	-0.384697447326046	-3.44336508058324	down	1	1	1	1	-0.383575714174767	-0.365532562018986	-0.304822544730293	1
PPIL4	-0.46176838014397	-3.44262665929019	down	1	1	1	1	-0.541888055226991	-0.459534765377347	-0.394534121328035	1
IMPACT	-0.561542365886825	-3.44236278461257	down	1	1	1	1	-0.55848373688339	-0.452263284489861	-0.239698711838051	1
SMG9	0.340182673821452	3.43423029434321	up	1	1	1	1	0.260080084677074	0.335239382446899	0.405370037005496	1
ELMOD3	0.2584507064904	3.43159656196777	up	1	1	1	1	0.217327666707591	0.256856322652904	0.293026641967869	1
ZDHHC7	-0.175469873732432	-3.42923667721593	down	1	1	1	1	-0.195296967146734	-0.171406098614456	-0.151720005468228	1
RAB9A	-0.37186163531848	-3.42921012698609	down	1	1	1	1	-0.406974647656397	-0.367457399427247	-0.269194355181421	1
MAML3	0.202326298134761	3.42870739984594	up	1	1	1	1	0.184790422725493	0.207359889764961	0.22927652129408	1
ARIH2	0.153648294226438	3.42798618246549	up	1	1	1	1	0.131794608244417	0.161092371792394	0.186360566093841	1
CORO1C	-0.307816675025215	-3.42656805943074	down	1	1	1	1	-0.34533040789871	-0.299105972114784	-0.227711647002737	1
GABPB2	0.270204360002937	3.4261934510988	up	1	1	1	1	0.23782306687089	0.264958457021183	0.312613494006444	1
TRIM2	0.263582851081445	3.42344952069614	up	1	1	1	1	0.271670958028375	0.315989329895384	0.344081402324943	1
MICALL1	0.378608257532216	3.42247040457836	up	1	1	1	1	0.225290212208436	0.338354167571488	0.43742113575387	1
DHX30	0.25665733112804	3.42037810962086	up	1	1	1	1	0.197129205389351	0.248102543012885	0.284292334253913	1
XYLT1	0.236253043170539	3.42034009239307	up	1	1	1	1	0.210862232410449	0.24630259325594	0.265550714202668	1
SLC2A1-DT	0.657262087078856	3.4189247029982	up	0.888888888888889	1	1	1	0.271574514054659	0.481061487996735	0.637494668328481	0.888888888888889
NDUFA3	-0.323957232757184	-3.41867254983514	down	1	1	1	1	-0.457659032870061	-0.37639035795202	-0.264056995008535	1
SORCS2	0.68569640426828	3.41791027326425	up	1	1	1	1	0.47549277629538	0.71562104154302	0.803756345975539	1
SESTD1	0.425027562244775	3.41551446451867	up	1	1	1	1	0.300710361848321	0.401998075923753	0.538897312455457	1
PRR15L	-0.353931466464713	-3.41485877873174	down	1	1	1	1	-0.425682799947341	-0.372093952014345	-0.330619405314984	1
MANBA	0.288215691769229	3.41456285248796	up	1	1	1	1	0.241007612496205	0.279612391338384	0.326600258409876	1
MTCH1	-0.286498582641034	-3.41220537227625	down	1	1	1	1	-0.360728876124506	-0.293848567174877	-0.246097756083895	1
NCBP2AS2	-0.304993125868871	-3.40874041512246	down	1	1	1	1	-0.365065198469809	-0.330473943031373	-0.262351852821563	1
CCDC12	0.301408850643081	3.4033277112834	up	1	1	1	1	0.218294607454605	0.275035322889851	0.349461419082481	1
ANKHD1-DT	0.271559100783735	3.40311778417631	up	1	1	1	1	0.239489649775013	0.273690870534138	0.312151619790103	1
CABIN1	0.272340815721752	3.40224451033469	up	1	1	1	1	0.223798380210882	0.258710083395675	0.318374133953901	1
SNX8	0.397288924737477	3.40094203552991	up	1	1	1	1	0.272826606081528	0.371362772457173	0.454508582291742	1
EVA1C	0.337926948891206	3.39641197432962	up	1	1	1	1	0.307235666418824	0.340050198443338	0.397876299033831	1
C9orf78	-0.259447392347713	-3.39472404537281	down	1	1	1	1	-0.283068160531099	-0.246146990165586	-0.188306834879867	1
UBE2O	0.268279614111915	3.39304979939448	up	1	1	1	1	0.203875544293679	0.263053474463019	0.316059442677969	1
PCGF2	0.393869493301348	3.39273631107127	up	1	1	1	1	0.241933275660814	0.382619009626304	0.461093328708753	1
RBX1	-0.260269461300821	-3.39246111381322	down	1	1	1	1	-0.282814568139014	-0.248416157827952	-0.211643997123928	1
EGLN1	-0.294718370344074	-3.39208883909343	down	1	1	1	1	-0.348552326983827	-0.30445179582092	-0.247074534671367	1
KPNA4	0.200337325060112	3.39095988104116	up	1	1	1	1	0.206656979718535	0.224436356270101	0.255695036478237	1
KMT2D	0.319662072013928	3.39078928732283	up	1	1	1	1	0.273546676615349	0.336409535681571	0.381821898090084	1
ANKRD52	0.346909142233892	3.39008523511758	up	1	1	1	1	0.266658613555078	0.314953986725322	0.350778975364863	1
ACSS1	0.299029443929807	3.38998450714779	up	1	1	1	1	0.169876091702402	0.277716168565362	0.328610697397234	1
ZNF771	0.362338067229513	3.38945033329473	up	1	1	1	1	0.292056212051314	0.370413169473093	0.405788125462555	1
PPCS	-0.324679241498727	-3.38404295916524	down	1	1	1	1	-0.422977521873581	-0.361640966987897	-0.303845063014379	1
YRDC	-0.330620231180469	-3.38298219861607	down	1	1	1	1	-0.365847606598667	-0.33774252099489	-0.238904225340807	1
EIF1AD	-0.376106386337833	-3.38289314863311	down	1	1	1	1	-0.437185005901161	-0.323790291000959	-0.273046015397132	1
HTATSF1	-0.468345403123662	-3.38259524381342	down	1	1	1	1	-0.599342566799448	-0.449513758317099	-0.334480509438193	1
PITHD1	-0.26867961163136	-3.38232305803378	down	1	1	1	1	-0.27154217645322	-0.231373204762591	-0.176175921491668	1
WDR27	0.306847001127692	3.38047057717386	up	1	1	1	1	0.266003872206625	0.322478936770997	0.371180275871788	1
TLDC2	-0.378629434379748	-3.37942232255683	down	1	1	1	1	-0.476333314037301	-0.364624236822632	-0.301244239290749	1
LDHA	-0.509206423093615	-3.37737760468657	down	1	1	1	1	-0.661068257207562	-0.539772034576969	-0.3875750099949	1
MIER1	-0.256881107300434	-3.37656239870145	down	1	1	1	1	-0.272380530132237	-0.249371964562771	-0.185293600938918	1
MT-TY	0.530633614462296	3.37313730910262	up	1	1	1	1	0.364448897070647	0.504061237247277	0.577182675335668	1
MORF4L2	-0.433146649180092	-3.37289436834131	down	1	1	1	1	-0.497656735211577	-0.416782045920283	-0.294670307099262	1
RSPH3	-0.243671214673738	-3.37289143458046	down	1	1	1	1	-0.261579716437785	-0.221694447823738	-0.187233183219796	1
IGHMBP2	0.371415704130889	3.37278931534984	up	1	1	1	1	0.322263150113903	0.363106308661235	0.411934511853318	1
HOOK2	0.229958477532513	3.37014263694048	up	1	1	1	1	0.176907354937551	0.220024688224042	0.254091438952214	1
AGO4	0.27293521507907	3.37014205703053	up	1	1	1	1	0.248871325458944	0.287807243517008	0.31759811576583	1
PAAF1	0.287255360489373	3.36649221755087	up	1	1	1	1	0.262706717813769	0.291689987786872	0.324731662486556	1
DNAJA1	-0.386937291410014	-3.36613103524432	down	1	1	1	1	-0.471343012573373	-0.383012138773362	-0.290186509113992	1
ASH1L	0.254703777829828	3.36568052695567	up	1	1	1	1	0.203190453617625	0.262857281332975	0.302535464994956	1
RNF128	-0.427232870963355	-3.36143848386266	down	1	1	1	1	-0.479855453265654	-0.392238988322109	-0.27126549482044	1
ERC1	0.209684563301081	3.36079979107204	up	1	1	1	1	0.201034451330919	0.225073461621513	0.257317868637489	1
ENSG00000227598	0.280259449378158	3.36074030422027	up	1	1	1	1	0.253480583262513	0.284673341302563	0.338526141371164	1
