gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	signature_direction	rank_within_direction	selection_cohort	validation_used_for_selection
MYL12A	-0.3816538	-0.3862839	-0.5686695426702499	-0.16345703937113287	0.999	0.002	0.06011646	0.015846696449565014	False	True	True	0.3816538	adenoma_down	37.0	Chen discovery only	False
CALM2	-0.3722606	-0.37525958	-0.5940873801708222	-0.11530460398644213	0.997	0.006	0.07988056	0.039738207547169814	False	True	True	0.3722606	adenoma_down	38.0	Chen discovery only	False
NDUFA1	-0.37203327	-0.3697032	-0.5375869691371917	-0.20996485725045205	1.0	0.000999000999000999	0.035243697	0.012651009268822122	False	True	True	0.37203327	adenoma_down	39.0	Chen discovery only	False
CHP1	-0.36839426	-0.36688092	-0.5338199988007546	-0.192811618745327	1.0	0.000999000999000999	0.08408453	0.012651009268822122	False	True	True	0.36839426	adenoma_down	40.0	Chen discovery only	False
CALM1	-0.3683679	-0.37330455	-0.5460064321756363	-0.18050156831741332	1.0	0.000999000999000999	0.031672627	0.012651009268822122	False	True	True	0.3683679	adenoma_down	41.0	Chen discovery only	False
EPCAM	-0.36305678	-0.36228102	-0.5710925802588462	-0.15508464723825455	1.0	0.000999000999000999	0.057184238	0.012651009268822122	False	True	True	0.36305678	adenoma_down	42.0	Chen discovery only	False
TMSB4X	-0.36189675	-0.35890234	-0.5880230858922004	-0.11865276359021668	0.998	0.004	0.0013328244	0.02861218424962853	False	True	True	0.36189675	adenoma_down	43.0	Chen discovery only	False
UGT2A3	-0.35164398	-0.3611781	-0.513337080180645	-0.17631488777697088	1.0	0.000999000999000999	0.053395532	0.012651009268822122	False	True	True	0.35164398	adenoma_down	44.0	Chen discovery only	False
LRRC19	-0.34771597	-0.35158134	-0.48483006879687307	-0.211130802333355	1.0	0.000999000999000999	0.077779785	0.012651009268822122	False	True	True	0.34771597	adenoma_down	45.0	Chen discovery only	False
ACAA2	-0.3467019	-0.35120484	-0.5120915576815606	-0.18734832778573038	0.999	0.002	0.10918988	0.015846696449565014	False	True	True	0.3467019	adenoma_down	46.0	Chen discovery only	False
LYPD8	-0.34660244	-0.34483624	-0.5624871388077736	-0.12090180050581711	0.998	0.004	0.009794822	0.02861218424962853	False	True	True	0.34660244	adenoma_down	47.0	Chen discovery only	False
SLC51A	-0.3454647	-0.34245783	-0.515945291519165	-0.20395791567862034	1.0	0.000999000999000999	0.050859556	0.012651009268822122	False	True	True	0.3454647	adenoma_down	48.0	Chen discovery only	False
PLAC8	-0.34252074	-0.33665317	-0.5104462653398514	-0.16804542243480688	0.999	0.002	0.015543593	0.015846696449565014	False	True	True	0.34252074	adenoma_down	49.0	Chen discovery only	False
SLC26A2	-0.33946574	-0.34469253	-0.5991347938776016	-0.04412217522040021	0.989	0.022	0.050502762	0.10656259882133104	False	True	True	0.33946574	adenoma_down	50.0	Chen discovery only	False
OLFM4	0.7293857	0.72205144	0.2635015115141869	1.296439653635025	0.999	0.002	0.04607232	0.015846696449565014	False	True	True	0.7293857	adenoma_up	1.0	Chen discovery only	False
REG1A	0.71312755	0.68629694	0.19920654855668546	1.367650660872459	1.0	0.000999000999000999	0.050404787	0.012651009268822122	False	True	True	0.71312755	adenoma_up	2.0	Chen discovery only	False
CEMIP	0.6983576	0.6943306	0.3360619813203812	1.108135923743248	1.0	0.000999000999000999	0.003602191	0.012651009268822122	False	True	True	0.6983576	adenoma_up	3.0	Chen discovery only	False
GRIN2B	0.6873841	0.67378986	0.2906365938484669	1.2021839708089828	1.0	0.000999000999000999	0.038972717	0.012651009268822122	False	True	True	0.6873841	adenoma_up	4.0	Chen discovery only	False
CLDN2	0.57838947	0.5639404	0.22216219939291476	1.1151350259780881	1.0	0.000999000999000999	0.017433241	0.012651009268822122	False	True	True	0.57838947	adenoma_up	5.0	Chen discovery only	False
DPEP1	0.5104067	0.5047452	0.2444607697427273	0.7929241016507149	1.0	0.000999000999000999	0.00890304	0.012651009268822122	False	True	True	0.5104067	adenoma_up	6.0	Chen discovery only	False
ZNRF3	0.5048981	0.502597	0.27044947296380994	0.7402453705668449	1.0	0.000999000999000999	0.0021580288	0.012651009268822122	False	True	True	0.5048981	adenoma_up	7.0	Chen discovery only	False
ASCL2	0.50405955	0.50497675	0.2835490621626377	0.7455495700240135	1.0	0.000999000999000999	0.0049427166	0.012651009268822122	False	True	True	0.50405955	adenoma_up	8.0	Chen discovery only	False
RNF43	0.4764946	0.4774106	0.2538956291973591	0.6859840527176857	1.0	0.000999000999000999	0.010522959	0.012651009268822122	False	True	True	0.4764946	adenoma_up	9.0	Chen discovery only	False
NKD1	0.4699508	0.46676815	0.18732284978032113	0.790768727660179	1.0	0.000999000999000999	0.0030282072	0.012651009268822122	False	True	True	0.4699508	adenoma_up	10.0	Chen discovery only	False
APCDD1	0.4612431	0.44841337	0.15129331797361373	0.8702012032270432	1.0	0.000999000999000999	0.02414774	0.012651009268822122	False	True	True	0.4612431	adenoma_up	11.0	Chen discovery only	False
EPHB3	0.45734045	0.45566678	0.23348615914583207	0.7171147078275679	1.0	0.000999000999000999	0.0034419443	0.012651009268822122	False	True	True	0.45734045	adenoma_up	12.0	Chen discovery only	False
SHISA9	0.4518485	0.44157156	0.09674112051725389	0.8431718304753303	0.998	0.004	0.07626136	0.02861218424962853	False	True	True	0.4518485	adenoma_up	13.0	Chen discovery only	False
AXIN2	0.42774308	0.42650798	0.21163293458521368	0.6518554106354714	1.0	0.000999000999000999	0.03514409	0.012651009268822122	False	True	True	0.42774308	adenoma_up	14.0	Chen discovery only	False
MSX2	0.4173779	0.4134304	0.18786572590470316	0.6841770842671392	1.0	0.000999000999000999	0.008359566	0.012651009268822122	False	True	True	0.4173779	adenoma_up	15.0	Chen discovery only	False
LGR5	0.41682506	0.41163814	0.2220236763358116	0.6516241267323494	1.0	0.000999000999000999	0.0065720743	0.012651009268822122	False	True	True	0.41682506	adenoma_up	16.0	Chen discovery only	False
LINC02350	0.41378772	0.40010643	0.13733475580811502	0.800318731367588	1.0	0.000999000999000999	0.034217525	0.012651009268822122	False	True	True	0.41378772	adenoma_up	17.0	Chen discovery only	False
L1TD1	0.41076347	0.41249266	0.19834059178829194	0.651724049448967	1.0	0.000999000999000999	0.030479878	0.012651009268822122	False	True	True	0.41076347	adenoma_up	18.0	Chen discovery only	False
GDF15	0.40532106	0.40207547	0.23534928262233734	0.5925057128071785	1.0	0.000999000999000999	0.0060460777	0.012651009268822122	False	True	True	0.40532106	adenoma_up	19.0	Chen discovery only	False
SOX4	0.39757302	0.3987538	0.23658155016601085	0.5564755171537399	1.0	0.000999000999000999	0.01562952	0.012651009268822122	False	True	True	0.39757302	adenoma_up	20.0	Chen discovery only	False
LINC01819	0.3956442	0.37152636	0.07499573864042759	0.8275866776704788	1.0	0.000999000999000999	0.03235671	0.012651009268822122	False	True	True	0.3956442	adenoma_up	21.0	Chen discovery only	False
LINC01411	0.38985035	0.37744194	0.17200987674295903	0.6850031167268752	0.999	0.002	0.016899679	0.015846696449565014	False	True	True	0.38985035	adenoma_up	22.0	Chen discovery only	False
SLC6A6	0.37944853	0.37956613	0.1987504914402962	0.5656634166836738	1.0	0.000999000999000999	0.0058758785	0.012651009268822122	False	True	True	0.37944853	adenoma_up	23.0	Chen discovery only	False
REG1B	0.37338713	0.35905248	0.11050053909420968	0.7426046118140219	1.0	0.000999000999000999	0.02691439	0.012651009268822122	False	True	True	0.37338713	adenoma_up	24.0	Chen discovery only	False
SPINK1	0.36753398	0.36518085	0.11184721793979407	0.6456341922283172	0.998	0.004	0.05049678	0.02861218424962853	False	True	True	0.36753398	adenoma_up	25.0	Chen discovery only	False
IFITM3	0.3602024	0.35582414	0.05202597444877029	0.7004682257771492	0.992	0.016	0.0060886177	0.0843372438604724	False	True	True	0.3602024	adenoma_up	26.0	Chen discovery only	False
SDC3	0.34583938	0.3447019	0.16994887217879295	0.5445909917354583	1.0	0.000999000999000999	0.0015790559	0.012651009268822122	False	True	True	0.34583938	adenoma_up	27.0	Chen discovery only	False
ENC1	0.34196734	0.3406503	0.14428401216864586	0.5612545371055603	1.0	0.000999000999000999	0.0027457615	0.012651009268822122	False	True	True	0.34196734	adenoma_up	28.0	Chen discovery only	False
ZNF703	0.33392027	0.335614	0.15487379282712938	0.4956987090408802	1.0	0.000999000999000999	0.0020636674	0.012651009268822122	False	True	True	0.33392027	adenoma_up	29.0	Chen discovery only	False
IGFBP2	0.33224475	0.33718735	0.07022058311849833	0.5694120407104492	0.993	0.014	0.01412076	0.0762767987065481	False	True	True	0.33224475	adenoma_up	30.0	Chen discovery only	False
TRIP6	0.32801872	0.32314286	0.1384399425238371	0.5223606169223786	0.999	0.002	0.0034156768	0.015846696449565014	False	True	True	0.32801872	adenoma_up	31.0	Chen discovery only	False
DAB2	0.31933856	0.31745312	0.13900546170771122	0.5235604405403137	1.0	0.000999000999000999	0.017730258	0.012651009268822122	False	True	True	0.31933856	adenoma_up	32.0	Chen discovery only	False
SLC7A5	0.30587047	0.30385363	0.12934743650257588	0.4926627896726131	1.0	0.000999000999000999	0.0047529605	0.012651009268822122	False	True	True	0.30587047	adenoma_up	33.0	Chen discovery only	False
LTBP1	0.28924182	0.28854614	0.15355005487799644	0.43219317272305485	1.0	0.000999000999000999	0.009702628	0.012651009268822122	False	True	True	0.28924182	adenoma_up	34.0	Chen discovery only	False
TBX3	0.28470665	0.28510287	0.11542802210897207	0.4667026661336422	0.999	0.002	0.0011680534	0.015846696449565014	False	True	True	0.28470665	adenoma_up	35.0	Chen discovery only	False
ANKH	0.28274557	0.286192	0.04677286995574832	0.5134644567966461	0.995	0.01	0.0032487593	0.05908819919340698	False	True	True	0.28274557	adenoma_up	36.0	Chen discovery only	False
ETS2	0.2749734	0.27648538	0.10353910233825445	0.4476648978888988	0.998	0.004	0.0026748478	0.02861218424962853	False	True	True	0.2749734	adenoma_up	37.0	Chen discovery only	False
KRT6B	0.27151206	0.2605949	0.015170079446397722	0.8331370994448658	1.0	0.000999000999000999	0.037197	0.012651009268822122	False	True	True	0.27151206	adenoma_up	38.0	Chen discovery only	False
LRRC36	0.27030173	0.26922715	0.12289556097239256	0.4266357541084289	1.0	0.000999000999000999	0.011198619	0.012651009268822122	False	True	True	0.27030173	adenoma_up	39.0	Chen discovery only	False
SLC40A1	0.26296604	0.26181602	0.09487627856433392	0.47920375317335123	1.0	0.000999000999000999	0.0064309794	0.012651009268822122	False	True	True	0.26296604	adenoma_up	40.0	Chen discovery only	False
SLC35F1	0.26164308	0.251598	0.011882506869733338	0.5043386250734329	0.977	0.046	0.077475674	0.1774187936362596	False	True	True	0.26164308	adenoma_up	41.0	Chen discovery only	False
CYP4X1	0.25991496	0.26034057	0.13010646291077138	0.3928748153150081	1.0	0.000999000999000999	0.0025124499	0.012651009268822122	False	True	True	0.25991496	adenoma_up	42.0	Chen discovery only	False
SEMA3F	0.25506988	0.2565862	0.10728108920156956	0.39737008437514304	0.999	0.002	0.0019257318	0.015846696449565014	False	True	True	0.25506988	adenoma_up	43.0	Chen discovery only	False
ZFP36L1	0.25073522	0.25013077	0.059031315520405775	0.47334741652011864	0.992	0.016	0.0123756025	0.0843372438604724	False	True	True	0.25073522	adenoma_up	44.0	Chen discovery only	False
CPNE7	0.24887317	0.24068215	0.11182874701917171	0.42564628198742865	1.0	0.000999000999000999	0.002298354	0.012651009268822122	False	True	True	0.24887317	adenoma_up	45.0	Chen discovery only	False
ZNF503	0.2449439	0.24182001	0.12241562586277724	0.3917520180344581	1.0	0.000999000999000999	0.015756708	0.012651009268822122	False	True	True	0.2449439	adenoma_up	46.0	Chen discovery only	False
FIRRE	0.2341168	0.22760451	0.03862374844029546	0.5982538148760795	0.999	0.002	0.014817467	0.015846696449565014	False	True	True	0.2341168	adenoma_up	47.0	Chen discovery only	False
MAGEB17-AS1	0.23315665	0.22399044	0.005042567511554808	0.6433421611785887	0.99	0.02	0.04199611	0.09943346119799351	False	True	True	0.23315665	adenoma_up	48.0	Chen discovery only	False
LZTS3	0.2262522	0.22345364	0.10010779406875372	0.3707240864634514	1.0	0.000999000999000999	0.010683437	0.012651009268822122	False	True	True	0.2262522	adenoma_up	49.0	Chen discovery only	False
NOS2	0.2230627	0.20881361	0.010137403453700244	0.5847017884254454	0.991	0.018	0.014549286	0.092057064804978	False	True	True	0.2230627	adenoma_up	50.0	Chen discovery only	False
