gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected
EPHB2	0.5901682	0.5907022	0.34610744938254356	0.8735735774040222	1.0	0.000999000999000999	-0.014709057	0.012651009268822122	False	True	False	0.5901682	False
GTF2IRD1	0.5856494	0.5886986	0.3703601941466331	0.8101911842823027	1.0	0.000999000999000999	-0.06696951	0.012651009268822122	False	True	False	0.5856494	False
ACTB	-0.5628727	-0.56087697	-0.7674483090639115	-0.3397560574114323	1.0	0.000999000999000999	-0.024167798	0.012651009268822122	False	True	False	0.5628727	False
CD44	0.5529546	0.5515076	0.2382302924990654	0.876034291088581	1.0	0.000999000999000999	-0.004823868	0.012651009268822122	False	True	False	0.5529546	False
CFL1	-0.5503682	-0.547396	-0.811672605574131	-0.31603515744209293	1.0	0.000999000999000999	-0.026469072	0.012651009268822122	False	True	False	0.5503682	False
PLCB4	0.5364091	0.54597	0.2897336818277836	0.7922864511609078	1.0	0.000999000999000999	-0.03980225	0.012651009268822122	False	True	False	0.5364091	False
FTX	0.5302894	0.5330258	0.29694049805402756	0.752769909799099	1.0	0.000999000999000999	-0.079700835	0.012651009268822122	False	True	False	0.5302894	False
INPP5D	0.51938355	0.5225369	0.29633776023983954	0.746676304936409	1.0	0.000999000999000999	-0.0074137803	0.012651009268822122	False	True	False	0.51938355	False
EPB41L2	0.5188906	0.51122373	0.14850925728678704	0.9313581049442291	0.999	0.002	-0.06565244	0.015846696449565014	False	True	False	0.5188906	False
XACT	0.5182606	0.5222733	0.2717861674726009	0.7753942295908927	1.0	0.000999000999000999	-0.016028823	0.012651009268822122	False	True	False	0.5182606	False
GPX2	0.5089483	0.49401945	0.2514220982789993	0.8757079929113387	1.0	0.000999000999000999	-0.026589658	0.012651009268822122	False	True	False	0.5089483	False
ITGA6	0.50815296	0.50525165	0.24948337823152542	0.7954591944813728	1.0	0.000999000999000999	-0.046605874	0.012651009268822122	False	True	False	0.50815296	False
GALNT6	0.5073906	0.50820464	0.3123109757900238	0.7117500394582748	1.0	0.000999000999000999	-0.063335374	0.012651009268822122	False	True	False	0.5073906	False
GRAMD1A	0.50325435	0.5059471	0.30142429694533346	0.7154298514127732	1.0	0.000999000999000999	-0.015442954	0.012651009268822122	False	True	False	0.50325435	False
ARHGEF3	0.50228953	0.5014405	0.3172938749194145	0.7205346301198005	1.0	0.000999000999000999	-0.074671045	0.012651009268822122	False	True	False	0.50228953	False
REG3A	0.49913013	0.49817023	0.213109277933836	0.8033336132764816	1.0	0.000999000999000999	-0.01737393	0.012651009268822122	False	True	False	0.49913013	False
TGFBI	0.49089563	0.48661628	0.2358375545591116	0.7950371518731115	1.0	0.000999000999000999	-0.06621425	0.012651009268822122	False	True	False	0.49089563	False
NEBL	0.48679662	0.48906106	0.2791112676262856	0.709654514491558	1.0	0.000999000999000999	-0.038211696	0.012651009268822122	False	True	False	0.48679662	False
DACH1	0.47507405	0.47825992	0.23139918670058252	0.7176761642098426	0.999	0.002	-0.016230585	0.015846696449565014	False	True	False	0.47507405	False
GMDS	0.47268546	0.48346394	0.11057911161333323	0.8118237018585204	0.995	0.01	-0.1328361	0.05908819919340698	False	True	False	0.47268546	False
MT-CO1	-0.46272516	-0.4750878	-0.8808958798646926	-0.023487511416897346	0.981	0.038	0.070455514	0.1554033980582524	True	True	False	0.46272516	False
S100A10	-0.45743918	-0.45473745	-0.6844296231865883	-0.1957174599170685	1.0	0.000999000999000999	0.0009702138	0.012651009268822122	False	True	False	0.45743918	False
CUX1	0.45689368	0.46560618	0.2161496926099062	0.7065178111195565	1.0	0.000999000999000999	-0.12255169	0.012651009268822122	False	True	False	0.45689368	False
ZG16	-0.4537871	-0.4516371	-0.6566501557826996	-0.24074337184429176	1.0	0.000999000999000999	-0.045682475	0.012651009268822122	False	True	False	0.4537871	False
CA1	-0.43970293	-0.45171884	-0.7735192358493805	0.007892860565334489	0.971	0.058	0.11505042	0.20816742997124296	False	False	False	0.43970293	False
MT-ND5	0.4379778	0.45278597	0.09626181721687319	0.8437404587864875	0.994	0.012	0.01646646	0.06785970800469877	True	True	False	0.4379778	False
CNTN4	-0.43441683	-0.43846712	-0.6499004229903221	-0.21590893529355526	1.0	0.000999000999000999	-0.018012315	0.012651009268822122	False	True	False	0.43441683	False
PACS1	0.43333718	0.43846756	0.27529713436961173	0.599491898715496	1.0	0.000999000999000999	-0.040218137	0.012651009268822122	False	True	False	0.43333718	False
PFN1	-0.43210748	-0.42710692	-0.6473263576626778	-0.23621302545070652	1.0	0.000999000999000999	-0.028958185	0.012651009268822122	False	True	False	0.43210748	False
KIF13A	0.4317722	0.43662807	0.22700447924435138	0.6559318348765373	1.0	0.000999000999000999	-0.060848415	0.012651009268822122	False	True	False	0.4317722	False
ENSG00000236449	-0.42642385	-0.4263165	-0.6584743976593017	-0.20574910826981072	1.0	0.000999000999000999	0.1367672	0.012651009268822122	True	True	False	0.42642385	False
TGFBR2	0.42638725	0.4216804	0.16411627866327763	0.7000018179416656	1.0	0.000999000999000999	-0.030361772	0.012651009268822122	False	True	False	0.42638725	False
ARHGEF28	0.42068654	0.42303824	0.22244672551751138	0.6567660078406333	1.0	0.000999000999000999	-0.048004963	0.012651009268822122	False	True	False	0.42068654	False
AOPEP	0.42055136	0.42588824	0.22703790180385114	0.6268019661307335	1.0	0.000999000999000999	-0.040270362	0.012651009268822122	False	True	False	0.42055136	False
PITX1	0.41694772	0.4154757	0.22985510528087616	0.6251218229532242	1.0	0.000999000999000999	-0.10682155	0.012651009268822122	False	True	False	0.41694772	False
FERMT1	0.41596344	0.41429737	0.20207067467272283	0.6453158378601074	1.0	0.000999000999000999	-0.034811724	0.012651009268822122	False	True	False	0.41596344	False
GRIN2D	0.4159478	0.41604957	0.2237998705357313	0.6279256701469421	1.0	0.000999000999000999	-0.058287106	0.012651009268822122	False	True	False	0.4159478	False
PLA2G2A	0.413569	0.40905935	0.013637227891013027	0.8650920391082764	0.979	0.042	-0.10452831	0.16678246523686072	False	True	False	0.413569	False
DLEU1	0.4120708	0.419074	0.17256634905934334	0.6786999315023422	0.999	0.002	-0.01253275	0.015846696449565014	False	True	False	0.4120708	False
FXYD5	0.411963	0.40935054	0.20803764089941978	0.6308167934417723	1.0	0.000999000999000999	-0.07794545	0.012651009268822122	False	True	False	0.411963	False
LINC00486	-0.40908808	-0.4119388	-0.9445976331830025	0.05811951812356698	0.951	0.098	-2.0756916e-05	0.29175757575757577	False	False	False	0.40908808	False
SAMD5	0.40869558	0.40706438	0.21213912293314935	0.6487558081746101	1.0	0.000999000999000999	-0.027633945	0.012651009268822122	False	True	False	0.40869558	False
HLA-C	-0.40826637	-0.40351784	-0.6976271197199821	-0.10164890810847287	0.993	0.014	-0.028150126	0.0762767987065481	False	True	False	0.40826637	False
ENSG00000278909	0.40653342	0.4026358	0.17173678763210776	0.6830442041158674	1.0	0.000999000999000999	0.0051753316	0.012651009268822122	True	True	False	0.40653342	False
ENSG00000227400	0.40569973	0.39322054	0.09969320762902499	0.783195611834526	0.998	0.004	0.011900882	0.02861218424962853	True	True	False	0.40569973	False
CDH3	0.40396515	0.3942802	0.16152870953083037	0.6836895272135733	1.0	0.000999000999000999	-0.053961266	0.012651009268822122	False	True	False	0.40396515	False
ENSG00000230021	-0.40237194	-0.4104945	-0.9164605095982551	0.012267781607806547	0.969	0.062	0.17059554	0.21722561863173215	True	False	False	0.40237194	False
MT-TS1	-0.4014482	-0.42763102	-0.729218527674675	-0.08733851518481969	0.994	0.012	0.23106678	0.06785970800469877	True	True	False	0.4014482	False
MYOF	0.39921522	0.40853098	0.2397864479571581	0.5700529649853706	1.0	0.000999000999000999	-0.1119468	0.012651009268822122	False	True	False	0.39921522	False
PITPNC1	0.39622277	0.38887772	0.20376735925674438	0.6618143185973167	1.0	0.000999000999000999	-0.055208147	0.012651009268822122	False	True	False	0.39622277	False
CHRM3	0.3911479	0.39080584	0.17861854173243047	0.6413291871547698	1.0	0.000999000999000999	-0.03617624	0.012651009268822122	False	True	False	0.3911479	False
MECOM	0.39064005	0.39825854	0.06673292666673661	0.7041914105415343	0.992	0.016	-0.07609522	0.0843372438604724	False	True	False	0.39064005	False
SLC28A2	0.3906021	0.37257016	0.13092626258730888	0.7247517257928846	0.998	0.004	-0.057719037	0.02861218424962853	False	True	False	0.3906021	False
BMP4	0.38639066	0.3884527	0.2080557681620121	0.5646637082099915	0.999	0.002	-0.031768285	0.015846696449565014	False	True	False	0.38639066	False
MIR34AHG	0.38480633	0.38121504	0.22465374805033206	0.5650765910744666	1.0	0.000999000999000999	-0.01653194	0.012651009268822122	False	True	False	0.38480633	False
DUOX2	0.38244775	0.36895818	0.17613861821591853	0.7006487309932705	1.0	0.000999000999000999	-0.06982596	0.012651009268822122	False	True	False	0.38244775	False
ARHGAP8	0.38216442	0.38483518	0.16686547994613649	0.6213254272937775	1.0	0.000999000999000999	-0.028329054	0.012651009268822122	False	True	False	0.38216442	False
